Unnamed: 0	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102	V103	V104	V105	V106	V107	V108	V109	V110	V111	V112	V113	V114	V115	V116	V117	V118	V119	V120	V121	V122	V123	V124	V125	V126	V127	V128	V129	V130	V131	V132	V133	V134	V135	V136	V137	V138	V139	V140	V141	V142	V143	V144	V145	V146	V147	V148	V149	V150	V151	V152	V153	V154	V155	V156	V157	V158	V159	V160	V161	V162	V163	V164	V165	V166	V167	V168	V169	V170	V171	V172	V173	V174	V175	V176	V177	V178	V179	V180	V181	V182	mean
Adipocytes	0.0	0.0022766666666667	0.297123333333333	1.0	0.91076	0.00048	0.221723333333333	0.0	1.0	1.0	1.0	1.0	0.884056666666667	0.0	1.0	0.0002033333333333	0.838613333333333	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.713653333333333	1.0	0.0060099999999999	1.0	0.501116666666667	1.0	0.0	1.0	1.0	0.00041	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.01561	1.0	1.0	1.0	0.0350966666666667	1.0	1.0	0.433843333333333	1.0	0.678743333333333	1.0	0.3027	0.0432399999999999	1.0	1.0	0.100963333333333	0.127256666666667	0.0	1.0	0.0729333333333333	0.291256666666667	1.0	1.0	0.06064	0.15317	0.396566666666667	1.0	0.0002666666666666	0.57298	1.0	1.0	1.0	0.0	0.0052666666666666	0.674576666666667	0.0333166666666667	1.0	0.03565	1.0	1.0	0.0	0.905393333333333	1.0	1.0	0.0295	0.0	0.04181	0.731226666666667	0.468473333333333	1.0	1.0	0.889386666666667	1.0	0.413046666666667	0.00038	0.62504	1.0	0.06403	1.0	0.387063333333333	0.12355	0.541903333333333	1.0	0.413046666666667	0.674576666666667	1.0	1.0	0.00256	0.58065	1.0	1.0	0.56536	0.131123333333333	1.0	0.0495866666666667	1.0	0.185796666666667	0.776746666666667	0.311506666666667	0.0295	0.945236666666667	1.0	0.0	0.0009366666666666	0.600613333333333	1.0	0.785983333333333	0.678743333333333	1.0	1.0	0.0629133333333334	1.0	1.0	0.14098	0.07155	0.0	0.176776666666667	1.0	0.12355	1.0	0.717913333333333	0.691716666666667	0.843596666666667	0.185796666666667	0.29981	0.0118	0.348173333333333	1.0	1.0	0.149116666666667	1.0	1.0	1.0	0.93912	0.0532666666666667	1.0	0.68722	1.0	1.0	1.0	1.0	0.66176	0.0010533333333333	0.01524	0.753703333333333	0.53821	1.0	1.0	0.211653333333333	1.0	1.0	0.0222233333333334	1.0	1.0	1.0	1.0	0.776746666666667	1.0	0.0	0.653433333333333	0.6181351465201465
Astrocytes	1.0	1.0	0.08786	1.0	0.119446666666667	0.0030233333333333	0.0050166666666666	0.222593333333333	1.0	1.0	1.0	0.318563333333333	1.0	0.0182233333333334	0.16141	0.281963333333333	0.221926666666667	0.11786	0.12635	0.00116	1.0	1.0	1.0	1.0	1.0	0.0970566666666667	0.255516666666667	1.0	1.0	1.0	1.0	1.0	0.154833333333333	0.11586	1.0	0.13071	0.285093333333333	1.0	1.0	0.0013233333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0053333333333333	0.08652	1.0	1.0	1.0	0.3567	0.0086166666666667	1.0	1.0	0.254156666666667	0.02878	1.0	1.0	1.0	0.0193633333333333	1.0	1.0	0.144343333333333	0.200803333333333	0.125293333333333	0.04196	0.0	1.0	1.0	0.0034933333333333	0.17757	0.39215	1.0	1.0	0.01084	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0092833333333333	1.0	1.0	0.0014466666666667	0.0083966666666667	0.214876666666667	0.3567	0.449106666666667	1.0	0.0	0.0119966666666667	0.01532	0.144966666666667	1.0	1.0	1.0	1.0	0.0357	1.0	1.0	0.0176133333333334	1.0	1.0	0.125293333333333	0.134063333333333	1.0	0.151343333333333	0.0	1.0	1.0	1.0	0.642506666666667	0.0	1.0	0.02464	1.0	1.0	0.0	0.0562433333333333	1.0	0.281963333333333	1.0	0.08652	0.29352	0.3309	1.0	1.0	0.0	0.11479	1.0	0.3567	1.0	1.0	1.0	0.247163333333333	0.0147966666666667	0.06203	0.0	1.0	0.348083333333333	1.0	0.0673466666666667	1.0	0.0	0.231786666666667	0.01459	1.0	0.0	1.0	1.0	0.0343166666666667	0.271	0.306246666666667	1.0	0.285666666666667	1.0	0.0012866666666666	0.0499833333333334	0.16855	0.180123333333333	0.0051466666666666	1.0	1.0	1.0	0.0623966666666667	0.0457166666666666	1.0	0.0224233333333334	0.229886666666667	1.0	1.0	1.0	0.577440347985348
B-cells	0.0	0.0248066666666666	1.0	1.0	0.02497	0.138193333333333	0.0	1.0	1.0	1.0	0.0244333333333333	3.33333333335517e-06	0.06079	0.0042933333333333	0.0236499999999999	0.183016666666667	0.01372	0.03859	0.0097033333333332	0.0587366666666667	1.0	0.50948	0.2046	0.410983333333333	1.0	0.0008233333333332	0.873606666666667	1.0	0.62511	1.0	1.0	1.0	1.0	0.0013933333333333	1.0	1.0	0.0267266666666667	1.0	0.03765	0.01947	1.0	0.24033	0.170476666666667	1.0	1.0	0.277743333333333	1.0	0.380566666666667	1.0	0.0365166666666666	1.0	1.0	0.263513333333333	0.0034633333333333	0.00065	0.161806666666667	1.0	0.270516666666667	1.0	0.0	0.459233333333333	0.348063333333333	0.22803	1.0	0.0164733333333333	0.15036	0.0	0.0	0.0	9.33333333332786e-05	1.0	1.0	0.0270966666666667	0.0	0.864783333333333	1.0	0.225176666666667	0.0279566666666666	0.0180066666666666	0.0158266666666667	1.0	0.307683333333333	1.0	0.0007333333333333	0.10417	0.01774	0.0	1.0	1.0	0.302043333333333	0.190853333333333	1.0	1.0	0.111246666666667	1.0	0.0472399999999999	0.47557	1.0	0.64384	0.0	0.0341399999999999	0.00134	0.1276	0.354373333333333	0.331316666666667	1.0	1.0	0.0	1.0	0.610236666666667	1.0	1.0	0.0	0.1276	0.382716666666667	0.13504	0.136016666666667	0.0	0.32325	1.0	0.725043333333333	1.0	0.0195933333333334	1.0	1.0	0.387396666666667	1.0	0.335563333333333	0.599466666666667	0.0	1.0	0.0038566666666666	0.27582	0.146903333333333	1.0	0.0592633333333333	0.0864	0.91792	0.0010333333333333	0.10417	1.0	0.438316666666667	1.0	0.492016666666667	0.0244333333333333	1.0	0.0012166666666666	0.0679233333333333	1.0	0.0159166666666667	1.0	0.467363333333333	0.58847	0.106803333333333	0.755063333333333	0.0	1.0	0.0029466666666666	1.0	0.0464466666666666	0.0	0.433156666666667	0.0120033333333334	1.0	0.0039733333333333	1.0	0.0036133333333333	0.09431	0.0075033333333333	0.0959266666666667	0.0049933333333332	0.19901	0.533033333333333	0.430706666666667	0.495053333333333	1.0	1.0	0.651423333333333	0.331316666666667	1.0	1.0	0.48101	0.4599591391941392
Basophils	0.01194	0.382	1.0	1.0	1.0	0.583443333333333	1.0	0.247433333333333	0.250453333333333	0.68702	0.190906666666667	0.548996666666667	0.19427	0.252903333333333	0.32105	0.35471	0.20249	0.399783333333333	1.0	0.229626666666667	0.468933333333333	0.176973333333333	0.481506666666667	1.0	0.216736666666667	0.693896666666667	1.0	0.59356	0.148053333333333	0.152823333333333	0.23486	1.0	1.0	0.436613333333333	0.22452	0.20109	0.90324	1.0	0.659376666666667	0.70996	0.376973333333333	0.264133333333333	0.25257	0.485	0.216043333333333	0.19581	0.148656666666667	0.460086666666667	1.0	0.63222	0.09238	0.22095	0.221966666666667	1.0	0.636073333333333	1.0	0.346446666666667	0.695363333333333	1.0	0.166406666666667	0.40448	0.168683333333333	0.791423333333333	0.05531	0.34243	0.545913333333333	1.0	0.472873333333333	1.0	1.0	0.174186666666667	0.08152	0.478853333333333	0.383253333333333	0.257346666666667	0.259406666666667	0.0596466666666666	0.82761	0.268473333333333	0.226813333333333	0.180393333333333	0.695363333333333	0.14419	0.478853333333333	0.323183333333333	0.289803333333333	0.186946666666667	0.14228	0.462583333333333	0.68835	1.0	0.374566666666667	0.19581	1.0	0.75598	1.0	0.267743333333333	1.0	1.0	1.0	0.48743	1.0	0.21928	0.23361	0.0638	0.33872	0.708483333333333	0.2911	0.202883333333333	0.785843333333333	1.0	0.09029	0.189353333333333	0.52704	1.0	0.15019	0.189596666666667	1.0	1.0	0.32866	0.12924	0.243426666666667	1.0	0.127273333333333	1.0	0.18307	0.920213333333333	1.0	0.23184	0.132233333333333	0.486573333333333	0.143036666666667	0.45066	0.259406666666667	0.122296666666667	0.522303333333333	1.0	1.0	0.20969	0.0819666666666666	0.304676666666667	0.33872	0.206666666666667	0.172516666666667	0.145006666666667	1.0	1.0	0.497113333333333	0.349173333333333	1.0	0.07696	0.35075	0.277153333333333	0.7611	1.0	1.0	0.127626666666667	0.802983333333333	1.0	0.130916666666667	1.0	1.0	0.29326	0.32258	0.50592	0.09095	0.715916666666667	0.37637	0.09268	1.0	1.0	0.191313333333333	0.23155	0.116103333333333	0.311903333333333	1.0	0.105546666666667	0.708483333333333	0.682866666666667	1.0	1.0	0.176973333333333	0.5058670879120879
CD4+ T-cells	0.0039966666666666	0.46955	1.0	0.406613333333333	0.104373333333333	0.22845	0.0632333333333334	0.459986666666667	0.620043333333333	1.0	0.548253333333333	0.10125	0.138766666666667	0.318126666666667	0.26707	0.0649666666666666	0.2802	0.19111	0.268313333333333	0.322713333333333	1.0	0.64564	0.2618	0.636786666666667	0.628466666666667	0.0567433333333334	0.40246	0.409703333333333	0.110653333333333	1.0	0.285446666666667	0.258573333333333	1.0	0.394466666666667	0.281393333333333	0.212533333333333	0.124436666666667	0.638953333333333	0.02125	0.0316333333333333	0.5762	0.0981066666666667	0.339193333333333	1.0	1.0	0.21191	0.1254	0.512386666666667	1.0	0.01217	0.612633333333333	0.44677	0.152953333333333	0.559893333333333	0.0298133333333334	0.458686666666667	1.0	0.538586666666667	0.430253333333333	0.66027	0.637766666666667	0.1352	0.216756666666667	1.0	0.364996666666667	0.0730633333333334	0.34321	0.0	0.122903333333333	0.02275	0.598846666666667	0.22409	0.0350133333333333	0.05822	0.448066666666667	0.526976666666667	1.0	0.131743333333333	1.0	0.0614266666666666	0.137233333333333	0.0479033333333333	0.64028	0.3208	0.39967	0.40308	0.0700566666666667	1.0	1.0	0.41289	0.150696666666667	0.335073333333333	1.0	0.35564	0.506283333333333	0.192913333333333	0.31748	0.35564	0.472126666666667	0.150696666666667	0.10482	0.428936666666667	0.500513333333333	0.252243333333333	0.585293333333333	0.665646666666667	0.630303333333333	0.0	0.0892500000000001	0.286726666666667	0.58809	0.35498	0.08757	0.334473333333333	0.335073333333333	0.178336666666667	0.253536666666667	0.0	0.482206666666667	0.571933333333333	0.54936	0.455056666666667	0.0264933333333334	1.0	0.64878	0.280773333333333	0.430253333333333	0.245396666666667	0.385173333333333	0.0532733333333333	1.0	0.0242566666666667	0.536403333333333	0.340516666666667	1.0	0.27234	0.64878	0.301856666666667	0.420076666666667	0.236486666666667	0.54936	0.40246	0.231686666666667	0.4652	0.122416666666667	0.297116666666667	0.231686666666667	0.06606	0.316253333333333	0.133076666666667	1.0	0.3325	0.53479	0.439856666666667	0.578753333333333	0.28413	0.221706666666667	0.377833333333333	0.5762	0.531506666666667	0.0645533333333334	0.103943333333333	0.08999	0.59623	0.247943333333333	0.391946666666667	0.0	0.195763333333333	0.179523333333333	0.511256666666667	0.263743333333333	0.297116666666667	0.21979	0.30561	0.358336666666667	0.49391	1.0	0.512386666666667	0.358336666666667	0.662856666666667	0.643256666666667	0.55669	0.3935366117216121
CD4+ Tcm	3.66666666666848e-05	0.14374	0.0876666666666667	0.0	0.0	0.0028633333333333	1.0	0.0493633333333333	0.0	0.167973333333333	0.0	0.0278966666666667	0.0	0.0340733333333333	0.714576666666667	0.0051366666666666	1.0	1.0	0.0069366666666667	0.859146666666667	0.0005199999999999	0.135933333333333	0.0484433333333333	0.79566	0.0007399999999999	0.01677	0.0	0.0	0.0	0.0	0.0	0.0	0.0375799999999999	1.0	0.0	0.0019299999999999	0.0372066666666667	0.120013333333333	0.0	0.0037666666666667	0.0	0.0	0.0	0.0006766666666666	1.0	0.136813333333333	0.01101	0.0	1.0	0.0052866666666666	1.0	0.01311	0.0666333333333333	1.0	0.11152	4.66666666666393e-05	0.0231633333333333	0.0	1.0	6.66666666666593e-05	1.0	0.0015633333333333	0.811853333333333	0.0	0.0114866666666666	0.0781266666666667	1.0	0.0658266666666667	1.0	0.0540333333333334	0.0767533333333333	0.0	0.0032633333333332	0.0	1.0	0.02603	0.0037366666666667	1.0	0.0	0.0	0.0001533333333333	0.0032166666666666	0.257213333333333	0.379493333333333	0.0124533333333333	0.0	0.0156466666666667	0.00099	0.0397233333333333	0.0916833333333333	0.0001233333333333	0.0	0.0045666666666667	0.0	0.138566666666667	0.34589	3.33333333335517e-06	1.0	0.10294	0.0	6.66666666671034e-06	0.154736666666667	0.124596666666667	0.0058366666666667	0.0083066666666666	0.0	0.053	0.0	0.0	0.02854	0.0128433333333333	1.0	0.0093633333333332	0.01019	0.12536	0.0112466666666666	0.627236666666667	0.0	0.45824	0.0014233333333333	0.28104	0.11152	1.0	1.0	1.0	0.0068533333333333	0.0323833333333333	6.66666666671034e-06	0.0744233333333333	0.0079033333333333	1.0	0.0	0.0646766666666667	0.0081633333333333	0.0	0.0	0.0666333333333333	0.41947	0.0	1.0	0.0	6.66666666666593e-05	0.06794	0.250613333333333	1.0	0.0	0.02034	1.0	0.0	0.0	0.0007099999999999	0.203496666666667	1.0	0.0576133333333333	0.0523466666666667	0.0077066666666666	0.0003766666666666	0.0185733333333333	0.0	0.0204866666666667	0.0003199999999999	0.0	0.0	0.0	0.0080533333333333	0.0010166666666666	0.26397	0.182503333333333	0.507726666666667	0.0001166666666666	0.0	0.334793333333333	0.0004866666666666	0.0006133333333333	0.00087	0.00185	0.0	1.0	0.0	0.0020866666666666	0.0040133333333333	0.0314233333333334	0.1974491758241757
CD4+ Tem	0.535846666666667	1.0	0.79431	0.35895	1.0	1.0	1.0	1.0	0.162243333333333	0.42677	0.117116666666667	1.0	0.666296666666667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.776093333333333	1.0	1.0	0.556343333333333	0.659786666666667	1.0	0.749133333333333	0.681756666666667	1.0	0.635473333333333	0.539703333333333	1.0	0.800933333333333	1.0	1.0	0.528226666666667	1.0	0.86331	1.0	1.0	1.0	0.525376666666667	1.0	1.0	0.671233333333333	1.0	1.0	1.0	0.232523333333333	1.0	1.0	1.0	1.0	1.0	0.68037	0.51889	1.0	1.0	0.02571	1.0	1.0	0.670006666666667	0.531006666666667	0.664913333333333	1.0	0.48172	1.0	0.20883	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.607886666666667	1.0	0.173123333333333	0.725103333333333	0.47192	1.0	1.0	0.613716666666667	1.0	0.15096	0.28308	0.3669	0.715813333333333	1.0	1.0	1.0	0.776093333333333	1.0	0.957343333333333	1.0	0.932713333333333	1.0	1.0	1.0	1.0	0.48092	1.0	1.0	0.463056666666667	1.0	1.0	0.218036666666667	1.0	1.0	1.0	1.0	0.92075	1.0	0.727933333333333	0.79661	1.0	0.208143333333333	1.0	1.0	0.642616666666667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.456693333333333	0.298033333333333	1.0	1.0	1.0	1.0	1.0	1.0	0.0183333333333333	1.0	0.101773333333333	1.0	0.555296666666667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.69292	0.57566	1.0	0.718966666666667	0.539703333333333	1.0	0.67394	1.0	0.721953333333333	1.0	1.0	0.803173333333333	1.0	1.0	0.74557	1.0	1.0	1.0	1.0	1.0	1.0	0.583896666666667	1.0	1.0	0.510656666666667	1.0	1.0	0.19936	1.0	0.74384	0.159553333333333	1.0	1.0	0.8318402014652014
CD4+ memory T-cells	0.0021533333333333	0.08136	0.238423333333333	0.413016666666667	0.347046666666667	0.0957133333333333	0.0188633333333333	0.190513333333333	0.46526	0.73225	0.11918	0.0044199999999999	0.200863333333333	0.184933333333333	0.0230733333333333	0.152433333333333	0.07155	0.272366666666667	0.0507166666666666	0.0795233333333333	1.0	0.40227	0.05049	0.28824	0.540573333333333	0.09453	0.445933333333333	0.350823333333333	0.127806666666667	0.561873333333333	0.313266666666667	0.258083333333333	0.332946666666667	0.13558	0.235153333333333	0.16097	0.0389166666666667	0.337243333333333	0.0450700000000001	0.0597733333333333	0.126813333333333	0.09436	0.148316666666667	0.415353333333333	0.477203333333333	0.16922	0.103106666666667	0.55235	0.44005	0.0223533333333333	0.0655433333333333	0.212753333333333	0.0678433333333334	0.0	0.181813333333333	0.215503333333333	0.750403333333333	0.287733333333333	0.272943333333333	1.0	0.16574	0.0292666666666667	0.130176666666667	1.0	0.185583333333333	0.0661566666666666	0.106483333333333	0.0	0.0569966666666667	0.0841766666666667	0.295316666666667	0.0411933333333333	0.157733333333333	0.0465933333333334	0.20619	0.336646666666667	0.4333	0.0422400000000001	0.958113333333333	0.0639933333333333	0.20316	0.0558466666666667	0.212753333333333	0.20653	0.120553333333333	0.363986666666667	0.0571966666666667	1.0	0.76772	0.47266	0.0769966666666667	0.11486	0.46778	0.25585	0.351313333333333	0.07228	0.0844633333333333	0.13271	0.349756666666667	0.193306666666667	0.116366666666667	0.08002	0.267663333333333	0.0721633333333334	0.15187	0.370656666666667	0.35573	0.0059633333333333	0.27776	0.0269433333333333	0.512173333333333	0.0724399999999999	0.0327966666666667	0.0527033333333333	0.0760666666666666	0.04798	0.0365666666666666	0.0	0.21588	0.119906666666667	0.511016666666667	0.27435	0.0074933333333333	0.436756666666667	0.496513333333333	0.18628	0.368543333333333	0.0789133333333333	0.130176666666667	0.0465933333333334	0.450106666666667	0.0073833333333333	0.321213333333333	0.0878100000000001	1.0	0.0861666666666666	0.365	0.378036666666667	0.1004	0.0293533333333333	0.405033333333333	0.19633	0.151336666666667	0.0709833333333333	0.0287566666666667	0.09178	0.06375	0.0782866666666666	0.112163333333333	0.07966	0.28628	0.0588233333333333	0.208266666666667	0.09453	0.303596666666667	0.20619	0.0714133333333333	0.111226666666667	0.383123333333333	0.08152	0.04718	0.0234566666666667	0.0412633333333333	0.194746666666667	0.11486	0.138673333333333	0.02444	0.02561	0.0056066666666666	0.0970466666666666	0.180576666666667	0.25282	0.110126666666667	0.0823033333333333	0.462196666666667	0.133006666666667	0.334496666666667	0.150806666666667	0.20019	0.608796666666667	0.26282	0.16422	0.2202447252747251
CD4+ naive T-cells	0.0114333333333333	0.950536666666667	1.0	0.829536666666667	0.196616666666667	0.72048	0.2172	1.0	1.0	1.0	1.0	0.446126666666667	0.769743333333333	0.402373333333333	0.736163333333333	0.622863333333333	0.65834	0.142513333333333	1.0	0.800943333333333	1.0	1.0	1.0	0.388916666666667	1.0	0.177746666666667	1.0	1.0	0.37338	1.0	1.0	1.0	1.0	0.390113333333333	1.0	0.384163333333333	0.54879	1.0	1.0	0.29054	0.884113333333333	0.726226666666667	1.0	1.0	1.0	0.541356666666667	0.388916666666667	0.333546666666667	1.0	0.17989	1.0	1.0	0.181363333333333	1.0	0.04417	1.0	1.0	0.387636666666667	0.781786666666667	0.145693333333333	1.0	0.794296666666667	0.514676666666667	1.0	0.840906666666667	0.514676666666667	0.360556666666667	0.0009299999999999	0.0089466666666666	0.03216	1.0	1.0	0.141943333333333	0.0628033333333333	0.599666666666667	1.0	0.96434	0.622863333333333	0.219766666666667	0.31209	1.0	0.542793333333333	0.96434	1.0	1.0	0.932343333333333	0.08127	1.0	1.0	0.342513333333333	0.6111	1.0	1.0	0.254433333333333	0.249786666666667	0.88145	1.0	0.631176666666667	1.0	0.234256666666667	0.533876666666667	0.68299	0.134796666666667	1.0	1.0	1.0	1.0	0.0020799999999999	1.0	1.0	1.0	1.0	0.24422	1.0	0.7479	1.0	1.0	0.0	1.0	1.0	0.507366666666667	1.0	0.116963333333333	0.68299	1.0	1.0	1.0	0.460803333333333	0.794296666666667	0.390113333333333	1.0	0.583483333333333	0.803073333333333	0.811856666666667	1.0	1.0	1.0	0.0547	1.0	1.0	1.0	0.621243333333333	0.474236666666667	1.0	0.366203333333333	0.369756666666667	0.174866666666667	0.226593333333333	1.0	0.932343333333333	1.0	1.0	1.0	1.0	0.932343333333333	0.864266666666667	1.0	0.59474	1.0	1.0	0.0972266666666667	1.0	1.0	1.0	0.83418	1.0	0.116436666666667	0.714733333333333	1.0	1.0	0.05693	1.0	1.0	1.0	1.0	1.0	1.0	0.570533333333333	1.0	1.0	1.0	1.0	0.7300409340659342
CD8+ T-cells	0.0	0.412433333333333	1.0	0.12218	0.04855	0.390603333333333	0.371733333333333	0.500616666666667	0.102686666666667	1.0	0.0276933333333333	0.0448033333333333	0.130846666666667	0.422873333333333	0.18114	0.799543333333333	0.55777	1.0	0.444166666666667	0.691543333333333	0.66188	1.0	0.41995	0.522336666666667	0.24186	1.0	0.82359	0.383766666666667	0.296883333333333	0.467986666666667	1.0	0.138986666666667	1.0	0.654086666666667	0.0772333333333334	1.0	0.175913333333333	0.188586666666667	0.51135	0.134633333333333	0.0286533333333333	0.01573	0.262396666666667	0.25918	1.0	1.0	0.580156666666667	0.0	1.0	0.0087933333333333	1.0	0.0957	0.0537300000000001	1.0	0.766096666666667	0.26985	1.0	0.0357	0.40497	0.129276666666667	0.694256666666667	0.0175933333333333	0.278506666666667	0.316433333333333	1.0	1.0	0.429026666666667	0.0268233333333333	0.0665966666666666	0.355763333333333	0.113686666666667	0.736226666666667	0.444166666666667	0.39499	1.0	0.19486	0.386503333333333	0.36506	0.0938633333333333	0.144063333333333	0.593313333333333	0.0133566666666667	1.0	0.0860633333333334	0.780276666666667	1.0	0.257143333333333	1.0	1.0	1.0	0.191236666666667	0.08833	0.46628	0.17277	0.208096666666667	0.0824833333333334	0.247873333333333	0.35442	0.359616666666667	0.45038	0.122966666666667	0.459796666666667	0.582153333333333	0.433423333333333	0.0441333333333334	0.412433333333333	0.64678	0.0004366666666666	0.613216666666667	0.17674	0.455003333333333	0.50235	0.0337766666666667	0.0957	0.170196666666667	0.33584	0.219353333333333	0.0	0.18954	0.0149266666666666	1.0	1.0	0.134633333333333	1.0	1.0	0.275316666666667	0.63681	0.35189	0.545733333333333	0.54181	1.0	0.0	1.0	0.252043333333333	1.0	0.25405	0.112966666666667	1.0	0.407986666666667	1.0	0.68594	0.208096666666667	0.219353333333333	0.0115766666666667	0.19845	0.344226666666667	0.392083333333333	1.0	0.31766	0.11997	0.221303333333333	0.355763333333333	0.55366	0.279586666666667	1.0	0.25405	0.0732566666666666	0.59123	0.31175	0.0455066666666667	0.19399	0.05415	0.12218	0.17105	0.680623333333333	0.381233333333333	0.429026666666667	0.50235	0.68594	1.0	0.231933333333333	1.0	0.21748	0.784166666666667	0.720656666666667	0.355763333333333	1.0	0.316433333333333	0.396463333333333	0.565736666666667	1.0	1.0	0.4521053113553113
