	TCGA.XJ.A9DX.01	TCGA.KK.A7B0.01	TCGA.EJ.7314.01	TCGA.EJ.7330.01	TCGA.V1.A9Z7.01	TCGA.HC.7752.01	TCGA.KK.A8IG.01	TCGA.HC.A631.01	TCGA.V1.A8WW.01	TCGA.HC.8216.01	TCGA.ZG.A8QX.01	TCGA.KK.A6E1.01	TCGA.G9.6499.01	TCGA.G9.6371.01	TCGA.EJ.AB20.01	TCGA.J4.8198.01	TCGA.KK.A7AY.01	TCGA.EJ.A8FN.01	TCGA.YL.A8SB.01	TCGA.CH.5788.01	TCGA.ZG.A9MC.01	TCGA.EJ.7782.01	TCGA.G9.6347.01	TCGA.VP.A872.01	TCGA.G9.7523.01	TCGA.HC.8260.01	TCGA.EJ.5495.01	TCGA.HC.A6AP.01	TCGA.YL.A8SH.01	TCGA.EJ.5494.01	TCGA.G9.6498.01	TCGA.G9.6496.01	TCGA.TP.A8TV.01	TCGA.HC.A76W.01	TCGA.EJ.5542.01	TCGA.VP.A87B.01	TCGA.VP.A87J.01	TCGA.CH.5791.01	TCGA.XK.AAJ3.01	TCGA.HC.A9TE.01	TCGA.EJ.5509.01	TCGA.EJ.A65M.01	TCGA.CH.5768.01	TCGA.ZG.A9M4.01	TCGA.J4.A83I.01	TCGA.V1.A9OX.01	TCGA.J9.A8CN.01	TCGA.XK.AAJA.01	TCGA.4L.AA1F.01	TCGA.EJ.A7NH.01	TCGA.YL.A8SF.01	TCGA.QU.A6IM.01	TCGA.HC.8261.01	TCGA.V1.A8WL.01	TCGA.G9.6338.01	TCGA.VN.A88P.01	TCGA.M7.A721.01	TCGA.EJ.A7NM.01	TCGA.H9.7775.01	TCGA.CH.5771.01	TCGA.CH.5772.01	TCGA.G9.6366.01
CD8+ Tcm	575.165445838624	647.179499924115	404.553364035921	512.123414993477	395.93653482147	518.788322693402	404.349636200591	749.622801832041	355.331695809827	692.50621932448	434.811153975534	523.694957020018	632.786040074958	593.719140116764	568.975656313162	477.109325525713	422.352858638297	574.997966978591	515.177582256331	559.305744047816	1043.53693493375	522.255496369603	627.593813282691	482.618902427792	552.42363168752	429.918263044556	629.007274885226	315.043490065362	345.241127734285	517.706467503302	1046.07878154625	423.816985026903	418.492487789551	281.538778746396	613.387185304997	495.923861449357	541.732304273819	498.438172862205	576.713780352279	721.274855116276	603.946180781238	601.610433592911	561.984311390979	1070.92616498079	669.808370408768	528.402610975406	594.567563500589	455.657738662642	694.838766448152	423.262203666968	308.1141808156	798.881010236371	536.244635217425	835.68377791669	280.146749101811	601.928023839808	426.488689360604	905.111587931786	448.062111408311	481.575246180361	666.150922360899	747.717861446528
CD8+ Tem	318.520259039467	673.838891858568	162.830789464036	156.223856168216	264.719270490341	509.030391152737	301.261732327754	291.030878986851	307.722125078838	325.931772154236	283.06896118358	263.874831449427	206.735524790194	263.227069113046	707.698864473475	212.432338977902	322.472078250897	443.05299565861	273.494503893926	127.078755061766	697.720236248793	241.348691509822	841.659298243746	379.832808519955	406.643879580183	276.373727875686	272.838424620125	316.976938316522	320.488726085504	254.411527896777	553.399021850765	264.422206219592	260.710941462727	195.347520143414	61.2934464765898	297.998973158984	221.34984084121	126.086180201136	275.168889786241	571.304210125661	182.773355509615	332.144639804907	151.173243602159	798.621266932724	384.626040162297	413.882277922297	342.092062321804	297.620171438687	540.608850946123	384.21980570081	221.866360246009	940.620159231074	338.333343092867	491.46361325782	371.32613438866	375.308074742982	205.892362755233	557.177497739249	118.587758927448	310.110052894192	260.28750710044	314.907283230088
CD8+ naive T-cells	543.399289436867	321.421885490435	236.637939166281	29.9153190443382	210.243665232654	298.434371271469	550.602888903142	386.362809782797	191.275812350294	286.051515497677	533.689792815422	192.187563733054	258.534929258017	257.346571351588	515.440257772571	268.806670504403	365.949687382809	466.248692958993	194.374321571723	237.953076279893	328.249384323956	43.1845374630884	569.687053341586	227.768083741788	535.233084090879	302.110689541145	94.9349814895653	281.205986921545	466.232871442377	175.204106307487	528.603908658858	215.06234127655	288.344571328159	329.129409433427	88.9002263497532	282.461186913301	292.13509161665	91.4163395292853	319.078507126783	278.893426626879	70.1416957973531	390.104717428684	179.236233319747	452.482656123245	38.57367386161	340.746029336534	354.788233749099	297.592178849741	124.797539808873	387.359061167856	146.290773946752	365.652851123742	254.342160283724	297.681669658222	513.701162652993	535.360156215648	143.98395271515	368.212331647928	189.871422600959	139.555499790629	217.354659845758	235.860360439031
CLP	325.987827187529	770.890760791909	363.031684775163	204.189716462703	469.055000099965	430.003766182851	418.073685543535	544.11615284886	297.508137048332	571.079317763358	380.026879423128	505.935862770223	554.935773909155	485.10564160755	691.604278535377	230.208715740934	764.121868803342	361.158406328831	403.461909976154	386.431080092034	344.723959127877	16.6641764170611	531.150937190337	255.883368751689	373.02948048723	554.054641259182	281.027828375711	760.006773335177	201.873372662463	193.98737284223	548.048007679918	486.982191128991	366.524778846467	362.776453778574	425.945123135064	319.168183501655	348.922458331202	344.5197520503	492.696099806516	513.62568021295	283.642064175993	718.701783908815	418.977876481499	326.835221723061	407.667171858439	455.471763055036	403.024457124712	207.17026269449	429.966075064746	77.6934298605799	396.963395867996	546.091723442645	387.334156920306	375.73494836379	575.581521149132	453.068114960255	284.595500454013	388.889455082116	283.233715073479	284.802448979939	432.976132331816	542.046524353197
CMP	554.392103647887	643.353677031091	358.922945404501	436.279319202466	531.691912359164	714.475201240005	559.699481633745	376.920496116556	299.947082211497	445.963851918591	278.700714906218	293.052903788627	272.91852562678	489.982647566602	697.21659922373	572.116777635156	286.94168853115	560.525458603338	584.367359570413	487.615317100832	257.23901890651	629.365531704535	531.487587206924	304.219083664459	645.968131919712	392.256049099238	479.064563999225	527.513114237339	425.952095063159	713.290753540078	403.47550060053	373.216699718961	581.732324520031	416.203878247522	422.000659394506	565.993972380381	382.472053386129	628.745485211011	439.398724563043	515.502513729478	500.575086202436	470.678602694643	464.676362970372	406.078747653849	388.00723186255	431.146025903262	601.723236457213	773.498377938787	259.256807764782	598.666961283319	417.630785064164	328.674024863892	455.015308282547	505.117314398344	266.793169937436	515.394796850232	368.652170546061	479.826190077925	444.281885362191	424.805792715122	637.304388494213	402.148173681838
Chondrocytes	509.556475168129	770.694931998778	249.877299676472	712.130986840201	1097.23496907796	682.378498850008	1156.8743014566	592.757289827096	994.161421603204	192.208711388601	502.545890566313	543.280937348198	105.015338647347	244.325895468083	1355.70939903008	938.193236375156	676.517351406201	704.553824917993	934.676045619529	242.045549037813	1126.16258445546	803.954940627221	1198.94561528694	1297.2414029016	1701.28638081719	718.693011867283	1098.45709292973	835.450585005485	485.649081317481	482.097845392704	931.073667635631	742.610296192933	236.934598257016	980.297698516382	928.212358987957	439.543368129359	426.50848257409	597.854142685795	749.700292720233	1120.17567633978	658.597568767435	350.180977463974	352.264152103849	232.119146266409	949.513858419001	360.281379559621	230.878962112983	63.3462297477182	1744.36698213889	511.001948383538	1476.12646118288	359.893146690611	373.56347580429	605.063327522914	1033.27390022364	861.150932907722	479.869531716238	586.149829644498	640.942102747982	1150.45884567973	607.098925306716	307.131234675464
Class-switched memory B-cells	616.2159019589	854.883677364332	656.672896198223	422.540093865155	376.518841474838	761.824278861552	343.652553153858	749.947697302858	594.71741530791	335.172257870819	852.449914879439	203.704207462557	471.366735141765	530.50689403188	235.630799336237	721.633310950248	538.680481377512	632.59849960168	582.992924396876	473.081914124392	1426.42670660972	590.101424905424	639.232439034376	869.643570218406	221.500558299359	594.33783901976	570.519020362829	268.527173672285	468.750949653243	766.108598356934	973.686452032186	295.875747423597	598.43331664071	421.393675602022	629.791831616005	852.375715401586	525.069840562546	711.559413956445	613.831425347565	971.460877628747	564.346412376806	338.076728407889	605.363399454429	768.868574776346	724.067966959066	458.08565528342	568.765227643482	988.026562013499	777.188494892879	644.24895202781	830.871802946283	436.686752053865	741.833011121367	795.840272335875	100.958016676647	822.289663344027	582.947457433444	1232.60651052311	667.463622597842	441.204788847708	262.491853311982	611.715432698329
DC	507.712692734416	1342.28967341384	350.989871960909	536.015876652028	1206.41492674565	610.169676970313	544.904163780677	273.302551727568	643.512092791181	908.086376224321	464.459464557408	621.546130618477	517.318416740416	477.910403343848	539.935140619863	525.416826799229	621.912507558263	778.750332536064	558.539240049004	565.128141327395	1498.45168856024	611.351588557227	1126.97482148085	861.818371034836	1453.74455618658	622.632422126372	1011.86275883583	826.898505571862	471.554957620018	594.759350399676	927.052073839067	323.777101580118	167.319796606447	555.959632385568	875.110015590159	333.152512110933	535.239044073293	811.033518315935	507.356847080885	1161.66247129905	997.30560781702	828.095294557108	673.543203023116	1006.4811320619	1020.39334534436	740.03664200662	68.7465521166373	359.935465933429	1478.13523777974	311.226585147214	1023.5323356129	805.514771500402	718.796693542821	681.252384330259	512.586181023089	567.56814092093	546.074137209623	1013.64480485266	771.757658168725	1274.37036119758	495.229637304429	343.333586128114
Endothelial cells	983.179891164172	1250.27329369713	522.681698796699	1139.89612713291	1443.56439082595	995.915557907344	1602.15539037193	275.994589409342	630.974840907277	817.961290057846	99.6730077635556	539.830194880799	438.922963726228	859.338941358947	1742.03574178608	837.378030901889	171.798108033731	938.010738935419	1246.78939041825	209.75717925064	1091.57713344236	1110.90735606876	1492.0256858668	754.310941405208	2193.42247202573	787.866812138598	1743.85422645235	1461.91281096698	1192.17234440084	1091.06930787386	1617.59877872591	1710.37367172806	658.373344895772	1219.90536290807	583.25079752735	716.25908757715	390.384547940425	461.308699492548	369.707845727662	1420.08157087499	916.661220121221	553.590684236975	150.75802059566	639.408291852813	377.121323011015	858.81021099946	1280.45676376074	942.884705692027	2418.44761228382	1216.5781478163	514.328816203305	773.947835805607	396.308925533735	707.873820682239	1560.84675376182	1258.59366188673	1106.51333539147	656.252195010176	989.326754776069	1160.99449617004	1563.91839542157	767.23442348807
Eosinophils	476.537849518005	704.470525960508	453.26512677386	615.875843431676	413.821919514925	693.000558991421	487.441890531495	362.016601277395	649.810197472876	301.10444680275	365.304723076323	579.19357910198	421.774271805397	394.988284952691	499.32202296788	675.713509482444	634.951705271484	359.753825008626	402.166135211061	385.190956083663	813.733225974053	599.956643576986	610.153472936752	779.287233443977	458.630738675843	540.143562748074	570.727848086857	456.72908858854	628.421830421857	487.393411538717	650.116372332188	476.193453620689	504.569325345253	700.514286091019	535.624446268436	655.471403697016	695.381360505836	530.199179528425	504.751013633926	504.339140201837	572.069146840113	386.657560031736	477.72439758019	499.517476486801	628.153736868384	593.70880352321	546.984022312157	649.486461572576	561.0655745225	592.469730746456	836.227103163753	632.81453808296	521.36459226776	454.422515754417	514.999121673525	327.698679451401	526.569802306112	678.453546718208	652.426771953301	760.916172504676	239.874384208049	424.638762450858
Epithelial cells	943.264746357194	2061.45504106228	1691.22490074072	1395.03597571786	147.673805618062	1307.65518795142	849.894185202614	1158.73711592588	1573.66966241934	1076.74431852962	898.583966222264	1526.48158399722	1440.88919907804	999.745960525837	757.424455533647	1019.42842179657	1635.19956571537	699.889740652577	915.682111267865	694.948558225278	1836.50628393359	909.84206363927	1005.19627716011	1957.37541916215	73.4132607743833	1525.08308710579	1052.98986699121	1824.80946708326	1172.74275103749	828.804411589754	1423.5298723073	1361.01926383646	1069.86007484784	1397.74847954416	990.358002953804	1109.87638259949	1231.69281803818	1515.17512212525	1116.88764388804	1538.04596741849	1240.80508059917	1319.85536720355	1128.16801012261	1025.76387553157	1070.14738006855	1773.72869316502	1285.51783194864	1384.26967528954	723.822677087224	1322.27060317157	1194.15982997351	1980.80913134724	978.532731095932	1064.23654679803	884.06971427293	804.060754818689	1485.70571351069	979.572661757351	1093.68390792576	1506.79634996669	323.645454421822	1077.79012996998
Erythrocytes	414.259182474632	580.654727301051	348.84521959321	212.990250582537	516.743630544449	415.434820955126	369.769072226882	705.009648963802	447.625452026933	610.098505456223	456.683533144342	594.579973696247	443.128160855045	510.486480056229	413.694073173706	271.466259055836	474.591924404786	515.806086746723	349.615063171842	650.942744393539	26.620102242413	707.788117621564	448.848434255922	418.989426556191	350.239094281999	402.81695821572	221.844508813595	738.35158113512	347.420511278217	348.5017900184	370.843552736733	766.544347269244	687.470120536249	300.577502245746	319.340178867921	485.366799946677	491.156614149219	289.373126235991	444.58826668355	168.196196576288	438.427117985953	729.704438818162	448.469960065819	526.838416144499	150.314556445944	474.081075918904	452.416963675489	544.354921523127	523.375039383369	276.162903401583	474.003383682869	822.664736580262	533.731978105311	286.796093930844	590.591141570069	370.749850623898	324.302081654519	456.346376661894	271.127036391692	179.839476073087	449.212767175219	554.186393889986
Fibroblasts	427.245736152472	633.834197712541	260.908345477898	555.559013569583	828.638229030944	600.426380067464	818.01811371989	456.386615275058	424.054631815275	522.630831199798	602.458471217707	296.692047010699	410.019489609311	498.100937385938	1219.88276628928	624.47674510126	507.810890354482	727.466113370011	897.316398091997	265.297172625982	536.568752187231	394.956241996317	1046.55037866778	651.679880911475	1174.32674743422	432.20373679357	591.068954230517	661.923902189295	482.140139181204	579.35440464386	987.629838096126	619.636093783998	316.930871055768	765.976606533543	564.711897148856	439.249315312725	420.115703258651	476.229546897343	614.310296350087	678.83655927313	633.987684238926	522.186583191725	345.498741227868	267.906509768406	587.81305255226	558.844991382683	445.560346075495	294.965504734295	919.81093956211	589.977294971925	867.688774737986	524.231842084074	340.923579218782	771.494825381471	712.661826622627	716.27491142591	503.560699325871	512.274152658414	742.054834431553	769.561880357702	642.592211121274	425.390185611051
GMP	354.623503524284	518.816397565428	291.765290301764	362.274703445009	645.682799101225	246.451433560359	502.058547273386	402.88075164911	246.684406975376	581.793162281582	353.77106422285	356.216556209007	357.837736130719	410.138959037114	608.005512592107	473.047292246816	236.292431187954	576.830058411914	538.131985836481	533.262656866366	416.136075951568	359.908291364616	340.129665105868	263.947887378438	778.968930738794	467.210274916587	590.408409699647	517.503919867993	374.993250677744	601.308285217592	441.239904331057	280.430516166624	308.536704935568	332.489382794835	534.5918024828	333.162155802843	339.342795630994	500.145166199168	277.64899794148	466.349173652704	389.359797388774	559.907878726013	472.900518322866	358.777385746027	406.156436896326	346.523946289297	523.457587896933	498.452348321101	499.402334211373	413.743533830291	439.035557913687	143.246731161961	435.177305307044	550.802832390951	335.598453705913	616.910583015758	287.053461617091	517.294186658135	383.047223617191	414.221143858355	680.047162019743	342.802041070768
HSC	620.265302986986	1035.16525237695	528.699651942856	1022.94335886391	1519.62265264017	627.148324115541	1447.40860465135	528.409385481124	799.602108213124	813.225069279448	607.555457275562	514.813248157338	235.400928847585	431.220433834151	1869.01601741919	1244.68944397321	610.647448461026	789.15995618341	1366.4414570726	368.363531383868	1128.19057187766	766.096402053265	1505.25661414728	1143.81038272586	2095.92999559983	1151.01155799389	1637.93288136605	1108.36543324342	651.566648824513	886.137359350527	1517.49309502052	1003.88356632186	315.140027933375	1267.36307342146	1168.4600497017	636.405718266227	406.715551137515	776.877114298413	783.274845978673	1367.22914625787	618.169826489786	589.51287448108	395.229764976251	591.530086247023	731.841758087074	733.85814387664	674.845995310311	530.819452184396	1584.77166868377	692.586360242065	1213.73609333279	266.783118058575	589.257663739924	956.946008485463	1264.45476892788	933.066869922828	665.183115964455	588.76594360569	879.464091273868	1060.73935430127	1154.28842356015	352.184564276355
Hepatocytes	83.000951477973	809.989184350463	629.657833929171	617.126368341024	800.882048545007	578.170278767329	542.443929594595	234.497813893956	517.517754516248	661.089692624543	708.983233971585	311.074928041725	1040.84656702143	476.532161949008	664.45594575772	725.173003843356	405.911535031526	620.292425983232	572.038069627734	479.198499987453	200.068287042514	500.069503232067	973.08722679954	686.522074316564	664.048632437898	531.854913758153	669.974530231066	1006.41525687767	683.655509358641	698.28956621106	883.788308906825	456.812879282911	438.779666580596	791.010656068011	463.345802728635	579.010283307727	343.342663985008	238.162504951825	752.646191999116	311.545898362252	572.011863370536	934.790072701741	497.844625873179	6.45417320891117	211.820809189277	719.759398598507	547.517434774741	451.954503685235	487.832636056024	546.696046173138	330.977057766182	908.488013549563	1068.76614059613	693.198374745555	638.97035382655	576.976800420015	618.90347058986	564.976533904771	655.640090776232	471.852049633083	823.352327057399	517.870882883001
Keratinocytes	1027.35827382676	2282.79608223017	1854.19396169388	1778.74752318919	69.2537715537935	1002.69281655423	891.345420116459	1235.67339484413	1275.24842226413	1263.84922946152	589.5448839339	1435.86821690534	1343.20091955999	1148.777268156	1654.2234139824	998.989335942942	1675.92032557402	758.013958911893	1339.32952219855	660.636814382073	1901.72773835579	918.60245175373	1270.45499511782	1449.33934236467	143.537910124606	1993.58922168044	953.796192086813	1755.78392277267	1204.84469438782	1546.65133752513	1489.90523471719	1293.26286974939	854.902730208835	1272.12422472845	1107.64697040003	985.695246233456	906.589807918587	1442.65250434891	925.746533435566	1433.49175759179	1359.0509946713	1496.22549065181	1253.50128856316	1130.53162874296	1095.44851241653	1914.81446971768	986.885387779356	1442.51267795671	608.159685400784	1648.75831040524	851.280061625656	2079.92039829303	1289.2594842562	1436.40987896016	821.833836169209	476.841610338682	1347.44595773628	892.047758649035	929.50585436768	1675.12033510824	348.589799269757	1138.2594776382
