	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62
Macrophages	0.114616666666667	0	1	1	0.0343633333333333	0.51231	0.0439033333333333	0.0214533333333333	0.0230733333333333	0	0.0236933333333333	0.0228266666666667	0.0129633333333333	0.0229433333333333	1	1	0.00119000000000002	0.000146666666666628	0.157543333333333	0.0493233333333334	0.00886333333333333	0.309893333333333	0.00597999999999999	0.0533933333333333	0.00334666666666672	0.640616666666667	0.05158	0	0.279933333333333	0.35578	0.107483333333333	0.00802999999999998	0.261096666666667	0.0371	0.195756666666667	0.144756666666667	0.03248	0.21719	0.0114066666666667	0.0431166666666667	0.000296666666666612	0	0.0445266666666667	0.241283333333333	0.115836666666667	0.03208	0.0509566666666667	0.40307	0	0.711586666666667	0.814503333333333	0.152986666666667	0.000113333333333299	0.0678166666666666	0.00786333333333333	0.00881333333333334	0.0289199999999999	0.629656666666667	0.0561633333333333	0.106383333333333	0.04625	0.02725
Macrophages M1	1	0	1	1	0.138236666666667	0.721206666666667	0.482493333333333	0.68153	1	0.00617666666666672	0.71476	0.562366666666667	0.728193333333333	1	0.893793333333333	1	1	0.170286666666667	0.207693333333333	1	1.66666666666648e-05	0.901663333333333	0.00180666666666662	0.415103333333333	9.99999999995449e-06	1	0.39545	0.00270666666666664	0.317403333333333	0.0548733333333333	0.119846666666667	0.121956666666667	0.420263333333333	1	1	0.128596666666667	0.748413333333333	1	0.0178199999999999	0.135723333333333	0.000613333333333355	0.01151	1	0.687953333333333	1	0.231696666666667	1	1	0.0233066666666667	0.75519	1	0.101336666666667	0.00139666666666671	0.13104	0.352853333333333	0.0321633333333333	0.522056666666667	0.941473333333333	1	0.0838766666666667	1	1
Macrophages M2	0	0	0.0537566666666667	1	0	0.000636666666666619	0.0504366666666667	3.33333333335517e-06	0	0	0	0	0	0	0.35915	0.421606666666667	0	0	0.147566666666667	0.000433333333333286	0.0778466666666666	0.90386	0	0.0272	0.00726000000000004	0.197873333333333	0.297686666666667	0	1	0.434906666666667	0.04806	0	0.0461033333333334	0	0.05462	0.0415	0	0.0866466666666666	0.02013	0.12942	9.33333333332786e-05	4.000000000004e-05	0.00461333333333336	1	0.03451	0.00393333333333334	0	0.00393333333333334	0	0.13214	0.892066666666667	0.00529333333333337	0.00107666666666661	0.31442	0	0	6.66666666671034e-06	0.123333333333333	0	0.0178333333333334	0.00819999999999999	0
Mast cells	0	0.38871	0	0	0	0.00387333333333328	0.00127333333333335	0	0.00971	0	0.00971	0.000160000000000049	0.00870666666666664	0	0.000333333333333297	0	0.00814999999999999	0	0	0	0.311593333333333	0	1	0.427393333333333	0.00694666666666666	1.66666666666648e-05	0.00694666666666666	0.274496666666667	7.66666666666138e-05	0	0.00300333333333336	0.0418500000000001	0	0	0.00112000000000001	0.000436666666666641	0	0	0	0	0.000210000000000043	0	0	0	0	0.00594666666666666	0	0	0.0653	0	0.01366	1	0	0	0.4208	0	0.00121333333333329	0	0	0.01808	0	0
Megakaryocytes	0.302093333333333	1	0.22413	0.17366	0.0375433333333334	0.69254	0.00712666666666661	1	0.97418	0.365546666666667	0.960313333333333	1	1	0.371516666666667	1	0.184593333333333	1	0.027	0.388416666666667	1	0.318546666666667	1	0.6683	1	0.01368	0.314533333333333	0.154266666666667	0.9231	0.0311866666666667	0.306123333333333	0.222006666666667	0.44269	0.105046666666667	0.0257366666666666	0.09336	0.288826666666667	0.368433333333333	0.2421	0.63791	0.1497	0.06979	1	1	0.22413	0.46226	0.25031	0.00426000000000004	0.000363333333333382	0.69639	0.278616666666667	0.246833333333333	1	0.10687	0.160176666666667	0	0.421483333333333	0.182646666666667	1	0.136136666666667	0.07464	0	0.857766666666667
Melanocytes	1	0.426296666666667	0.184056666666667	0	0.00606666666666666	0.0361266666666666	0.913323333333333	0.494946666666667	0	0.16472	0.84258	0	0.1376	0	0.961956666666667	0.00220333333333333	0	0.98375	0.83367	0	0.00187333333333328	0.0588066666666667	0	0.0127166666666667	0.76352	0.0695266666666666	0.924583333333333	0	0.46017	0.220043333333333	1	0.416756666666667	0.0127166666666667	1	0	0.0256266666666667	0	0	0.00666999999999995	0.00382333333333329	0	0.66446	0.26506	0	0	0.14938	0.810603333333333	0	0	0.00774666666666668	0.618253333333333	0	0.68439	0.00112333333333337	0.62349	1	0	0.121773333333333	0	0.130666666666667	1	0
Memory B-cells	1	0.000210000000000043	1	1	0.279856666666667	1	1	1	1	1	0.0696466666666666	1	1	1	1	1	1	0.0720833333333334	1	1	0	1	0	0.000736666666666719	0.00241333333333338	1	1	0.90626	1	1	0.000193333333333379	1	1	1	1	1	1	1	1	0.00341999999999998	0.723173333333333	1	1	0.06001	1	1	1	1	0	1	1	1	1	0.00139999999999996	1	1	1	0.00180999999999998	1	1	1	1
Mesangial cells	0.0193166666666666	0.0193166666666666	0	0	1	1	0.0688933333333334	1	1	1	1	1	1	1	0	1	0.0623266666666666	1	0.751243333333333	0.267833333333333	0	0.17643	0.0193166666666666	0.113506666666667	0	0.39561	0	1	1	1	0.10424	0.58518	1	0	0.00923333333333332	0.123056666666667	0.00229999999999997	0.07241	1	0	0.0121599999999999	1	1	0	0.000376666666666692	0.052	1	0.00205666666666671	0	0.139126666666667	0.947403333333333	0.03681	1	1	0.0147966666666667	1	0.0672566666666666	0.0444600000000001	0.125506666666667	0	1	1
Monocytes	1	0.509056666666667	1	1	0.16379	1	0.161813333333333	1	1	0.243483333333333	1	1	0.34533	1	0.26225	1	1	0.469503333333333	0.159996666666667	1	1	1	1	1	0.280356666666667	1	1	0.13527	1	1	1	1	1	1	1	1	1	0.601183333333333	0.873043333333333	0.169203333333333	0.245956666666667	0.200756666666667	1	1	1	0.78424	0.285676666666667	1	0.0898633333333333	1	1	0.564796666666667	1	1	1	0.340893333333333	1	1	1	0.15404	0.658666666666667	1
Myocytes	0.00222999999999995	1	0.54628	0.02184	1	1	0	0.0204466666666666	1	0.05655	0	0.802696666666667	1	0.0367533333333333	0.0147266666666667	0	1	0	0	0.107543333333333	0	0.0783833333333334	0	1	0	0.15404	1	1	0	0.165236666666667	1	0.38978	1	1	0	1	0	0	1	1	0.276663333333333	1	0	0	0.136276666666667	1	0	1	1	0.69738	1	1	1	0.07412	0	0	0.515436666666667	0.69738	0.0552933333333333	0.0492133333333333	0	0.05155
