FDR;decoy_rate;cohort
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.5;PRAD
0;0.75;PRAD
0.011365644;0.75;PRAD
0.002930096;0.75;PRAD
0;0.75;PRAD
0.009235742;0.75;PRAD
0.003232759;0.75;PRAD
0.001970546;0.75;PRAD
0.003289474;0.75;PRAD
0.00201946;0.75;PRAD
0.002255485;0.75;PRAD
0.007405628;0.75;PRAD
0;0.75;PRAD
0.001478197;0.75;PRAD
0;0.75;PRAD
0.00288318;0.75;PRAD
0.007479495;0.75;PRAD
0;0.75;PRAD
