	TCGA.ZG.A9KY.01	TCGA.HC.8256.01	TCGA.EJ.5521.01	TCGA.KK.A6DY.01	TCGA.J9.A52E.01	TCGA.V1.A9OH.01	TCGA.FC.7961.01	TCGA.ZG.A9LZ.01	TCGA.XK.AAJT.01	TCGA.XJ.A83G.01	TCGA.ZG.A9L6.01	TCGA.EJ.7789.01	TCGA.J4.A83J.01	TCGA.VN.A943.01	TCGA.CH.5739.01	TCGA.HC.A632.01	TCGA.G9.6377.01	TCGA.KK.A8ID.01	TCGA.HC.8265.01	TCGA.CH.5754.01	TCGA.KK.A7AZ.01	TCGA.CH.5751.01	TCGA.V1.A8WV.01	TCGA.G9.7521.01	TCGA.FC.A4JI.01	TCGA.KK.A7AP.01	TCGA.EJ.A65J.01	TCGA.EJ.A65F.01	TCGA.XK.AAIV.01	TCGA.HC.7212.01	TCGA.YL.A9WY.01	TCGA.ZG.A9LS.01	TCGA.V1.A9OA.01	TCGA.EJ.5511.01	TCGA.CH.5761.01	TCGA.XQ.A8TA.01	TCGA.V1.A9ZK.01	TCGA.EJ.5525.01	TCGA.ZG.A9L0.01	TCGA.J9.A8CL.01	TCGA.J9.A52B.01	TCGA.EJ.7125.01	TCGA.G9.6494.01	TCGA.KK.A7AW.01	TCGA.HC.7078.01	TCGA.G9.A9S7.01	TCGA.V1.A8MG.01	TCGA.KK.A8IB.01	TCGA.VN.A88M.01	TCGA.KK.A59X.01	TCGA.M7.A725.01	TCGA.G9.6361.01	TCGA.KK.A7AQ.01	TCGA.EJ.A46G.01	TCGA.YL.A8SR.01	TCGA.YJ.A8SW.01	TCGA.XK.AAJP.01	TCGA.2A.A8VT.01	TCGA.V1.A9ZI.01	TCGA.KK.A59V.01	TCGA.HC.7080.01	TCGA.EJ.5517.01	TCGA.KK.A8I9.01	TCGA.VP.AA1N.01	TCGA.KK.A7AU.01	TCGA.ZG.A9LB.01	TCGA.KK.A59Z.01	TCGA.HC.7213.01	TCGA.V1.A8MF.01	TCGA.V1.A9O7.01	TCGA.HC.A6AL.01	TCGA.YL.A8SO.01	TCGA.HC.7745.01	TCGA.ZG.A9ND.01	TCGA.EJ.5518.01	TCGA.XJ.A83H.01	TCGA.ZG.A9N3.01	TCGA.KK.A8I8.01	TCGA.EJ.5527.01	TCGA.YL.A9WK.01	TCGA.V1.A9O5.01	TCGA.EJ.7123.01	TCGA.EJ.5504.01	TCGA.YL.A9WJ.01	TCGA.G9.6332.01	TCGA.CH.5762.01	TCGA.J4.A67M.01	TCGA.X4.A8KQ.01	TCGA.KK.A8IA.01	TCGA.V1.A9Z8.01	TCGA.2A.A8VX.01	TCGA.V1.A8MM.01	TCGA.KK.A8IF.01	TCGA.HC.A6AO.01	TCGA.VP.A875.01	TCGA.ZG.A9LN.01	TCGA.VP.A87H.01	TCGA.EJ.5514.01	TCGA.YL.A9WH.01	TCGA.HC.7742.01	TCGA.J9.A8CM.01	TCGA.KK.A7B4.01	TCGA.QU.A6IL.01	TCGA.KK.A8I4.01	TCGA.YL.A9WI.01	TCGA.XK.AAIW.01	TCGA.EJ.5507.01	TCGA.G9.7510.01	TCGA.EJ.5526.01	TCGA.YL.A8HO.01	TCGA.HC.A4ZV.01	TCGA.ZG.A9L9.01	TCGA.YL.A8SK.01	TCGA.CH.5767.01	TCGA.CH.5753.01	TCGA.YL.A8S9.01	TCGA.KK.A59Y.01	TCGA.KK.A7AV.01	TCGA.J4.A67N.01	TCGA.ZG.A9L5.01	TCGA.V1.A9OL.01	TCGA.G9.A9S0.01	TCGA.G9.6373.01	TCGA.EJ.A46F.01	TCGA.EJ.5532.01	TCGA.HC.A8CY.01	TCGA.ZG.A9LY.01	TCGA.YL.A8S8.01	TCGA.KK.A6E8.01	TCGA.M7.A724.01	TCGA.KK.A8IK.01	TCGA.VP.A87D.01	TCGA.YL.A8SQ.01	TCGA.QU.A6IO.01	TCGA.KK.A8I7.01	TCGA.ZG.A9L1.01	TCGA.ZG.A9LU.01	TCGA.J4.AATZ.01	TCGA.EJ.7784.01	TCGA.HC.8266.01	TCGA.2A.A8W1.01	TCGA.2A.A8VV.01	TCGA.EJ.7312.01	TCGA.HI.7171.01	TCGA.EJ.7781.01	TCGA.YL.A8HM.01	TCGA.HI.7168.01	TCGA.KC.A4BV.01	TCGA.ZG.A9LM.01
CD8+ Tcm	1559.00785854477	926.403448602812	693.64605110967	876.407272886439	732.796639221844	750.715360695541	814.40223405004	999.967482231522	737.955821279738	632.310599644009	670.147443244123	678.804653798503	907.71313238316	982.02177564265	942.109938914767	1306.2918985665	867.801380614622	979.584170304626	743.257714962458	1089.92072321188	743.173469836639	1850.18594691382	861.816062546638	1260.27060521804	1171.84640921478	894.073316779641	816.839481655763	964.833396234797	1222.03508881928	796.149861910897	1130.54267586164	1076.60231111194	603.090382237446	707.732008810195	732.922594493418	153.272082330622	763.789354710293	649.916856570449	733.498183572181	817.309009390782	840.767574799465	850.98239306122	970.768764803491	964.192396011698	751.433341919282	904.744746214515	779.081935977425	957.929157664172	853.12259048938	669.371995817156	775.338347101886	654.245097059389	632.589766764248	688.076335372603	649.925255826521	842.641889822132	768.058279870495	854.218626583351	595.877105680469	2171.7818077281	710.809268447891	1168.35530342442	654.285219816799	717.459582841529	780.321416520525	618.54903837456	725.415950531949	632.58406982973	976.046505742716	617.829370012692	875.905633230477	711.597075180949	893.547598758709	767.388224563371	682.433330057577	752.899136051826	949.21196484295	998.101850270711	958.831889151276	808.448812803957	1003.3054595843	685.554048857182	815.481130479179	714.937148400119	936.649999745851	1096.00277187298	792.106195389942	695.011631947957	804.393027352554	729.482839453552	706.008170570602	935.769477693314	763.64099736627	781.607925315154	681.743715306718	1676.07943109635	740.747874218728	878.895344527296	627.416132375844	695.583146501756	650.881338350475	936.570724239288	740.645875584458	1093.36091580515	883.306912635585	1339.67713637485	1040.09268484709	679.905142588094	959.137155952572	789.925582705045	986.557865852529	809.660350957231	759.74837848032	708.536886746944	1028.75336671719	744.131558232795	723.885138671682	1091.66375873232	858.81423783569	1001.41719711544	944.679967230916	922.719691768766	921.026584416855	748.339396451765	807.945098797984	1156.63214436882	704.226094229982	625.712145430862	798.738668163447	515.530422751459	671.540600509051	777.6537713146	821.010512321455	761.813711552991	666.980866718954	680.230489973992	619.252902211141	739.932573907002	994.707808342856	1637.04255842404	899.055124650296	686.552899245818	722.425388043247	990.04472391569	917.639898994897	1319.80155812066	554.86113403984	782.384476897589	855.457114158793
CD8+ Tem	1161.72524408772	434.626309382524	205.944172795582	395.860900925226	653.61823540637	294.305071341066	180.173248140069	369.408362297745	381.561861794879	331.353604060134	373.338553323449	224.277034418504	407.449648272883	419.447823815004	337.241690243768	684.753325454245	351.849648239665	480.893554659054	400.168291899414	637.48606915272	463.802193001581	1147.81097889522	510.048340925431	669.087570769079	805.20589006817	447.683608912234	238.701462095933	510.132277827324	645.03871186738	243.848030427771	691.354784734641	684.2019681791	318.271258312279	291.391910339032	260.593876314343	247.46563749718	270.37225240159	153.10583614086	388.265437780587	443.536000106531	465.770572215343	356.067603122876	284.663376966237	807.05462362332	362.040831292533	434.001031113159	510.058739875822	488.5997876136	431.016412844072	195.379227210149	307.594973331876	224.589477239544	435.958730727377	369.842354701972	401.4948836648	290.427619015621	340.195694970698	444.733465031459	416.056480265503	1877.2853105571	351.515948754212	372.611776734545	399.610571517029	385.591768483628	437.93404763365	422.665093771826	252.23514408658	247.853944497715	597.1923036424	429.168536868673	529.243011828395	249.640196228227	514.384413176892	430.770097362017	252.132240944685	315.172245905758	458.383377966541	483.820519759997	249.582405034797	507.947846763763	541.283539279926	149.642100429063	169.927393212326	426.022135113343	412.473537532314	392.227591412167	587.257796173076	350.783257456597	352.02147613757	440.960506309868	310.971008300025	542.039689391056	301.897795230481	413.541750078075	306.993475968845	1019.74444752161	229.680854001819	182.633021411143	235.31253910141	194.019110240607	283.353623746075	552.734889044346	512.977090469893	748.525017127131	360.754929656544	1010.79680134236	389.850664808866	209.031260288685	269.48382060183	531.8743869218	594.940079650598	514.525702294821	554.93786730966	139.66787096735	392.878122644407	146.633737507345	374.414564471227	726.891313871112	584.134909035866	477.690500646294	507.138996506001	498.748461401478	368.395444610557	370.823873654437	202.370627326479	653.189303908311	376.356840001603	255.516947474687	371.437775881245	356.727564289937	218.889756476811	289.565516173679	404.257581734787	657.922198832318	392.453829540999	182.86511863898	530.44141736513	299.156819216365	337.564907091986	1072.76857663729	399.028711210126	203.636623327782	299.853966576945	387.533571312128	318.033477052981	764.089310927558	96.430402625691	561.63568834785	315.146784197883
CD8+ naive T-cells	534.495211137603	189.516116409208	170.728034210361	219.523214730954	402.689743965861	336.806275454365	182.915830795497	497.883695915382	385.207463724162	301.681425505938	270.061875477775	236.654007529311	232.87550270839	363.166244685943	175.204429338191	243.482238845945	281.756888243785	390.787845634088	401.053114780148	247.617855305081	581.75367960558	479.901005536834	447.557266432324	325.888636034536	295.089132758057	414.3919353833	211.757653747619	254.165616239709	217.673434374842	120.090567422437	232.084150584841	380.988805758161	256.692136500981	216.790373904113	129.655414854403	541.116753046954	304.072269346286	277.482640507079	362.492679559336	561.019124562349	418.542182014555	80.8686783697343	242.806631731409	459.320471868532	268.355031985594	373.91262317519	358.324955820898	396.005269725951	482.192504216707	376.314138292756	257.234649591577	266.773627604895	274.801788425765	294.122627714684	360.233975968393	557.051915349878	379.395938008034	357.240910772105	361.539747885528	821.387515933841	276.576211150137	248.407052762839	311.733493577322	417.58219850259	304.809147186734	552.459425631505	213.164897961003	137.391404574075	274.016440278465	542.617443934646	373.698897906657	403.359795803454	270.236665861248	327.722335693938	287.40230516045	348.818485862963	435.808282120508	505.248492189068	50.0608829728462	461.669226976195	238.296136189196	75.4489826193391	171.246209418101	182.604891131334	399.091396194589	235.629411350316	396.0971105771	486.186023408927	440.81366454186	306.509505771929	493.059915838264	369.693944919079	427.709418652718	367.64087663989	349.578488690759	473.501548500152	228.093858993638	36.0310646433206	194.920023239313	139.834489581721	261.338279234656	289.59014518254	385.765972162762	380.689790356682	329.241120869402	474.984653704507	181.67190797618	280.704434319627	77.5571981204936	300.051003868	203.299305910329	506.803700407983	348.922001327718	157.043918168657	190.645095472089	331.356989471293	320.614084563348	293.104676181223	497.009722719411	504.753587178538	367.45443765166	427.818677635659	391.776028917111	594.86483799352	135.094795750987	388.02435703346	323.437388732391	243.500380887851	385.899051842152	524.63944905737	398.381112058156	311.704888265053	306.804413610625	388.243280114315	214.170072247742	638.569695084788	490.795792148403	186.921458307565	226.747309470021	325.097920387588	552.566752435935	325.277516571421	404.307980363966	478.383926397734	15.7651931754784	365.075256817097	354.96999147977	191.235946665143	459.102600769866
CLP	352.504141607795	276.407905071158	311.958150719355	257.64200292554	775.442249231775	558.350743673223	371.583970033658	640.221597744525	493.927118342369	496.769435008873	252.841707888101	395.560926712668	348.882094710118	418.123124784882	377.21747245952	278.161169763505	558.714717068743	398.127540534433	421.84035338134	271.25904515269	543.755885974751	129.097349187813	302.572781312085	526.851749803644	594.950036466403	656.79123753928	231.492213465799	365.42158791974	445.489696655943	62.2464313368516	343.744140515323	396.881962692635	403.071404915412	72.2445498779222	316.803025316583	592.15622453969	384.641729689915	288.112269911586	618.175244645756	313.582718412904	532.718604564746	120.616250339429	291.15350764804	699.998291891295	296.540196203599	449.008428649028	339.881200570938	598.247788541637	490.86983806374	589.774759208179	422.191508370654	450.543456889751	286.01176959574	161.330706202489	237.737058308724	540.186286656566	442.328097080132	115.034637776511	347.947708123093	690.159859085876	356.931972539097	407.366032447394	557.289258728164	583.085355964049	308.342263066703	648.529200163199	283.744093253965	269.136796112444	483.936194086808	265.921720150062	604.401374524727	409.043623278117	431.084896127897	349.65583823982	83.3224256957495	328.605414399277	783.478372289995	613.631387948795	286.797086882116	450.764598301908	327.138631281601	273.823205267648	393.457657347016	276.051685535656	506.204577702044	369.379189857699	494.62851201478	617.324626956338	313.372534428217	570.547776040142	558.821375954797	358.735098885963	418.103167207592	658.407309260835	375.123861117359	705.398688354294	345.885830964907	546.840677256549	530.546830350041	323.092549392699	537.405192230058	179.093290814497	476.235225636406	347.564566158264	516.609984350925	562.683001639378	475.184310067693	378.869101114481	383.718621589005	339.010737347975	562.474488522561	637.140009068237	250.617551636897	372.948316417885	294.278931126692	441.757295331094	281.343418463663	264.493125008934	529.559034428444	277.143788417713	305.684389224932	509.404916258834	680.334042014406	740.524628424674	247.68753426667	287.340241304666	436.914604466535	164.823597902329	594.039781958557	583.145533909088	614.075192858272	308.836900996572	209.315780685109	343.423428750495	299.461098332781	304.41865705438	808.825300451487	201.472822086946	52.9410409167388	319.537636436068	629.89665253796	506.165735024791	473.524479805436	488.317703200468	34.5663862930214	555.713572190627	366.501927981223	224.67597904935	677.900096309152
CMP	601.464599682991	591.429606981844	369.051535213115	402.521591735689	173.731786494988	363.485431323703	453.885339567575	338.276701960446	395.30547676714	574.88327491845	541.720245633644	843.510725752707	582.07599028842	595.335502203555	452.7924797443	602.985012519809	325.824916070117	695.575094193657	370.778479354974	343.050190892212	470.48769264118	482.861531484434	497.963461322519	572.264162045694	570.286392169734	635.73770539522	472.381482137808	765.061949097105	422.00894862723	614.289997808667	356.355839263434	302.279933020814	389.55946271172	578.372971787979	478.80520772223	564.62590143119	423.870207368815	443.65906041085	431.215363728971	480.928088481057	471.7991236594	727.703036532602	542.729302764039	566.531836587013	602.410883991669	413.611721793315	395.445257052238	435.90282416069	438.34210382113	399.971202471802	341.886540412469	275.262635624931	346.508563473614	554.925217141149	715.205812932166	416.733240730719	504.477023232338	550.355527938128	420.899189021871	376.927747258835	890.676514954829	503.429130037123	569.35361428775	307.5308608016	482.22890726607	476.214610051563	468.086200824302	440.420260044982	830.457257038099	539.251070092754	473.954366090528	310.497486135345	446.161083890758	652.846345244637	539.713107235037	408.895864408551	245.375941857516	520.317607566559	443.230678319769	479.048869682964	417.523825632852	472.501474783357	437.39606656491	480.015014460843	478.876508381916	501.719691346403	474.127733284919	355.46669494888	491.364596527615	686.976943464367	480.618342335707	428.519521153731	403.769792299064	647.953337246145	508.936893659246	345.656994933531	467.468971041844	495.549813948058	365.545406977847	406.826178652737	672.53489994111	430.553145218806	455.086535859487	500.37338075777	570.226654703307	619.583229803343	349.695807731863	373.130236425659	506.087604159206	561.281717556679	568.476224908172	451.335217212244	377.545759580309	428.106159166964	470.101602202114	642.457470382562	411.392117697532	590.11796189682	465.639887707106	676.969955820114	454.139081213848	402.509098523037	333.651774186869	531.072483410545	459.035867893748	661.177986271979	613.931595706451	433.876586637457	442.025358285027	673.10305571571	707.557782828663	550.402295780942	715.953386236767	422.268742418612	562.594581104015	494.275642062385	278.477047483598	423.662890262075	545.415996250601	335.068448691066	498.324226686127	404.448637275101	603.334749999013	385.869939269735	601.367565091272	483.142386360658	231.563049599193	524.520256741685	381.339763710034
Chondrocytes	477.179232900455	501.189057840702	1144.63150497107	944.310471228535	1563.77454748552	972.661089499792	1352.08382265324	1274.24464484797	1229.92461883242	440.655484252264	1428.48052038341	816.134590756294	464.023120656706	291.096022053119	1476.43411378202	1588.03796244204	1205.83279376839	365.594228847094	986.087696133525	1022.90808992677	990.301245649917	719.850823825884	1116.14179500571	1298.78589610079	22.3683349458404	930.649310714839	1123.33470090135	1338.79762297258	1199.76526629304	1144.8743076843	1511.18107041156	1692.62148922398	1412.74385271064	1094.41089217844	999.065643915414	182.350181299383	934.054395705393	1731.5239744215	1527.75424978764	1722.07628295861	1307.96622046324	1065.01910258138	1224.21115980043	844.262291566127	879.333978659665	799.634495605572	1194.43750992285	1071.97474984904	1026.71202065864	1172.4955744171	782.501847338036	1700.90727454427	1246.31358498544	1242.88222131341	778.735747196477	905.268192076823	884.435316942035	923.625750018573	1413.29535199982	673.220095714102	530.275550987778	1102.14820148317	1256.94054948516	1146.71979150785	520.735553307346	812.673802498906	1202.96441041949	1287.46995845256	890.056300863012	1530.158972151	1054.91711017923	1195.3039855759	1533.24262961286	408.035456691941	1576.2413938333	402.335968944477	606.63437599763	1107.42359598359	1507.10898023164	1322.67263453036	908.455371567136	646.56804498415	1443.3408386321	927.493404555406	779.028626693715	949.094650082736	1312.483287266	1559.91922584004	1162.95615419178	1573.07224343511	640.281257478255	1385.49513774111	1021.2708319812	273.523796058571	1067.00250212671	1350.5710974976	801.338587880173	1324.48883245115	1181.72036735983	1226.19644317861	1762.71207963201	1484.57819748649	647.782350718942	1727.30123957603	1103.15980239782	310.109090215664	1080.42895535509	1214.21238789834	1301.7213690861	1302.13313402138	1396.18209699854	1920.84262974489	1171.7410607556	693.065060119125	386.395402200207	349.206223969545	1030.48702089181	994.247473740069	945.236876989494	867.062479820259	1096.82973418173	869.516378897698	1565.4745399426	968.615183113711	1037.95969036736	541.668666482322	970.702328970289	1140.31748169545	702.170961333359	146.052238634093	325.834415440973	865.043952914381	1015.30316620655	818.708113818702	1017.64535653993	1254.11786563043	653.052644845077	607.944912990049	858.045705689539	833.013313051738	166.702660291736	1109.89715248389	885.927116567151	1327.67994599572	921.456979252734	838.973344611736	1706.27730828135	1595.03520281117	1379.51321240331
Class-switched memory B-cells	590.328682642198	546.698121308757	425.757610446921	749.853274496333	821.718526661383	272.11953854621	221.095388966238	754.996424478868	295.963153390856	266.450013602859	228.261254446442	629.809656977633	426.512276149132	547.949135514123	757.905414119684	1170.47935442602	396.345458572184	825.86672516526	401.184023367768	674.821964682099	429.30465458251	1652.99897484131	728.49978349836	454.614605016777	516.275050618108	523.386137111017	332.843797021019	493.290576316579	939.727066606133	518.150731522746	537.516838100765	602.626581187119	417.077914335959	419.177645008842	285.744154644972	342.26016816849	286.360105976787	620.273751457149	131.567287863461	960.996944516957	514.042733040547	567.319771038366	448.245755022801	710.585178594819	371.56190283629	495.288014631962	583.706986912131	629.441955955014	656.591901811439	340.322721421513	385.788403793665	544.22699551137	283.510637901678	588.591087716973	278.76157570802	638.235685547395	308.325065471906	780.563242129079	396.369064785136	1275.16891259109	393.902994262227	535.995449405146	372.418270367684	306.619386472244	619.762255325237	93.4611860477554	372.528326348243	861.413158989342	292.034062626238	325.065868160595	468.10724998367	542.892361728665	464.493201281975	280.70042160152	186.037521562782	560.501144272882	1069.23332684961	738.429407096216	620.529056763962	416.569061562486	465.934959624228	552.897462805865	327.396244051748	550.451121223233	454.300494232631	781.025164280297	435.388684980666	329.564924680762	565.000760776033	480.853859080869	679.935825684007	484.340148524619	724.433633158611	484.428946609308	931.861455013235	832.39432910756	548.343184083219	341.533471878526	572.143108433717	448.250606458254	372.800518348194	826.362437089645	358.159593480994	915.674335217342	692.781558804889	559.895314214632	463.818031779191	265.025009159247	349.132425781154	578.206075860865	778.36171868762	512.234327198912	269.385385514042	424.147240697557	681.720780502324	631.782830813433	525.19254097463	960.598201638699	466.457451500378	332.30633531406	538.905435380823	371.376755815317	594.646973383455	449.754944576843	548.827406848377	1040.63553485129	237.868046979847	549.328060474123	340.962913195527	283.88827325934	536.109010753044	626.74926058754	737.759508000305	504.951948830719	483.046186631072	588.410285759473	220.405379985587	613.109010254229	918.988737651208	693.90305783268	394.053935447208	615.052372639584	520.749834727163	572.690043174476	644.441293831199	624.690307341015	255.120759078163	701.155800811402	630.219827976798
DC	1283.56900322947	564.225262902151	1094.64025094332	867.264982440005	953.08744941568	903.580431306853	972.51981977784	1148.65037916499	1166.29784881474	649.478293268134	1124.97994684172	1109.85989360888	983.112838926517	57.7741400177909	1105.45814312757	1505.87844127784	1050.79806270261	862.324907935261	649.244868265587	1378.77058852918	555.784130120159	1708.20098518192	1120.44050476411	1321.89594283694	1030.77845681379	723.046057051513	880.086033443052	1006.26242840363	1959.24764677	845.92894348953	1603.01128516319	1542.03318916135	984.958697805616	676.548891313003	754.398490246766	521.474135669848	718.809709952702	1004.28388461926	1155.86350184357	1148.29762735741	905.937480084864	1059.92401596463	692.242877890139	1332.58749585594	1112.41193894844	727.500158235402	573.79087835825	1127.23799345745	525.254988236372	869.456003257972	1167.71534253822	951.785227339057	651.436815524694	903.343387684517	560.545666171045	678.338467500017	706.416853579919	830.15027407866	1476.76399744399	1660.52929547365	621.330442687201	971.059496678498	968.248211208357	1250.82748595516	717.737422584464	1304.28878351411	1357.00089235111	1195.75866378105	1068.63823673308	986.558018890229	1153.38738050123	571.373534203583	1238.73730548492	339.200324715368	1024.99400182687	659.150257590329	903.887416265745	1078.87000465465	1370.86484050047	1071.17761560451	1405.11135661863	710.123365344617	1037.28356597934	1101.59640176241	739.341569643985	1066.034204413	1164.88707489646	914.075561083922	780.423462326244	833.244318699166	214.264481365821	1085.82197684203	315.031793308118	1082.67927605439	773.929523360705	1634.03360592078	569.28475666058	1210.12729980665	725.48311710763	777.627174784589	1026.86393176175	1078.54605111323	620.1687766798	1693.91845000178	743.99230688423	807.540663002925	940.504629284909	1007.7706669506	1151.47349670492	1372.24894927436	1166.92389187732	1513.02420959011	599.684262734784	701.450926033306	951.705154540988	494.669362337806	1004.69727588998	1252.60902829643	1285.42424461849	875.543342671411	976.475051096933	1160.61800776064	1140.99966739181	780.979746127339	713.803829647081	1273.68673405181	1017.94337902095	758.156598511544	487.548092207947	510.96736034224	496.137031999984	738.568049914419	842.290408869133	947.310828396486	992.045891638168	614.322986820051	1030.06690915014	732.307538711689	1044.4239938714	1645.41598672135	699.407471320117	662.904989226831	720.295087024305	1041.49690426352	971.996587855706	1297.8224420154	663.528915665995	1190.07432596029	874.066732995107
Endothelial cells	1100.41159456993	735.578626721874	1101.52890727018	500.68239567365	1177.50965918646	1067.09897487027	1235.70470137262	773.421521426959	1888.36863804157	761.82269871002	2422.48179507736	1282.79768815127	569.150104571439	451.598582923379	1129.14990481832	1163.91658451426	743.831456651581	770.358338870017	912.387787804396	2234.93401114419	716.435163661237	1528.06750591547	1408.69735823141	689.754502570429	792.38653645375	383.965475675584	912.473431025864	1385.99903996691	1185.61415268022	1694.20106405423	1434.02293877957	1772.49241930528	1105.30965355517	965.984387643485	1750.14164911114	659.894592453854	1143.43087121466	1618.6323276079	1576.53986178498	1106.6405466858	1028.05586814788	1396.85034069842	932.598727912296	1172.27975881588	1739.79428285082	450.01691342014	1280.23402465391	1118.74916009451	864.383722153493	930.349197108433	505.99206531374	1442.43539850854	1580.09257687968	1136.40796882846	3023.72746703366	171.022040530949	579.385323835592	788.755339784237	1795.39350174067	827.776067338308	1506.93185632365	1002.31779072184	2193.36485189136	1012.94422075517	571.913733472569	845.322645255927	1726.78340133697	875.058275579251	1905.90872784011	1741.56728259057	1324.6611048357	1237.55525912625	1617.77694783485	913.253656824066	2205.51773086829	822.094517655215	465.937004503194	762.943021179013	969.388850960462	2012.26577027284	720.484864110853	1196.94989888293	1446.94211333207	1478.77830459504	422.734032245662	822.022203451959	1532.01589136421	1260.79563258099	687.827918477221	2173.13065481516	107.695769691583	1538.03547542948	462.838621054266	1089.88173442623	292.127031182553	1058.78237204616	581.119991232499	1106.02169054377	530.116366524594	1225.6792659983	1211.0383872247	645.564614446012	1064.80929829562	2141.06007522504	499.460096147301	953.60122633187	947.122269302986	1542.33123345752	847.703958153304	1837.22074986111	1115.55132068224	1364.70746363574	1046.33739964287	769.136903631013	221.820087391648	651.417174304081	806.394311324107	1446.13013144776	926.795774085364	846.426051045163	813.510311497516	519.048759496019	1077.09162002197	578.769143017756	1325.90739752319	485.290723614636	1266.76347329388	1116.55343147572	1219.50518186199	1273.26917025235	1214.69650810417	582.133315086955	1339.28962802161	1306.40679404873	2502.59066005154	1497.52180626116	1012.4120033149	543.448307164031	481.198407571804	1342.14574361757	335.534714122585	1080.35799464692	1030.608439991	1023.56367931707	670.219916550242	692.282448261148	1735.20222039775	1098.7911659799	450.603317547469
Eosinophils	482.156758280157	255.399781071346	550.369163100816	567.303030598356	412.910943493013	626.171875850374	425.960680024732	717.807737067753	673.154228038059	432.250316155148	668.901587746829	571.74173221687	679.928100214153	325.018794587892	593.124842967432	451.433606723879	796.013189493208	240.627667174815	438.66070594256	662.672660457515	788.947577676562	442.192854113616	781.81285395841	533.416507658129	206.018188545632	517.244117530465	513.406156673038	692.967014614017	579.985957213794	442.931098417763	923.907429643855	750.111169499298	854.82098060422	647.93946059282	603.426838256495	580.062443916142	599.493320418696	426.911596044351	384.882803482477	455.029760030121	829.740471501326	542.301121402348	762.083243202718	768.838872914626	527.879077628383	487.866621721184	447.681841271447	637.813451213846	721.488304274426	300.646474252054	830.231656165258	729.66202123418	634.3201926538	599.136390111831	418.471380366289	602.700183266468	533.997629667927	625.194967564351	631.154963792677	554.722657722518	494.491930458819	344.062255493469	683.834763190985	590.482979170852	443.590331045726	614.978873230785	1234.08815038222	800.504831244073	526.388784318266	681.065775930224	718.013843801503	690.338599524537	634.305532694838	405.382123184309	460.01786325028	616.745333998404	557.55197905817	523.128274512607	510.414924845341	433.395514359935	668.024619105247	533.100248761953	408.119020347244	651.804391554036	511.436918559038	529.57036920567	860.627163727834	739.947672921147	418.484381352267	584.361235685673	275.26567890707	504.673213591431	307.03739890453	427.688254297597	446.266222373943	510.648178485705	694.682291014225	317.432026879638	773.96281372025	471.194489716558	767.80859343237	630.49950311212	484.973483995955	908.128353780616	331.269001556088	357.126784606508	478.599566460361	592.880741397471	494.007449794591	588.808190929738	522.482967236089	583.602062609007	712.100913837251	265.935546286015	566.607471761688	284.840030493623	706.545351744021	581.767500388444	709.436785109969	563.700249066977	638.390839228751	478.092943728834	558.21525032601	413.130659105571	370.553370448885	677.542147138493	740.200130499783	755.124786936204	332.191996070996	442.004575936216	347.603613996999	511.265647177172	484.520923170337	720.24283423729	628.050639465999	601.38476321142	599.504228301199	749.908094667797	609.643223047399	507.268850123271	317.283959041911	554.326375974835	478.379032743947	467.496316301668	538.543717835693	327.944467264398	625.1663750303	537.161377096488	362.362728801549
