Unnamed: 0	mean	norm_mean
ly Endothelial cells	995.3884865486532	0.17037314227978126
HSC	994.1951499714756	0.17016888785530412
Epithelial cells	954.1051391836617	0.16330698297670443
Keratinocytes	935.6489687336046	0.16014797943535317
Astrocytes	913.1429020548723	0.15629578569167307
pDC	897.4225219852991	0.15360504676262207
aDC	893.789214936125	0.15298316098917755
Endothelial cells	877.650887121239	0.15022088509577547
Chondrocytes	849.7555707278315	0.14544625411193474
Megakaryocytes	811.2502163802865	0.13885558292833047
Sebocytes	786.6225188503296	0.134640245628375
DC	753.840755794877	0.1290292384118919
Melanocytes	738.5232899036503	0.1264074632648834
CD8+ Tcm	694.6147883380642	0.11889197611025076
Pericytes	683.2382153485692	0.11694473388795407
Th1 cells	675.2506199862058	0.11557755741410931
Myocytes	660.9878433199676	0.11313630546966766
Tregs	639.0401254311905	0.10937968007856379
MEP	630.4020491857605	0.10790116569641625
Mesangial cells	621.8608702509931	0.10643923649635506
cDC	612.5477062032427	0.10484517242506568
mv Endothelial cells	599.4040718074276	0.10259547562501918
Skeletal muscle	593.6859290479529	0.10161674424214572
iDC	585.199000459868	0.10016410066489308
Class-switched memory B-cells	566.0864983140889	0.09689275777575038
Neutrophils	541.6845354718507	0.0927160577803126
NKT	539.0682253077731	0.09226824369580576
MSC	537.2036767099333	0.09194910297051087
naive B-cells	530.2995446154993	0.09076737473521454
Eosinophils	529.4568552872072	0.09062313795654275
Th2 cells	529.4563267417515	0.09062304748940218
Preadipocytes	526.2947208206374	0.09008189924154747
CLP	505.1192809167858	0.08645745885035401
Fibroblasts	503.1915467697997	0.08612750313101386
CD4+ memory T-cells	497.30062169137665	0.08511919790133846
Adipocytes	494.5961482619603	0.084656293575431
Smooth muscle	493.11787665496604	0.08440326897023402
Monocytes	490.9046655026029	0.0840244503043037
Osteoblast	482.22289475497155	0.08253845706365923
Plasma cells	477.5748557055159	0.08174288726453419
NK cells	469.7237948173267	0.08039908036720043
B-cells	464.52239414733185	0.0795087958316862
Hepatocytes	464.4073487293183	0.07948910437489648
Erythrocytes	459.95867890306744	0.07872765910251683
CD4+ naive T-cells	444.764326643952	0.07612695638767299
CMP	440.8811749169251	0.0754623065844824
CD4+ T-cells	437.28363002606767	0.07484654195003985
Platelets	429.9677090616963	0.07359433091865422
MPP	427.015643770428	0.07308904816052994
Macrophages M2	416.8408760393137	0.0713475098830203
CD8+ T-cells	412.34314428121246	0.07057766704967965
Macrophages M1	411.0225076072425	0.07035162362744324
GMP	404.94558300813947	0.06931148226219963
pro B-cells	378.1902281941363	0.06473196990690037
Memory B-cells	368.13870067504564	0.0630115257272846
Neurons	365.4331806218843	0.06254844225868199
Basophils	364.38985916169736	0.06236986479070634
CD4+ Tem	360.52854259949237	0.061708952348047026
CD8+ naive T-cells	356.15810430812076	0.06096089737764782
CD4+ Tcm	354.70699819556086	0.060712522485312614
CD8+ Tem	338.1910822849629	0.05788561768448069
Macrophages	332.8676940098022	0.05697445345034412
Mast cells	326.34285414206863	0.05585764580573025
Tgd cells	324.3385148415398	0.055514578159840546
