	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81
Neutrophils	1	1	1	1	1	0.342373333333333	1	0.213083333333333	0.562306666666667	0.11446	0.00500333333333336	0.0487266666666667	0.101683333333333	0.27285	0.446056666666667	0.0866366666666667	0.0188033333333333	0.00182000000000004	1	0.304176666666667	0.221766666666667	0.902183333333333	0.50587	1	1	0.574473333333333	0.494656666666667	0.76536	0	1	1	0.521763333333333	0.41005	0.6708	0.26301	0.00585999999999998	0.789316666666667	0.562306666666667	1	0.286523333333333	0.25489	0.0644866666666667	0.604553333333333	0.01168	0.0223033333333333	0.830166666666667	1	0.14664	0.221766666666667	0.18752	0.226396666666667	0.256526666666667	0.141816666666667	0.94487	0.789316666666667	1	0.0374633333333333	0.127253333333333	2.000000000002e-05	1	0.0158366666666667	0.271213333333333	0.659776666666667	0.09093	0.03044	0.533516666666667	1	1	0.248463333333333	1	0.160216666666667	0.83974	1	0.403823333333333	0.823476666666667	0.20854	0.344293333333333	1	0.684533333333333	0.0285266666666667	0.0323233333333334
Osteoblast	1	1	1	0	0	0.0834766666666666	0.1149	0.39487	0.0261133333333333	0	1	0.893646666666667	0	0	0	1	0.0335233333333333	1	0	1	0.176596666666667	0	0	1	0.193133333333333	0	0	0	1	0.354376666666667	1	1	0	0.0680033333333333	0	1	0.211893333333333	0.01024	0	0	0.22667	0.678883333333333	0	1	1	1	0.0278066666666666	1	1	0	0.0100966666666666	0	1	1	0.335286666666667	1	0	0	0	0.0327766666666667	0	0.761056666666667	0	1	1	1	0	1	0	0.49916	1	0.19946	0	1	1	0.05562	0	1	0.00588	1	0
Pericytes	0	0	0	0.00562333333333331	0	0.000743333333333318	0	1	0	0.03798	0	0	0	0.32076	0	0	0	0	0	0	0.0180466666666667	0	0	0	0.254623333333333	0.00519666666666663	0	0	0	0	0	0	0.0861733333333333	0.00679666666666667	0	0.147526666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.393596666666667	0	0	0	0.0351933333333333	0	0	0.203986666666667	0	0	0	0.0619333333333333	0	0.0194733333333333	0	0.00625333333333333	0	0.52881	0	0	0	0	1	0.00497333333333339	0	0	0.29518	0.0608933333333334	0	0	0	0
Plasma cells	0	0.125596666666667	1	0	0.00112000000000001	0	0.166676666666667	0.16354	0	0	0	0	0	0	0	0	0	1	0.000793333333333313	0	0	0	0.000176666666666714	0	0	0.0193466666666666	1	0	0	1	1	0.12984	0	0.118813333333333	0.00717999999999996	0	0.76321	0.00567333333333331	0	0	0.730316666666667	0.02091	0	1	1	0.0578666666666666	0	0.0514133333333333	0.0514133333333333	0.0316333333333333	0.24698	0	0	0	0.05974	0.00112000000000001	0	0	0	1	0	0	0.104413333333333	1	0	1	0	0.000149999999999983	0	0.201486666666667	1	0	0	0.0522933333333333	1	0	0	1	0	0.00876999999999994	0
Platelets	0.976553333333333	0.80479	0.167696666666667	1	1	0.164043333333333	0.155553333333333	0.761176666666667	0.223273333333333	0.16153	0.26455	0.117816666666667	0.811783333333333	0.45107	0.673376666666667	0.54529	0.246846666666667	1	1	0.50954	0.184633333333333	0.494786666666667	0.20693	1	0.369743333333333	0.460386666666667	0.964093333333333	0.17964	0.240563333333333	0.240563333333333	1	0.130773333333333	0.247876666666667	0.487533333333333	1	0.223273333333333	1	0.487533333333333	0.261016666666667	0.506993333333333	0.136003333333333	1	1	0.895576666666667	1	0.185396666666667	0.562876666666667	0.565356666666667	0.353276666666667	0.25206	0.17631	0.205996666666667	1	0.557806666666667	1	0.205576666666667	0.0798	0.198506666666667	0.583536666666667	1	0.0512066666666666	0.265826666666667	0.532453333333333	1	0.349246666666667	0.562876666666667	0.310606666666667	0.872316666666667	0.330406666666667	0.761176666666667	0.287886666666667	0.10036	0.86337	0.856773333333333	0.258773333333333	0.185396666666667	0.10233	0.716176666666667	1	1	0.23613
Preadipocytes	0.0988433333333333	1	0.810376666666667	1	1	1	0.41474	0.361596666666667	0.000206666666666688	0.0676066666666667	0	0.06142	1	0.131473333333333	0.95188	0.0346166666666666	0.65845	0.0870300000000001	1	0.22459	1	1	0.0976900000000001	1	1	0.845916666666667	0.0312033333333334	0.164413333333333	0.000906666666666611	1	1	0.0346166666666666	1	0.10424	1	0	1	1	1	1	0.699386666666667	1	1	0.00924666666666663	1	0.00221666666666664	0.178873333333333	0.0540866666666666	0.0481266666666667	0.207376666666667	0.0726599999999999	0.361596666666667	0.796543333333333	0.48233	0.01715	0.17559	1	0.08379	0.368446666666667	1	0.0908099999999999	0.00672666666666666	0.25905	0.03024	0.562986666666667	1	1	0.730293333333333	0.324143333333333	0.603236666666667	0.97241	0.154783333333333	1	1	1	0.00454333333333334	0.0896766666666666	0.98421	1	1	0.000973333333333382
Sebocytes	0.0554133333333333	0.0411866666666667	1	0.000326666666666697	0.19955	2.99999999999745e-05	0	0.192753333333333	0.13251	0	0.108536666666667	0.00131999999999999	0	3.33333333335517e-06	0	0.00746333333333338	0	0.00560333333333329	0	0	0	0.2852	0.32201	0	0	1	0	0	0	0.0266366666666666	0.306383333333333	0.0773066666666666	0	0.00285333333333337	0.114413333333333	0.00159333333333334	0	0.23399	0	0	0.000870000000000037	0	0	0	2.66666666666193e-05	0.000663333333333349	0.16504	0	0.000223333333333353	0	0	0.306383333333333	0.306383333333333	0	0	0.0125933333333333	0	0.0679666666666666	0.0679666666666666	2.66666666666193e-05	0	0.0636133333333333	0.114413333333333	0.108536666666667	1	0.00131999999999999	0.0518066666666667	0.0142133333333333	0	0.0518066666666667	0.00159333333333334	0	0.331236666666667	0	0.18573	0.0444766666666667	0	1	0	1	0.0266366666666666
Skeletal muscle	1	1	0	1	1	0	1	0.947516666666667	0.0126733333333333	0.00907333333333338	0.98251	0	0.86071	0.325086666666667	0.0634066666666666	1	0.69575	1	1	1	0	0.98251	0.998443333333333	1	0.03086	0.958416666666667	1	1	1	0	1	0	1	0	0.41288	0.489693333333333	1	1	0	1	0.0495433333333334	1	1	0.49855	1	0	0.98653	1	1	1	0	1	0.755966666666667	1	0.14335	0.14819	0.287666666666667	0.596676666666667	0.813503333333333	0.41288	0.000279999999999947	0.33289	0.788923333333333	0.623816666666667	1	0.99601	0.438006666666667	1	1	0.796983333333333	1	0.0478866666666666	0.3483	1	0.788923333333333	0.01895	0.113086666666667	0.86071	1	0.00455000000000005	1
Smooth muscle	1	1	1	1	1	1	1	0.149833333333333	1	0.254003333333333	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.52901	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.68875	0.5147	1	1	1	1	1	1	1	1
Tgd cells	0.98806	0.939083333333333	0.86286	0.872796666666667	0.49832	0.354573333333333	1	0.29455	0.98806	0.26587	0.716816666666667	1	0.136483333333333	0.33589	0.0503966666666666	0.401086666666667	0.18861	0.576603333333333	0.482676666666667	0.293173333333333	0.910053333333333	0.476163333333333	0.60241	1	0.91866	0.217983333333333	0.3756	0.402063333333333	0.163986666666667	0.346876666666667	0.132353333333333	0.6244	0.321296666666667	0.575446666666667	0.11482	0.35264	1	0.05989	0.297273333333333	0.408856666666667	0.422006666666667	1	0.550963333333333	1	1	0.178623333333333	0.232966666666667	0.83305	0.44587	0.330566666666667	1	0.216723333333333	0.37025	0.837356666666667	0.470806666666667	0.256253333333333	0.163443333333333	0.519226666666667	0.356303333333333	0.44992	0.356303333333333	0.62302	0.328926666666667	1	0.20164	0.61016	0.574273333333333	0.443863333333333	0.152746666666667	0.88733	0.420173333333333	0.165696666666667	0.0505766666666667	0.395436666666667	1	0.10809	0.638696666666667	1	1	0.894473333333333	0.571773333333333
