	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81
Adipocytes	0.110176666666667	1	0.53464	1	1	0.687203333333333	0	0.910033333333333	0	0.71244	1	0	1	0.910033333333333	1	1	0	1	0.716796666666667	1	0.00260333333333329	1	1	0.734276666666667	0.0589866666666666	1	0.13174	0.8425	0.0330933333333333	0.0486733333333333	1	0	0.426426666666667	0.000626666666666664	0.512326666666667	0.00350666666666666	1	1	0.65352	1	0.0109966666666667	0	0.0121599999999999	0.436843333333333	0.632983333333333	0.16045	0.000456666666666661	0.0112533333333333	1	0.188906666666667	0.0319966666666667	1	0.229666666666667	0.476093333333333	0.373463333333333	0.0315033333333333	1	0.2051	0.06354	0.443863333333333	0.332796666666667	0.01354	0.24475	0	1	0.0801166666666666	0.46158	0.573223333333333	0.08314	0.504753333333333	0.832393333333333	0	1	1	0.108433333333333	1	0.00467666666666666	1	0.71244	0	0.472606666666667
Astrocytes	0.173566666666667	1	0.229483333333333	1	1	1	0.0726233333333334	1	1	1	0.2164	0.232053333333333	1	1	1	0.19256	0.22691	0.240413333333333	1	0.0169166666666667	1	1	1	1	1	1	0.06771	1	0.28948	0.310726666666667	0.0976333333333333	0.00388999999999995	1	1	1	0.186463333333333	1	1	1	1	1	1	1	6.66666666671034e-06	0.0416566666666667	0.36303	1	0.05337	0.0820166666666666	0.0582266666666666	0.266693333333333	1	1	1	0.06687	0.258473333333333	1	1	1	0.127943333333333	1	0.18344	1	0.000446666666666706	1	0.12736	1	0.0672533333333334	1	1	0.0943533333333333	1	0.308363333333333	0.27532	0.0353333333333333	1	1	0.107096666666667	1	1	1
B-cells	1	0.578366666666667	0.01109	0.420076666666667	0.588193333333333	0.0189966666666667	0.000166666666666648	0.00765666666666664	0.0598533333333333	0.00627999999999995	0.0177833333333334	0.00392333333333328	0.297446666666667	0.0680866666666666	1	0	0	0.521183333333333	0.627166666666667	0.00648000000000004	0.0532966666666667	1	0.104896666666667	1	0.09584	0.264873333333333	0.0831333333333333	0.00453333333333328	0.0568366666666666	0	0	0	1	1	0.0919766666666667	0.0133433333333334	0.00544666666666671	0.1075	0	0.00466666666666671	0	1	1	0.146343333333333	0.558886666666667	0.0181533333333334	0.238423333333333	0	0.0158233333333333	0	0.0454466666666666	0.166676666666667	1	0.69604	0.84036	0.152126666666667	0.04312	0.35325	1	0.271913333333333	0	0.11949	0.0174433333333334	0.594896666666667	0.792833333333333	0	0.764123333333333	0	1	0.700516666666667	0	0.000323333333333342	0.00303333333333333	0.0317266666666667	0.00052333333333332	0.235403333333333	0.270033333333333	1	0.463856666666667	1	0.223203333333333
Basophils	1	1	1	0.25162	0.637333333333333	0.198	0.259666666666667	0.32767	0.363876666666667	0.269913333333333	0.390483333333333	1	0.174543333333333	0.498726666666667	0.214413333333333	0.69586	0.46649	0.199766666666667	1	0.71351	0.253846666666667	0.206916666666667	0.221686666666667	0.32449	0.681726666666667	0.383416666666667	0.734036666666667	0.3449	0.530416666666667	1	1	1	0.170673333333333	0.251053333333333	0.0642866666666667	0.843866666666667	0.277333333333333	0.735693333333333	0.602726666666667	0.29776	0.197246666666667	0.140266666666667	0.43657	0.652363333333333	0.690186666666667	1	0.259296666666667	1	0.478906666666667	1	0.217466666666667	0.0862733333333333	0.32027	0.660113333333333	1	1	0.152786666666667	0.133003333333333	0.234543333333333	0.22696	0.152786666666667	0.447926666666667	0.534396666666667	1	0.203393333333333	1	0.330886666666667	1	0.122326666666667	1	1	0.50131	0.119166666666667	1	1	0.23818	0.146273333333333	1	1	1	0.178333333333333
CD4+ T-cells	1	0.391556666666667	0.101893333333333	0.630623333333333	1	0.131573333333333	0.31773	0.23863	0.06689	0.29487	0.179156666666667	0.314996666666667	0.657566666666667	0.267906666666667	0.632043333333333	0.0589533333333333	0.384713333333333	0.229023333333333	0.645593333333333	0.0287933333333333	0.38099	1	0.15457	1	0.535246666666667	0.64322	0.186643333333333	0.376946666666667	0.0815366666666667	0.296803333333333	0.12225	0.0168233333333333	0.607466666666667	0.535246666666667	1	0.105796666666667	1	0.0495533333333333	0.309623333333333	0.4086	0.0644566666666667	1	1	0.418623333333333	0.50898	0.170596666666667	0.34045	0.125143333333333	0.09939	0.411273333333333	0.499463333333333	0.61114	1	0.639066666666667	0.59288	0.314346666666667	0.176216666666667	0.55666	0.482176666666667	0.4086	0.0596333333333333	0.53807	0.277976666666667	0.354446666666667	0.21977	0.21244	0.34045	0.27732	0.229023333333333	0.60376	0.0591633333333333	0.245556666666667	0.203943333333333	0.529766666666667	0.273663333333333	0.217896666666667	0.337656666666667	0.49885	1	0.658003333333333	0.57528
CD4+ Tcm	1	0.00273666666666672	0.00130666666666668	0	1	0.0328866666666666	0.87084	1	0.241186666666667	1	1	0.209733333333333	1	1	0.0876400000000001	0.556776666666667	1	0.156976666666667	1	0.20193	0.00721666666666665	1	1	0.405963333333333	0.000933333333333342	1	1	0.463756666666667	1	1	1	1	1	0.56434	0.209733333333333	1	0.000789999999999957	0.16833	1	0.04067	0.49429	0.08043	1	1	1	1	0.0527466666666667	0.000716666666666699	0.0538366666666666	1	1	0.241186666666667	0	1	0.351093333333333	1	0.353293333333333	1	1	1	0.2984	1	0.0449433333333333	1	1	0.576076666666667	0.0300266666666666	0.31999	0.0757933333333334	0.0113866666666667	0.0932933333333333	0.32577	1	0.0664400000000001	0.0363566666666667	0.0813166666666667	0.0937966666666666	0.13263	0.105986666666667	0.17793	0.697386666666667
CD4+ Tem	0.739156666666667	0.328416666666667	1	0.11401	0.43728	0.619336666666667	1	1	1	1	1	1	0.794896666666667	1	0.484673333333333	0.6227	1	1	1	0.957223333333333	0.47185	1	1	0.418606666666667	1	1	0.76154	0.627513333333333	1	0.547006666666667	0.25193	1	1	1	0.567993333333333	1	0.127186666666667	1	0.681556666666667	0.130893333333333	0.25193	0.274916666666667	0.65027	1	1	1	0.77512	1	1	0.48741	1	0.421246666666667	0.79096	1	1	0.732816666666667	0.688363333333333	0.72959	1	0.452306666666667	0.2733	1	1	1	1	1	1	0.619336666666667	0.792896666666667	1	0.72959	1	1	1	0.537416666666667	1	0.48554	1	0.0965266666666666	1	1
CD4+ memory T-cells	0.314223333333333	0.51925	0.451826666666667	0.593076666666667	0.84861	0.274023333333333	0.25287	0.0346266666666667	0.20948	0.09513	0.35795	0.06872	0.505316666666667	0.0698566666666667	0.66579	0.128603333333333	0.17905	0.224223333333333	0.44894	0.0783733333333333	0.198296666666667	0.582426666666667	0.0894566666666666	0.859773333333333	0.38291	0.219263333333333	0.169726666666667	0.25869	0.0897566666666667	0.136273333333333	0.0750833333333333	0.10635	0.39652	0.442886666666667	0.544333333333333	0.05697	1	0.07459	0.278026666666667	0.476496666666667	0.0749833333333333	1	0.874616666666667	0.585496666666667	0.44469	0.0915566666666666	0.113523333333333	0.241203333333333	0.15444	0.10299	0.358553333333333	0.212956666666667	0.47703	0.458313333333333	0.63138	0.100086666666667	0.06665	0.62905	0.361406666666667	0.181803333333333	0.0652666666666667	0.422606666666667	0.114783333333333	0.464806666666667	0.206923333333333	0.0826133333333333	0.15692	0.276083333333333	0.0954566666666666	0.490746666666667	0.06334	0.158416666666667	0.0130066666666667	0.132116666666667	0.242106666666667	0.15202	0.11679	0.180826666666667	0.72888	0.351403333333333	0.223113333333333
CD4+ naive T-cells	1	0.607396666666667	0.11725	1	1	0.57095	0.26222	0.74036	0.442093333333333	0.71909	0.17028	1	1	1	1	0.111633333333333	0.418586666666667	0.26222	1	0.18403	1	1	0.122206666666667	1	0.25656	1	0.501766666666667	0.634243333333333	0.422403333333333	0.35046	0.00953000000000004	0.0201066666666667	1	1	0.706113333333333	0.637613333333333	0.123886666666667	0.382426666666667	1	0.69875	0.05146	1	1	0.265076666666667	0.19703	0.82302	0.87623	0.13588	0.364576666666667	0.583443333333333	0.101603333333333	0.886303333333333	1	1	0.96433	0.62595	0.88883	0.477823333333333	0.893836666666667	0.64639	0.26971	0.648233333333333	0.7945	0.05833	0.34578	0.100193333333333	0.89647	0.634243333333333	1	1	0.05927	0.602666666666667	1	0.94755	0.0382566666666667	1	1	0.732433333333333	1	0.954296666666667	1
CD8+ T-cells	1	0.16851	0.0775966666666666	0.14754	1	0.179356666666667	0.597193333333333	0.3726	1	1	1	0.431303333333333	1	0.540403333333333	0.317473333333333	1	1	1	0.314036666666667	0.175923333333333	0.250176666666667	1	0.10981	1	0.0583666666666667	1	0.479036666666667	1	1	0.69208	0.19149	0.439243333333333	0.153296666666667	0.214133333333333	0.49111	0.700876666666667	0.18614	0.0237266666666667	0.1566	1	0.324503333333333	1	1	1	0.272686666666667	0.18614	0.296546666666667	0.517913333333333	0.18433	0.695076666666667	1	0.0775966666666666	0.44229	0.689416666666667	0.53292	0.284543333333333	0.467843333333333	1	1	0.766036666666667	0.783943333333333	1	0.317473333333333	1	0.362336666666667	0.484106666666667	0.368623333333333	0.342983333333333	0.121973333333333	0.295446666666667	0.248083333333333	1	1	1	0.273783333333333	0.262133333333333	1	0.410516666666667	0.68101	1	1
CD8+ Tcm	1	0.0571733333333333	0.836603333333333	0.750213333333333	1	0.297513333333333	0.97085	0.16279	0.675316666666667	0.23807	0.32057	1	1	0.66543	0.77964	0.0834466666666667	0.286773333333333	0.2986	0.151993333333333	0.216796666666667	1	0.453943333333333	0.48386	1	0.51055	1	0.0229666666666667	0.75742	0.50112	1	0	0.943406666666667	1	1	1	0.07948	0.458406666666667	0.0702733333333333	0.512133333333333	0.84236	0.0692866666666667	1	1	0.667353333333333	1	0.388813333333333	1	0.440936666666667	0.469896666666667	0.142516666666667	0.640896666666667	0.41593	1	1	0.97749	0.80594	0.82522	1	1	1	0.20664	0.66543	1	1	0.651096666666667	0.913603333333333	1	0.15916	0.499483333333333	1	0.200996666666667	0.28388	0.52881	1	1	1	0.491436666666667	1	1	1	1
CD8+ Tem	1	0.426216666666667	1	0.540836666666667	1	1	1	1	0.918876666666667	1	1	1	1	1	1	1	1	1	0.974593333333333	0.89416	1	1	1	1	1	1	1	1	1	1	1	1	0.908876666666667	1	1	1	0.302996666666667	0.77712	1	1	0.852063333333333	1	1	1	0.918876666666667	1	1	1	0.851003333333333	1	0.78142	0.73377	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.907603333333333	1	1	0.868946666666667	1	1	1	1	1	1	1	0.774023333333333	1	1
CD8+ naive T-cells	0	0	0	0	0	0	0	0	0	0.00448333333333328	1	0	0	0	0	0.31898	0.299513333333333	0.51029	0	0	0	0	0	0	0	0	0.00985999999999998	0	1	0	0.25579	0	0	0	0	1	0	0	0	0	0	0	0	0.171006666666667	0	0	0	0	0	0	0.01592	0	0	0	0.000750000000000028	0	0	0.00281666666666669	0	0	0.00176333333333334	0.00722666666666671	0	0	0	0	0	0	0	0	0.000129999999999963	0.0255466666666667	0	0.000750000000000028	0	0	0	0	0	0	0
CLP	0	0	0.0556966666666666	0	0	0	0	0	0.0742699999999999	0	1	0	0	0	0	0.493276666666667	0	0.51671	0	0	0	0	0	0	0	0	0	0	0.156626666666667	0	0	0.0475233333333334	0	0	0	0.000376666666666692	0	0	0	0.0013266666666667	0	0	0	0.154266666666667	0	0.01411	0	0.164103333333333	0.132233333333333	0	0	0	0	0	8.66666666666793e-05	0	0	0	0	0	0	0.0138033333333333	0	0.000410000000000021	0.0644933333333333	0	0	0	0	0	0	3.33333333335517e-06	0	0	0	0	1.66666666666648e-05	0.01001	0	0	0.114243333333333
CMP	1	1	0.169223333333333	1	1	0.52025	0.0873833333333334	1	0.12552	0.0237766666666667	1	1	0.311713333333333	0.301226666666667	1	1	0.140476666666667	0.1584	1	1	0.928686666666667	1	1	1	1	0.730056666666667	0.10609	1	0.131366666666667	1	1	0.109006666666667	1	0.596116666666667	1	0.168766666666667	1	0.17327	1	0.22995	0.0501066666666666	1	1	1	0.776003333333333	0.232536666666667	0.0857966666666666	0.20434	0.47741	1	0.09716	0.0880066666666667	1	1	1	0.889636666666667	0.166876666666667	0.16976	0.124343333333333	1	0.150076666666667	0.09088	1	0.668493333333333	0.41526	1	1	1	0.224146666666667	1	1	0.211993333333333	1	1	0.642826666666667	0.658956666666667	0.133296666666667	1	0.527276666666667	1	0.07798
Chondrocytes	0	0	0	0.00413333333333332	0	0.0500533333333333	0	0	0	0.00363000000000002	0	0	0	0.132803333333333	0.0276933333333333	0	0	0	0	0	0	0.15932	0	0	0	0	0	0	0.0124133333333334	0	0	0	0.0106933333333333	0	0.126266666666667	0	0	0	0	0.0035466666666667	0	0	0.0641166666666667	0	0	0	0	0	0	0	0	1	0	0	0.00502333333333338	0	1	0	0	0	1	0	0	0	0.01305	0	0	0	0.44208	0	0	0.0969733333333334	0	0	0	1	0.172363333333333	0	0	0	0.00123333333333331
Class-switched memory B-cells	0	0	0	0	0	0	0	0	0.00751000000000002	0	0	0.328183333333333	1	0.0138833333333334	0	0	0	0.00802999999999998	0	0	0	0.20581	0.00911333333333331	1	0.109556666666667	0	0	0	0	0	0	0	0	0	0	0	0.05832	0.12758	0	0	0	0.364096666666667	0.00319999999999998	0.01966	0.40633	0	1	0	0	0	0.000806666666666622	0	0.3901	0.00187999999999999	0	0	0	0.16296	0	0.02418	0	0.0444966666666666	0	1	0.000360000000000027	0	0	0	1	0	0	0	0.113916666666667	0.0162533333333333	0	0	0	0	0.880973333333333	0.00102666666666662	0
DC	0	0	0	0.000506666666666655	0	0.0204033333333333	0	0	0.0447866666666666	0.0715433333333333	0	0	0.15922	0.08838	1	0	0	0	0.280346666666667	0	0.57751	0.0904466666666667	0.0013333333333333	0.00702000000000003	0.00409999999999999	0	0	0.03403	0	0	0	0	0.17388	0.14576	0.0697	0	0	0	0.39392	0.138553333333333	0	0	0	0.156053333333333	0	0	0.61647	0	0.0972166666666666	0	0	0.128803333333333	0.01168	0.162373333333333	2.000000000002e-05	0.0554066666666667	0.0101833333333333	1	0.0371433333333333	0	0	0.00570000000000004	0.0216466666666667	0	0.00356999999999996	0	0.0335233333333333	0	1	0.0324766666666667	0	9.99999999995449e-06	0	0	0	0.331263333333333	0.709646666666667	0	0	0.241643333333333	0.280346666666667
Endothelial cells	0	0	0	0	0	0	0	1	0	0.629983333333333	0	0	0	1	0.01719	0	0	0	0.0203533333333333	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.30206	1	0	0	0	0	0.00100999999999996	0	0	0	0	0	0	0	0	0	0.00446999999999997	0	0	0	0	0	0	0	0	0	0	0.577783333333333	0	0	0	0	0	1	1	0	0	0	0.261073333333333	0.00671333333333335	0	0	0	0	0	0	0	0
Eosinophils	0.0348466666666667	0	0.000160000000000049	0.06374	0.00412333333333337	0.66656	0.606753333333333	0.357496666666667	0.28498	1	0.02676	1	1	0.20691	1	0.04521	0.50335	0.140556666666667	0.0622166666666667	0.110766666666667	0.677843333333333	0.81243	0.127516666666667	0.306436666666667	0.0722	0.12815	0	0.282026666666667	0.04636	0.04795	0.162693333333333	0.102843333333333	0.37156	0.0203266666666667	1	0.13933	0.0153733333333333	0	1	0.400433333333333	0.43198	0.33323	0.08541	0.0382	0.00312000000000001	0.01291	0.0189266666666666	0.04108	0.0292533333333334	0.17733	0.13005	1	0.0528433333333334	0.119683333333333	0.0213	0.00719999999999998	0.908283333333333	1	0.23864	0.0783366666666667	1	0.113133333333333	0.125486666666667	0.0120166666666667	0.134946666666667	0.24634	0.15508	0.01869	0.29931	0	0.08766	0.28054	1	0.00908333333333333	0	0.217226666666667	1	0	0.00858999999999999	0.0669733333333333	0.398346666666667
Epithelial cells	0	0	0.66587	0	0	0	0	0	0.163096666666667	0	0.936963333333333	0.238523333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00051000000000001	0	1	0	0	0	0	0	0.22172	0	0	0.536176666666667	0	0	0	0	0	0	0	0	0	0.279316666666667	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Erythrocytes	1	1	1	1	1	1	1	1	0.210573333333333	1	1	1	0.02821	0.01999	0	1	0.0252533333333333	0.166923333333333	0.0478933333333333	1	1	0.0317566666666667	1	1	0.00587000000000004	0.113973333333333	1	1	1	1	0.350953333333333	1	1	1	0.0928233333333334	1	1	0.131993333333333	0.0813633333333333	1	1	1	1	1	1	0.24819	1	1	1	1	1	1	1	0.0801500000000001	0.0849633333333333	0.276356666666667	0.24819	1	1	0.0184533333333333	1	1	0.61504	1	1	1	1	1	0.00843333333333329	1	1	0.0102366666666667	0.304023333333333	1	1	1	1	1	1	1	1
Fibroblasts	0.00651999999999997	0	0	1	1	0	0	1	0	0.00347333333333333	0	0	1	0.0359	1	0	0	0.00542333333333334	0.0102933333333334	0.000319999999999987	0	0.155476666666667	0.310523333333333	0.00253333333333339	0	1	0	0.18694	1	0	0.17579	0	1	0	1	0	0.256153333333333	1	0.00297666666666663	0.00923333333333332	0	0.00226333333333328	0.00338666666666665	0	0	0	0.04598	0	0	0.0897533333333334	0	0.823396666666667	0.0105866666666666	0.0540833333333334	0	0	1	0	1	0.000613333333333355	0.0743933333333333	0	0.658086666666667	0	1	0	1	0.0130533333333334	1	0.35645	0	0.366053333333333	0	0	0	0.333716666666667	0.0375966666666666	0	0	0.05132	0.0255233333333333
GMP	1	0.932693333333333	0.476826666666667	1	1	1	0.526603333333333	1	1	0.182116666666667	1	1	0.63132	1	1	1	0.762873333333333	1	1	0.948116666666667	1	1	1	1	1	1	0.43883	1	0.58363	0.840786666666667	1	0.341473333333333	1	1	1	0.455453333333333	1	0.854593333333333	1	1	0.393563333333333	1	1	1	0.422203333333333	0.41817	0.48024	0.809716666666667	0.854593333333333	1	0.295493333333333	1	1	1	1	0.942546666666667	1	1	0.593903333333333	1	1	0.83693	1	0.69469	1	0.707066666666667	1	1	1	1	0.854593333333333	1	0.51157	1	1	0.909986666666667	1	1	1	1	0.461293333333333
HSC	0.00346666666666662	0.00329000000000002	0	0.135643333333333	0	0.159746666666667	0.00046999999999997	0.02255	0.04152	0.303356666666667	0.00306333333333331	0.00370999999999999	2.33333333333752e-05	0.193043333333333	1	0	0.157843333333333	0	0.126176666666667	0.195876666666667	0.0474633333333333	0.0991433333333334	0	0	0.20529	0.07157	0.0022766666666667	0.0264266666666667	0.338093333333333	0	0	0	0.14189	0.06713	0.369093333333333	0.00109000000000004	0.00361333333333336	0.207513333333333	0	0.14027	0.0156866666666666	0	1	0	0	0.0220233333333333	0.0287566666666667	0	0.0722666666666667	0.00322333333333336	0	0.0381033333333334	0.0317333333333333	0.38448	0.15674	0	0.44063	0.01701	0	0.0427999999999999	0.95604	0.07243	0.00580000000000003	0	0.149636666666667	0	0.296883333333333	0.0526433333333334	0.181383333333333	0.01091	0	1	0	0	0.00729000000000002	1	0.163066666666667	0	0	0	0.215783333333333
Hepatocytes	0	1	0.520896666666667	0	0.0975966666666667	0	0.07556	0	0	0	1	0	0.90973	0	1	0.457093333333333	0	1	0	0	0	0	0.07373	0	0	0	0.247936666666667	0.0328966666666667	0.520896666666667	1	0.993703333333333	0.0283633333333333	0.283263333333333	1	0	0.0647066666666667	0	1	0	0	0	0	0.0252166666666667	0.00210999999999995	1	1	1	0.61222	1	0	0.05383	0.0366300000000001	0.00342666666666669	0	1	0.333703333333333	0	5.9999999999949e-05	1	0	0	0.0718566666666667	1	1	1	0.0871233333333333	0	0	1	0.14112	0.486273333333333	0	0	1	1	1	0	1	0	0	0.170806666666667
Keratinocytes	0.03224	0	0	0	0	0	0	0	0.183626666666667	0	0	0.0106666666666667	0	0	0	0	0	0	0	0	0.0035033333333333	0.00583999999999996	0	0	0	0	0	0	0	1	1	1	0	0.00854333333333335	0	0	0	0.0921366666666666	0.0630933333333333	0	1	0	0	0	0	0	0	0	0	0	0.0972933333333333	0	0	0	0	0	0	0	0	0	0.0344	0	0	0.262813333333333	0	0	0	0	0	0	0	0	1	0	0	0	0	0.06418	0	0	0
MEP	0.0766533333333334	0.13718	1	0	0	0.109203333333333	1	0.00648000000000004	0.266043333333333	0.186286666666667	1	0.18998	0	0.0831566666666667	0	1	0.82155	1	0.04155	0.222446666666667	0.0322766666666666	0.0162666666666667	0	0	0.0501066666666666	0.01505	0.123716666666667	0.0412466666666667	1	0.114126666666667	0.581886666666667	1	0	0.03416	0	1	0.0269533333333334	0.474556666666667	0	0.0133799999999999	0.240876666666667	0	0.0149633333333333	1	0.224716666666667	0.83659	0.12915	1	1	0.0640066666666667	1	0	0.0035033333333333	0.0843	0.227756666666667	0.18379	0.0551033333333333	0.06712	0.179216666666667	0.0925833333333334	0.136313333333333	1	0	1	0.00399000000000005	0.00100999999999996	0	1	0.196656666666667	0.00869333333333333	0.28238	0.21117	0	0.316346666666667	1	0.0456033333333333	0.0495133333333333	0.15602	0	0.267106666666667	0.292116666666667
MPP	1	0.658803333333333	0.92331	0.528706666666667	0.740643333333333	0.774363333333333	0.654153333333333	0.901536666666667	0.99364	0.74393	1	1	1	1	0.96396	0.853616666666667	0.496313333333333	1	0.99022	0.681456666666667	1	0.817973333333333	1	1	0.793883333333333	1	0.901536666666667	0.868513333333333	0.99022	0.184713333333333	0.0401133333333333	0.611693333333333	0.91763	1	0.384056666666667	0.78436	0.0890366666666667	0.59034	0.547896666666667	0.82642	0.0596	0.55368	0.427043333333333	1	0.906436666666667	0.836263333333333	1	1	1	0.655686666666667	0.786156666666667	0.482153333333333	1	1	1	0.920863333333333	0.847023333333333	1	1	0.851913333333333	0.210066666666667	1	0.905623333333333	1	1	0.435983333333333	0.766956666666667	0.39966	1	1	0.570033333333333	1	0.704996666666667	1	0.17534	1	1	1	0.630316666666667	1	1
MSC	0.135676666666667	0	0.439143333333333	0	0	0.0146766666666667	0.21078	0.151786666666667	0.08042	0.0846366666666667	0.0738666666666666	0.84704	0	0.00126333333333328	0	0.477663333333333	0.02054	0.448786666666667	0	0.95603	0	0	0.15603	0	0	0.02668	0.557936666666667	0	0.64294	0.00232333333333334	0.0649866666666666	1	0	0.00684333333333331	0	1	0	0.0412466666666667	0	0	0	0	0	0.812926666666667	0.06985	0.235483333333333	0.136533333333333	1	1	0.113226666666667	0.149486666666667	0	0	0	0.03181	0.00429000000000002	0	0	0	0.0100766666666666	0	0.08893	0.1612	1	0	0.0352866666666667	0	0.49267	0	0.03708	0.422336666666667	0	0.131363333333333	0.239233333333333	0.00541333333333338	0.0325666666666666	0	0.106263333333333	0	0	0
Macrophages	0.10969	0.0146166666666666	0.558246666666667	0.237536666666667	0.000453333333333306	0.14434	0.0132166666666667	1	0.24453	0.31718	0.69692	0.0243233333333334	0.000319999999999987	0.896436666666667	0.602016666666667	0.469103333333333	0.125576666666667	1	0.430883333333333	0.03852	0.06613	0.172536666666667	1	0.000229999999999952	0.688303333333333	1	1	0.19416	1	0.885993333333333	0.0412766666666666	0.301583333333333	0.347566666666667	1	0.0107033333333333	1	0.139173333333333	0.000316666666666632	0.0300666666666667	0.1316	0.0508133333333334	0.384853333333333	0.0222266666666666	1	0.0721433333333333	0.639653333333333	1	1	1	0.0555366666666667	0.135886666666667	0.00165666666666664	0.03779	0.691103333333333	1	0.31718	0.0424366666666667	0.202403333333333	0.573316666666667	0.0276233333333333	0.453936666666667	1	1	0.753886666666667	1	0.639653333333333	0.741223333333333	0.00105666666666671	0.32047	1	0.29535	0.02266	0.0401066666666666	0.404386666666667	0.0322033333333334	0.1316	0.0894433333333333	1	0	0.36958	0.0496966666666666
Macrophages M1	1	0.941776666666667	0.08448	1	0.660113333333333	0.290453333333333	1	1	0.530953333333333	1	0.294526666666667	0.10611	0	1	1	0.0301833333333333	0.0464833333333333	1	1	0.0429166666666667	0.666783333333333	0.76126	1	0.0658333333333333	1	1	1	0.26666	1	1	0.259223333333333	0.125223333333333	1	1	0.0259	1	0.213006666666667	0.0159666666666667	0.634543333333333	1	0.03959	0.92485	0.13931	0.596296666666667	0.0947633333333333	1	1	1	1	0.35057	0.319693333333333	0.459216666666667	1	1	1	1	0.144636666666667	1	1	0.388606666666667	1	0.255476666666667	1	0.608876666666667	1	0.900866666666667	1	0.0234066666666667	1	1	0.0429166666666667	1	0.0223566666666667	0.48615	0.443376666666667	1	0.825506666666667	1	0	1	1
Macrophages M2	0.0957366666666667	0	0.683986666666667	0	0	0.151936666666667	0.00134666666666672	0.2532	0.0274799999999999	0.0355	0.161916666666667	0	0.00273666666666672	0.38989	0.27682	0.707013333333333	0.511206666666667	1	0.0371966666666667	0	0.01961	0.0147066666666666	0.194916666666667	0	1	0.00686666666666669	1	0.0529466666666667	0.00643333333333329	0.476126666666667	0.00788333333333335	0.305183333333333	0.0361766666666666	0.06745	0	0.43189	0	0	0.000853333333333373	0.00343000000000004	0.01811	0	0	0.548456666666667	0.0567800000000001	0.02589	0.0679333333333333	0.62292	0.07902	0	0	0	0	0.374306666666667	0.0750766666666667	0.140536666666667	0.00518333333333332	0.000893333333333302	0.10301	0.00536000000000003	0.22923	0.806643333333333	0.597823333333333	0.25858	0	1	0.0348166666666667	0	0.0159433333333333	0.893346666666667	1	0	0.000166666666666648	0.0201	0	0	0.00546333333333338	0.254553333333333	0	0.02134	0
