	TCGA.KK.A8I5.01	TCGA.KK.A7B3.01	TCGA.YL.A8HJ.01	TCGA.J4.A67S.01	TCGA.HC.A6AN.01	TCGA.VN.A88O.01	TCGA.XK.AAIR.01	TCGA.CH.5740.01	TCGA.V1.A8X3.01	TCGA.EJ.5505.01	TCGA.HC.7210.01	TCGA.J4.8200.01	TCGA.VN.A88R.01	TCGA.EJ.A65E.01	TCGA.KC.A7F5.01	TCGA.HC.7737.01	TCGA.EJ.5531.01	TCGA.HC.7736.01	TCGA.G9.6339.01	TCGA.KK.A8IL.01	TCGA.2A.A8VO.01	TCGA.G9.6369.01	TCGA.HC.8257.01	TCGA.EJ.A65B.01	TCGA.X4.A8KS.01	TCGA.HC.7744.01	TCGA.EJ.5510.01	TCGA.KK.A6E5.01	TCGA.HC.7211.01	TCGA.ZG.A9L2.01	TCGA.EJ.7315.01	TCGA.EJ.7792.01	TCGA.HC.A6HY.01	TCGA.2A.AAYU.01	TCGA.M7.A722.01	TCGA.EJ.5497.01	TCGA.G9.6379.01	TCGA.YL.A8SC.01	TCGA.V1.A9OQ.01	TCGA.EJ.7218.01	TCGA.2A.AAYO.01	TCGA.J4.A67O.01	TCGA.EJ.7318.01	TCGA.HC.7740.01	TCGA.J9.A52C.01	TCGA.EJ.7788.01	TCGA.2A.A8W3.01	TCGA.YL.A9WX.01	TCGA.SU.A7E7.01	TCGA.HC.7747.01	TCGA.HC.8264.01	TCGA.XK.AAK1.01	TCGA.XJ.A83F.01	TCGA.KC.A7F3.01	TCGA.EJ.5501.01	TCGA.EJ.8474.01	TCGA.V1.A9OF.01	TCGA.EJ.7317.01	TCGA.XK.AAJR.01	TCGA.ZG.A8QW.01	TCGA.HC.7075.01	TCGA.EJ.7115.01	TCGA.V1.A8WS.01	TCGA.TK.A8OK.01	TCGA.HC.7230.01	TCGA.HC.A8D0.01	TCGA.EJ.A7NF.01	TCGA.V1.A8MJ.01	TCGA.VN.A88N.01	TCGA.KC.A7F6.01	TCGA.EJ.7328.01	TCGA.HC.7738.01	TCGA.KK.A5A1.01	TCGA.KK.A8IC.01	TCGA.V1.A9ZR.01	TCGA.KC.A7FD.01	TCGA.2A.AAYF.01	TCGA.XQ.A8TB.01	TCGA.HC.A6AS.01	TCGA.VN.A88L.01	TCGA.KK.A8IJ.01
Adipocytes	592.554092973046	389.949700170568	679.219449071642	427.549763424219	365.47755033456	393.953083892077	852.609820211337	302.129402180042	648.447698067132	322.076174022356	384.680612341019	950.459753276451	406.03707528543	330.59724969259	461.984693142928	430.055905954419	673.651642550475	107.050250008232	321.723887122338	287.740495805087	649.248605645402	389.917827495291	204.594786791872	465.36329188833	570.292092230624	379.504240719182	454.302026948548	344.087162490111	541.121498460452	612.65024637587	240.425482583132	910.130840814789	405.369396946401	588.636925974953	565.009213663339	611.867002491077	524.636122668466	250.33170655404	428.374736068496	208.723719268191	607.122923324158	2029.47021744709	636.806183559603	500.67042820481	447.983500777503	457.826032930846	615.206839754016	693.338261284838	166.284542089509	431.752177819467	635.004759813369	358.466291301828	595.071812881613	418.309550542498	331.728953013176	471.159784172017	86.2898858208336	489.733802984922	493.196496850446	496.166311568315	392.866795641852	556.130075086758	466.458875802325	878.136222013892	457.993036626663	502.93277282426	455.806312242946	410.539852609799	490.282912070237	473.941006301561	430.857793287589	590.153264351799	291.653388462741	431.598005424013	525.539605559948	161.984419047312	541.615754186441	356.164144003373	520.356192614913	1115.6024915629	377.551107752097
Astrocytes	1167.44253284683	1182.82049599213	1601.42463326897	600.902042309566	751.543384160055	547.540296977542	1127.49185120191	649.167934704132	1014.59260442593	554.973180173714	1289.11736100637	1072.02486003369	591.430578400922	319.284153068317	132.183960837394	1129.38398871772	993.639940750847	974.814376989809	746.671554723397	963.961229792643	980.9065225533	720.1426574299	656.446615495681	1152.6182553814	1064.11694333515	422.074507077418	999.640890198784	809.137414973838	539.241419401045	1584.53340732316	1253.48980096422	1670.9112978427	527.212861308472	790.593426096359	253.418099524719	950.938611681632	1272.8731683879	594.288615389293	848.506856568569	557.313941014318	1110.59528920578	1308.72526823543	958.321039842527	1378.7772410505	1635.98586332403	1121.22928027092	830.75338240069	1191.76595051693	917.667742897234	967.660433988871	1468.55240732056	209.652676417465	892.327405015213	786.730647961706	1013.27311337702	1169.14260169033	197.61383516827	751.466298984982	942.270727685685	1125.75702856222	450.5507938536	1124.46705316484	531.995428627036	1927.7173605503	290.046933444668	1236.17979951475	326.274553265081	883.649956555674	388.866568992446	831.15320164635	1252.81034726587	599.908468900898	850.529494812884	1246.55899342295	1596.15209648013	299.446960492503	594.390888631014	1336.56050291246	1374.18079836054	1206.26111933201	579.789239972573
B-cells	246.18954249734	400.174955087932	607.546751091403	321.965340834496	335.462938495582	475.483896554894	608.618456754051	519.789562567212	395.676106874649	502.935480753173	603.572076317644	508.187179026179	284.832835340381	392.538756777592	50.1923577783048	697.329141870699	609.556643732539	355.956920965439	231.459169181896	535.420068551246	387.405729722808	108.43835599864	470.377726864162	173.687714900701	385.542027021402	350.309424735321	480.374118089243	545.413732621129	473.963570533001	1141.14129238389	1385.64343048955	716.502587554885	171.834145995433	294.07744151776	444.392467081176	497.653982192869	639.343211009599	511.900904141136	549.251102265066	519.972959696849	1402.49976131086	294.140923220896	222.73524671449	400.511417925636	311.400452799612	562.142410313412	452.977930431178	812.577630332601	577.376250912884	640.496930411115	497.375079057794	397.169740797283	103.292817932055	225.86534134375	243.73942710959	426.431808170084	464.547053730692	299.90556871853	255.24631367855	377.950576884401	937.943900819739	377.933858727266	479.463784423412	364.742448675526	347.075693435213	606.604667865257	249.381165907988	815.1074186746	301.59643638269	306.290269120871	719.963319944943	622.653229368142	609.626813306312	488.925624721355	727.038986784111	361.302424092946	332.611188443931	323.370739927546	285.834257358806	97.6783407514679	372.672569539074
Basophils	240.438839681174	352.409403741251	310.422600561009	436.00574777571	374.060675611274	402.089242632618	377.668602570782	314.93707278669	343.212201496395	341.478875938693	414.226779242966	229.314604814206	432.206357758596	297.748526672641	403.865322715016	356.992908347215	338.788875618829	441.896436628955	281.482178564101	351.879503126646	378.62733179438	395.462981064812	417.216442746818	373.86442612357	334.643337127678	358.317489206556	368.578723365114	348.006098234411	375.030751838924	355.313917133444	221.547709747793	199.417590321241	450.682726735307	438.142172156748	568.706451986546	281.74163102332	464.119397061554	392.079200247983	299.704299679994	349.772367766471	459.511431638796	512.797474990085	402.458572094169	355.90386977793	408.209730550856	261.333085398462	453.337389925144	330.526905883255	387.468180486981	242.438959419551	446.259867630071	542.156858989964	416.561254167499	327.381627169429	270.789707026896	219.940082744787	417.60516593792	459.669308480812	400.024684778647	438.368239459316	465.557775878143	361.664639916071	356.681319837684	341.0906320139	427.359528936129	252.095704696234	383.076811190492	144.934572892033	503.080407825745	356.976945975676	295.171941137877	314.407397751474	466.593988390526	212.752105840263	296.911535180174	418.200868545332	452.409373395848	176.713331525692	367.098450995473	300.793333137992	457.165728836719
CD4+ T-cells	272.15971696966	459.865888982595	616.269233192091	359.46438616999	142.627485320583	542.219050395258	463.944166579516	406.921871853635	529.353227708116	420.325736530925	528.261665403225	487.580229545798	285.192317240149	381.841123437123	307.243284717542	644.214098611862	408.399708455924	489.676179398797	331.931147129159	699.956348265838	473.68053477015	225.297635577647	506.334418225932	186.227802206845	436.190434588015	308.109777198627	450.38218888477	426.653769575308	529.480802607748	541.471824371016	686.993798309783	746.634096726505	324.075215018629	341.742844856783	262.613558568955	480.783231472321	347.351517354852	642.309337731193	483.614632336046	406.969198518288	650.463756473539	174.36863935495	296.637512724339	416.944479741432	421.181212973205	503.88534489337	466.83725763056	575.045185979805	562.208182309286	402.17685501535	349.737356466671	335.702225305029	283.423945311914	340.398634958961	353.64255190193	421.518355028291	459.393450503468	336.150886613903	350.393570937322	428.19463785691	639.918206674489	374.945621567453	518.880784057773	468.761997263176	471.393927827263	487.13383671846	453.989795074964	529.052881492358	461.705351980135	374.537787257091	645.622115217935	485.298421017447	482.602146821305	403.486716478636	542.119920806648	508.317638898512	421.639166913509	430.487798115759	312.066350687169	327.495568269893	367.850472184065
CD4+ Tcm	281.376435449261	521.60189528413	546.648410071773	663.198918179919	293.94600684185	465.741739974199	319.017172178219	193.684122573097	364.64859771062	129.234321688866	215.505023590127	362.723423918121	265.249242006438	294.992844308493	428.553947622194	396.976121109023	162.487190388927	412.168109232644	271.779750437378	460.879171411764	464.16215114271	96.445637611252	317.400710289755	352.224300185013	533.558752487861	232.693133269661	202.272666266251	315.804010879991	317.640891846454	243.060521521705	310.549625182519	378.782606320056	311.248994864034	319.954276627144	417.121874590482	196.654486845556	641.243898058451	473.790863637171	268.485842718616	436.077186061439	450.075520539324	434.102680557769	323.390752780112	256.579011197476	285.575598190941	289.205745694332	426.460800265173	538.512597670031	452.838902654444	257.47288226262	291.281232639205	392.27785598805	515.629582914723	281.443652436461	330.665954067747	260.99414446157	335.766816013392	222.817786448119	230.433242067725	302.781179710577	445.152760244509	285.260796772559	459.5947031332	253.195528753442	321.868148569226	324.303328949923	427.126479862745	376.09000144541	416.380624058369	435.239888055	458.688089513932	368.431688899856	264.299181703664	412.847357736606	479.97386612112	443.097266964923	391.49235088525	377.275513272143	410.615238943168	297.61600903672	324.827217975716
CD4+ Tem	348.461499288822	521.543241138052	401.43822459762	604.902491378794	463.490482871193	410.249455726389	248.909537293408	278.856090241712	270.428979640451	169.251179399078	288.824509721849	167.313327049351	340.049428722599	256.977196585591	437.822040187864	422.72571901916	343.084443635858	315.78954093071	334.471348062072	426.452994971614	411.705506668734	301.990240278483	344.375587050107	432.374003162648	391.523854648263	228.489856870132	358.558899607716	351.720141501093	275.300167810596	482.012162685651	647.922267703769	361.139798090589	273.84692546169	292.638522682974	436.138104925689	221.970023164348	675.860446546829	407.332546801244	384.451564338177	515.509512787441	560.358704476529	497.93542913249	384.041462073046	250.199498680946	357.339876486739	308.243078041654	386.894049567253	340.920178185484	371.122066020765	394.23867921043	287.523331564155	446.037965990763	382.155913958748	226.128776696201	325.836555234876	356.449551428847	341.114768829267	325.078849308388	218.714458392182	423.85023552158	518.644042372658	290.324707600654	282.830310177101	128.385959737626	261.094740220481	304.578839819642	313.347263114527	410.442626817917	372.827934206358	307.329530038761	422.662329436601	336.66270949683	310.117172108415	334.561938347793	464.038555971664	352.708599943657	390.504583803856	284.619515687248	553.42580289709	259.128587290704	274.490909420594
CD4+ memory T-cells	504.339511193167	430.750866526055	440.631081204553	392.451233135633	276.560518139572	471.77899292949	499.485075008757	657.654439313227	472.992554806742	539.226304323773	445.376590670086	641.484615781813	360.435322674436	582.878035540162	308.092723996631	611.539221231306	512.704055700892	475.939328131028	439.550143504516	710.338879530082	525.010880231339	348.750162974624	605.610806273488	255.011576550511	486.865433125334	485.73889166116	502.340827949829	483.588431204623	571.659055606929	653.783554909873	770.615452621956	642.52254523477	423.557133509924	381.633440659351	360.04901136941	605.085216815149	267.045212593089	699.378980588979	493.397495706494	361.03786140696	701.495532822884	94.8036458542692	299.118031327056	338.173573667531	454.081166781688	610.51719240104	607.166533337467	517.60731111989	565.238458143092	598.331956676851	431.17731606427	517.485647538508	370.617180859345	414.923437936305	344.543845733433	582.357879806436	599.2717742038	295.411165729108	371.233458415673	533.961141179627	671.463822337419	409.463773246465	610.594260425943	385.61524129851	469.248807780312	628.033207945935	533.272980190768	512.912861908218	593.32613206515	415.725772383554	729.777700657043	519.828228964895	778.701230425061	587.311381629446	561.724252047973	553.78064169226	553.320197601797	562.082331650563	347.834506075838	410.420395222491	502.504917517876
CD4+ naive T-cells	178.80228484526	496.035087864188	619.226646863635	470.522203046109	296.287598467291	487.951306657947	478.689506217521	411.364551774856	458.139185671041	439.034445238304	588.553907899593	247.954142926953	250.492948398846	256.676370950515	387.313494058392	611.358591236853	501.719878468985	528.149573297587	267.906148653837	619.017570523233	343.788175446647	293.192759106882	556.985604856499	145.547170428788	554.084938205853	354.419772835821	440.411779086131	400.36007827267	504.905056511096	581.731342977043	883.653524835597	712.159143620136	346.533773446102	289.301282422181	469.474134339485	441.78330827439	699.649073382581	593.853518048851	372.066542219081	446.316771328252	716.897485176374	296.707468005372	274.163069950989	453.454678422286	517.000635762075	471.532721553611	430.797128827815	597.638247505472	529.422478363	435.414130946811	576.601878538433	434.045672106171	284.018589258684	285.776098216195	369.298910819568	423.130790707629	399.077232506679	421.406445080821	343.024862759885	430.704311657737	602.945872794692	409.742712543166	464.463746221792	575.433431979042	493.686155686672	528.385574363157	402.447973689068	468.551337277042	405.37007125691	333.13372047916	654.334098178559	456.085596723901	375.417080665352	416.537875482879	669.899675901143	412.907595899647	302.245630985942	416.576277239831	333.811063190741	316.757491866843	271.651446863931
CD8+ T-cells	267.25879138171	524.078784331179	631.608953878899	488.419219231756	375.184585110763	517.272628926549	426.194303462826	406.010689281574	373.495546756405	377.520256027153	334.273806291556	459.690960146704	263.191200572216	380.565106649763	391.94746462422	405.874176602379	366.728231363638	260.308562625619	453.694576210332	586.375983035052	480.770462625611	195.34779427979	533.063046186563	265.495968606078	564.020691105584	317.911743975396	403.743858009868	328.092618242074	328.973370588208	492.988121250866	649.107719771031	547.976635051931	481.903681076016	437.026771223987	347.581653302907	397.370221062699	576.197301664492	666.527363047103	543.381118933196	294.094321135823	545.223092893031	257.541040884802	280.710125808223	239.884102965541	472.49145910009	524.80191481567	451.184787763355	465.766937163094	525.074973021098	380.682227589655	388.899602010098	496.711591560467	352.999784560869	364.54747406823	360.446517878691	433.752709135326	397.592276160306	260.180341045853	225.260206321634	352.776803077978	436.242443161357	286.268763377977	467.319738020283	303.315649286426	431.652096566472	414.77979909023	406.511562798786	486.948746297767	508.536103173578	435.333126067553	552.736139574218	361.979225375552	362.487482375062	335.708931692631	530.642560772089	472.225571356309	351.958078595712	439.114581355712	390.011449155996	226.331300869669	281.895082341297
