	TCGA.KK.A8I5.01	TCGA.KK.A7B3.01	TCGA.YL.A8HJ.01	TCGA.J4.A67S.01	TCGA.HC.A6AN.01	TCGA.VN.A88O.01	TCGA.XK.AAIR.01	TCGA.CH.5740.01	TCGA.V1.A8X3.01	TCGA.EJ.5505.01	TCGA.HC.7210.01	TCGA.J4.8200.01	TCGA.VN.A88R.01	TCGA.EJ.A65E.01	TCGA.KC.A7F5.01	TCGA.HC.7737.01	TCGA.EJ.5531.01	TCGA.HC.7736.01	TCGA.G9.6339.01	TCGA.KK.A8IL.01	TCGA.2A.A8VO.01	TCGA.G9.6369.01	TCGA.HC.8257.01	TCGA.EJ.A65B.01	TCGA.X4.A8KS.01	TCGA.HC.7744.01	TCGA.EJ.5510.01	TCGA.KK.A6E5.01	TCGA.HC.7211.01	TCGA.ZG.A9L2.01	TCGA.EJ.7315.01	TCGA.EJ.7792.01	TCGA.HC.A6HY.01	TCGA.2A.AAYU.01	TCGA.M7.A722.01	TCGA.EJ.5497.01	TCGA.G9.6379.01	TCGA.YL.A8SC.01	TCGA.V1.A9OQ.01	TCGA.EJ.7218.01	TCGA.2A.AAYO.01	TCGA.J4.A67O.01	TCGA.EJ.7318.01	TCGA.HC.7740.01	TCGA.J9.A52C.01	TCGA.EJ.7788.01	TCGA.2A.A8W3.01	TCGA.YL.A9WX.01	TCGA.SU.A7E7.01	TCGA.HC.7747.01	TCGA.HC.8264.01	TCGA.XK.AAK1.01	TCGA.XJ.A83F.01	TCGA.KC.A7F3.01	TCGA.EJ.5501.01	TCGA.EJ.8474.01	TCGA.V1.A9OF.01	TCGA.EJ.7317.01	TCGA.XK.AAJR.01	TCGA.ZG.A8QW.01	TCGA.HC.7075.01	TCGA.EJ.7115.01	TCGA.V1.A8WS.01	TCGA.TK.A8OK.01	TCGA.HC.7230.01	TCGA.HC.A8D0.01	TCGA.EJ.A7NF.01	TCGA.V1.A8MJ.01	TCGA.VN.A88N.01	TCGA.KC.A7F6.01	TCGA.EJ.7328.01	TCGA.HC.7738.01	TCGA.KK.A5A1.01	TCGA.KK.A8IC.01	TCGA.V1.A9ZR.01	TCGA.KC.A7FD.01	TCGA.2A.AAYF.01	TCGA.XQ.A8TB.01	TCGA.HC.A6AS.01	TCGA.VN.A88L.01	TCGA.KK.A8IJ.01
CD8+ Tcm	528.388764809675	1044.14669145869	748.860787179419	716.562879081757	456.116599055692	859.546632503857	683.004508713622	795.998782326387	676.964752117395	768.233638244791	773.90254051957	584.071162914122	502.407805729639	644.178395552815	673.425737352126	955.018428651022	710.760233026418	698.057126844658	884.338242893396	986.486422834842	612.554991804802	699.366915145258	746.194118429672	304.305880231016	800.965214665471	553.557725097222	936.312066526566	669.939394011135	670.928115829628	692.069667405418	1245.94087062835	774.700936423463	668.584971226674	546.286917492515	328.745711166762	831.867957600159	853.741245343701	1029.87843313833	851.063037980133	626.753786135665	1045.79256908229	396.081454149961	590.482502974204	576.892996912489	606.035682911608	734.579707783839	575.01697673079	766.877476983541	756.272838895617	826.396647607536	648.497475217338	745.785038244753	465.907040592315	594.470182935798	569.862187358136	692.619362774048	690.177861066202	537.673927941208	423.244524596337	639.686332565314	890.871101215111	631.088771391176	734.44536144428	361.773495235319	693.765571368394	700.935633554474	635.36912617723	916.789222758674	736.670138297598	573.523731241647	892.987376843017	758.778448137209	773.53241315932	544.590108583987	713.248466423562	728.827437168722	705.83852336164	604.461393514559	590.174513831428	498.842215220904	560.703931039793
CD8+ Tem	164.842344957434	707.553708997346	429.213872132491	579.462901673884	297.767026544626	460.76876879316	371.520295677376	207.115843223754	412.43308007295	132.297486009113	333.658871518415	157.02930359974	249.122180121198	253.499697546843	303.615552237846	389.536653848813	316.112853290453	264.276167938983	480.795861407091	603.843170281669	310.464992996426	189.846373324407	402.568015913436	220.96624221987	433.513613326401	86.5950890534294	376.050352286867	388.88190196164	208.445193709027	449.056035040695	538.628199241524	335.750264606586	443.599948693094	250.744217459244	278.281439618541	166.432101809895	766.42147815371	579.950949805804	443.101623139178	242.825061303574	565.405352997186	362.241026264955	373.75440465849	315.602416934035	511.311922095436	241.346030133933	345.464443285687	424.119576890686	474.445730155598	379.729641959972	423.738279755585	473.620515481853	159.62472958533	192.412058561438	236.93617845231	256.403087640382	231.012390348107	177.189600901879	216.532977697862	335.174929788279	364.136963942535	200.62533705024	315.31848703643	294.178956031297	205.834444679715	371.255155804247	279.787638127353	516.723218125651	387.413323575794	352.46903457332	524.987660030819	185.568095341416	218.176680160841	225.854455767717	492.4831522524	267.808620803221	251.152251274396	210.155765393217	523.808587311604	102.96018088444	180.12562978979
CD8+ naive T-cells	280.832843172197	386.687023127026	434.658521612646	441.738136414593	365.615943353291	496.405056392089	337.173937543301	355.900203037617	283.940090735449	248.993114067377	15.6362371285425	458.26715366696	434.68241498294	383.184166158642	500.580984739349	170.640983738815	132.812946315073	105.504592504014	458.251170462776	496.872996384196	595.680116285511	301.65565853907	442.46915465332	358.796689573063	536.484700215971	290.270470191053	227.054289607815	324.415913822052	68.8829998378126	279.106013690934	233.567212032291	333.618959923827	552.437796233449	327.293222405854	658.519957413517	133.791456757553	367.677250868188	402.733402402928	658.823264282022	301.026597684272	360.072025616216	461.216404868622	430.181764566366	109.595152081465	448.438678347009	277.773637483016	342.725088493602	278.150076931765	318.846103721388	279.386451714147	178.158986915336	433.949772503537	505.240662535683	375.74544877539	190.457134438533	494.085150585784	445.5937536415	188.350528957378	320.562973302211	462.587621303205	278.596585671605	189.039239922654	541.99204943476	294.014189993272	371.685581294364	476.567468225056	533.513668268718	413.095099574466	437.235892823385	515.051847996464	278.648992227426	201.095046895735	436.723499245865	218.082886523187	478.816661323768	504.820072168496	288.969326772822	248.392776921954	393.336236115961	392.986617411494	272.341651406779
CLP	422.415710945877	403.421614856401	302.185895031418	506.429756494781	738.338599797788	495.830662938509	552.082853171623	608.511589163137	275.468538708182	432.926717622025	0	468.651139939692	761.389360520633	412.04471323373	552.558975711805	152.78053041732	397.159780218662	144.515539297081	710.841695715152	598.470544096564	475.360443296692	712.781567544872	546.097668472302	565.271191767385	817.227387309723	566.415743492548	430.626284863431	514.48995443813	222.467152988523	545.430276323689	681.562888279298	308.847201632551	770.711673342084	403.389947506299	962.644731967751	363.60989124103	592.907012235576	582.051063171023	729.43668738023	389.938306849911	623.305290040339	700.716439512822	670.714554810042	285.524915081888	506.396962839532	341.578493009383	416.126576744976	230.070747726192	234.718589215592	691.651931157145	548.741344052305	785.149744716724	599.91159669872	682.891851733678	375.483345491531	576.315626976393	625.983160160297	404.611057366774	505.247936571757	684.318084823449	428.744168211927	324.109234877261	623.096678502237	355.789856338219	278.361416656114	610.808976352285	727.450879119547	536.302281648806	434.306596913325	437.727316296879	553.423032900647	384.396684100827	636.520237769282	545.777652546922	717.93797825898	589.371395350405	364.423308690633	351.08905279229	624.95282578767	533.786991904512	249.535648527913
CMP	256.130989750357	456.489821962998	570.586032596473	380.874782288358	344.214290180343	391.266985131664	571.212810470377	260.877432827057	471.877450104175	750.746717222654	357.773620451206	227.442048330408	543.57093079215	438.930713087893	450.714798955126	320.773851359908	482.354435979469	472.698029025234	192.10040709576	231.00722122374	387.85773334379	286.316686429447	356.475717729977	261.08503274608	372.584198672542	443.651841114078	661.264679643601	319.66410060614	589.991558423926	427.988754671587	373.368755350062	619.971910986986	467.277152718419	471.850801999439	529.515999250472	512.290806364275	421.228723845032	561.049649068255	389.653166035227	507.22043512161	776.385472636007	503.40487726095	353.095779623863	378.410439251008	469.274336663749	500.453249747291	664.049108809778	475.332605851371	429.200478162149	244.835432249459	666.647828497207	749.794629043409	432.46308208623	293.207935773647	339.812402656194	398.814038573095	533.839239187873	503.18435374519	562.307049540983	238.629783703832	544.081361296601	551.425146195249	454.067717144412	452.689449060876	500.576382772395	425.543858099096	357.075348250223	217.546969276649	483.275015630644	396.080699371214	359.318549087813	440.124303962389	432.965561952545	274.014717961848	487.257332644537	438.66418876255	526.336762907721	360.044596351935	522.699090894099	240.824836678383	601.670083950187
Chondrocytes	1166.29028477908	1143.32788382337	1867.42650953877	604.851959781873	1135.85215789825	410.920913692916	832.023128510567	778.115456071283	892.718793505244	360.821106488719	1043.81710299537	994.913043426901	971.549705073513	296.11118301518	505.316832390664	1048.74430007396	687.482550622611	786.740174358055	585.051939796496	554.651270333885	763.600269173174	667.17596183139	807.29594230502	946.30100169197	664.53117037056	748.46533767202	802.044870375538	716.060938409808	232.744037873178	1873.749141006	1494.61510150906	1271.12065347888	560.400308619386	784.286713881258	636.15914733496	899.795501853199	1008.83279467366	702.394717962163	777.462175457649	554.866207982137	821.194226320792	1579.95757499306	591.348955655731	941.116393089392	1355.66051656592	1173.08265013655	633.011733081413	1031.50975456365	734.685522068228	793.500219465033	1609.46802683724	411.412837163047	1011.86467609774	516.557010489137	416.046009596718	1111.80150351376	17.8192391748374	746.24090097518	767.799957981451	943.571911025146	272.929205966248	790.155092565944	781.583217076944	1762.08377286991	503.169591530223	1250.67218941845	523.036428266921	703.96624549287	346.965217482545	938.393189642698	1194.44821713255	316.214990424364	953.421216710104	1391.50278475518	1362.27300531826	148.341329483649	422.669729187386	1390.5272101122	1192.32956347153	1318.35950444495	480.881619169671
Class-switched memory B-cells	540.759025056239	662.674701875924	580.817391523152	775.250787491121	667.721171942682	552.715445069992	694.714174933065	729.240673274341	443.506375990357	493.620934809286	578.728135019968	327.81901529679	60.6076702438657	445.374211551156	603.20278529787	866.810558119819	517.255811604135	428.571080574765	548.18564755301	545.179380500404	635.663561225388	405.091671097955	495.314721118236	114.880436161948	425.668598792166	600.954427987802	486.865865638232	584.235874383985	547.285885407898	838.827430217101	1307.36422948718	534.830429413756	564.954457488096	696.962521905135	630.141695075211	563.907762209038	509.311337835981	455.230615279369	538.569643642885	720.574594458132	1200.92154060357	379.416406559485	508.631409760441	394.010899500481	337.86242213567	681.265505581037	347.246920042963	821.170773794011	641.242118839582	697.393663978558	481.433714993084	609.890291626112	440.887720366462	470.475166505074	511.960124150917	597.968095969494	562.211069443278	420.358444860789	532.780458567564	461.254610059662	966.053907440286	431.741203057179	844.578961966656	269.75928200678	544.912358641546	560.429347677712	663.434318309145	631.534927682984	241.470567318507	603.42181373478	569.842288207389	602.298572904314	394.91845699269	422.180710679236	873.973764256835	653.401166311167	728.390360149555	643.541075393157	293.895195005165	503.42587273536	592.030119079106
DC	850.64925788894	1077.82560264899	997.571677661143	710.195539851981	945.75945106712	582.341113681148	958.175890692582	640.470794140308	505.556846739668	500.999512142203	1013.02521757158	821.602775945238	543.848989442346	410.407193762411	71.4163148892349	1117.92883440817	1240.04583742325	852.033613536707	392.860913331038	1130.91570077076	323.171411528606	452.904843336391	655.861820804096	657.143647831692	666.724649559962	757.725648363198	937.908384940986	534.66749008449	849.930767875121	1271.37813850478	1164.68701227875	1049.84820888886	495.425706061623	547.362823602838	632.654240771333	864.726816552884	1264.13031471676	992.758010212387	359.55491703208	448.144680621911	1271.75090086067	1073.99062438751	857.716521091278	455.223051060453	1256.39177494305	909.320945067053	417.683941891319	786.995967860576	545.286095652473	973.725677358865	977.33671385331	639.938029914955	694.075196244992	386.290786891238	695.649701711815	532.360831104807	655.168179659923	236.900264991017	525.358364248298	1002.46002946399	765.939188326527	609.158273985919	682.264011950443	716.940973848224	683.678226314133	1088.92405557727	555.983486227422	1079.06014273712	245.603308796212	586.255960162647	1210.07593653562	736.009841805677	1083.44083856306	955.138198444318	1238.23181814245	447.568729128488	351.721667277596	955.295488711473	1002.63318693418	425.178156611692	458.035519883403
Endothelial cells	716.491608949772	1243.7304467659	1594.12256268292	593.507468429627	944.707778757462	493.166550120342	571.04056974568	121.327900949315	462.430353828256	207.246601567286	1534.01068848227	972.223488864185	1597.55073509335	142.370222289483	474.390710105081	1527.7656023358	567.602436265785	1101.69554085871	341.626489520685	642.73967567665	733.429254531637	962.5282050391	766.256140332027	1902.14963574043	200.452903400057	586.210671760591	696.336837241415	1035.22173794892	735.409128996774	1227.69660467387	1075.62354911329	1500.78274291481	510.999389282537	336.49581362287	296.535565914966	774.120457686869	1636.53008262867	641.653613202953	1525.51729669069	481.998262221333	1069.30152482684	1611.02951066895	683.351782631195	1160.14725638788	1630.60172067107	644.580080219658	1353.94197223895	793.1275682645	685.831666800487	430.286196033184	1538.69033243804	792.713237633023	1184.64580992136	397.577933092722	572.072625944074	900.640742079684	505.141436480671	1025.54873866426	2015.40487691406	706.171341350103	301.205709324995	1082.61480451218	492.583826335188	2000.77503407507	777.814923471363	1090.42829370801	151.508955944821	299.768809706272	861.026714247293	987.889666945002	1514.1044753552	265.288442610619	461.92829969093	1224.89846695732	938.503911979887	434.084918833414	538.553751605584	696.698822073057	1107.35938746811	1701.16054100153	985.022423481427
Eosinophils	661.427151669814	921.750454129461	744.556937960069	603.622506127986	709.766652117131	352.934231763197	348.651054408401	399.582890347892	431.982701844055	177.523960729142	685.79549279063	249.141683549461	301.847423293801	449.944922168153	314.469600643273	624.777987341404	375.09486559738	543.908898823317	588.035653914995	551.828456546311	335.693146716909	327.30119307938	549.765818629314	421.195623445604	570.769714232543	520.38224519198	770.398086467168	419.916549181262	659.002088393636	599.629414474332	529.167570848336	576.711117892984	443.875411059653	680.697333410911	339.887410268332	503.440022886651	687.487191690164	808.204100186605	202.470845639658	384.586757395529	422.62332968963	471.062906222401	568.142437187637	641.906996902262	731.578002932493	672.014782270011	682.616513804714	611.409267278222	650.023708202632	476.324715649876	546.888128827989	240.169363418309	638.495458700573	512.51428563869	671.125505302278	686.458274300572	340.719065586231	305.816906391905	478.247244951655	600.442380339072	292.176204353819	531.999951485593	541.613301389616	721.2501269442	558.625644965405	435.506376787894	535.661305224116	715.977928628031	482.821556528143	745.841052830677	568.241659796671	431.423859724718	180.743592499174	701.282547211006	791.279414286713	491.744709065485	192.684524278747	949.677456011153	672.175786582621	603.023665509918	426.45017370611
