Unnamed: 0	mean	norm_mean
Epithelial cells	1424.619618810948	0.2438413989012738
Sebocytes	1230.5153631118674	0.21061803694739403
Keratinocytes	1180.3374692470288	0.20202946518243817
HSC	937.9526927875519	0.1605422905122046
Astrocytes	934.577422533847	0.15996457095151217
ly Endothelial cells	891.2166200972963	0.1525428293272917
Chondrocytes	874.3584883694693	0.14965735002524036
Endothelial cells	821.4642399064331	0.1406038403242976
Megakaryocytes	812.8150304902847	0.13912342036125933
CD8+ Tcm	790.73399449031	0.13534397591424466
MEP	765.6213639530068	0.13104563628768678
DC	740.9008336351883	0.1268144094993674
aDC	731.0067538165533	0.12512091445552512
Melanocytes	712.0343878205521	0.12187355761455085
Tregs	679.1072798674686	0.11623767280780188
Mesangial cells	671.501786504344	0.11493589785222003
iDC	666.4665070252544	0.11407404702844373
cDC	662.595701350539	0.11341151040594138
pDC	643.483494691376	0.11014021809301487
Class-switched memory B-cells	642.881090729317	0.11003710914879386
Pericytes	629.2400615275471	0.10770227703003579
Th1 cells	601.5437543673166	0.10296170895616161
Myocytes	587.0243501318892	0.100476532005605
Preadipocytes	582.756829579894	0.09974609268868266
Eosinophils	574.0116703636505	0.09824924972179792
mv Endothelial cells	548.2202795666539	0.093834731819259
Plasma cells	547.9060637187972	0.09378094986168477
MSC	534.5322891057809	0.09149186169585558
CD4+ memory T-cells	533.3741858504491	0.09129363789342898
naive B-cells	532.1404607605857	0.09108247047175401
CMP	531.2513708796815	0.09093029166033936
Neutrophils	528.2704838369807	0.09042007570033067
Th2 cells	518.4430040823922	0.08873798008730457
Smooth muscle	510.47990517285103	0.0873749964865927
CD4+ naive T-cells	508.300277588603	0.08700192606680553
NK cells	504.9324845638415	0.08642548632701504
Hepatocytes	492.5737854548005	0.0843101409818037
CD4+ Tcm	492.225693680223	0.08425056073726808
B-cells	481.63388420027417	0.08243764056799359
Osteoblast	480.4806973304169	0.08224025826620045
Fibroblasts	477.0885005254725	0.08165964151535403
NKT	460.50248382561097	0.07882073809096504
CD4+ Tem	458.9917709506428	0.07856216075852744
Neurons	439.95864008404186	0.07530440325280348
Skeletal muscle	434.5637240131448	0.07438099614517114
CD4+ T-cells	432.9129092537821	0.07409843862951244
Mast cells	422.21256002240193	0.07226694052934612
Adipocytes	408.5237302584816	0.0699239267487682
Monocytes	405.9321055864347	0.06948033789381025
CLP	404.68144373376157	0.06926627153414379
CD8+ Tem	404.43215727041456	0.0692236030497659
Macrophages M2	404.26006548080676	0.06919414739566475
Macrophages	402.9482353088152	0.06896961131597332
GMP	393.0922116713343	0.06728263006172577
Erythrocytes	391.9715828078897	0.06709082046841162
CD8+ T-cells	389.2549746369923	0.06662583913029757
MPP	385.88948806379653	0.06604979416843157
Macrophages M1	381.02293254617865	0.06521682255300688
Basophils	375.8891594477792	0.06433811331902885
Platelets	357.2039738937218	0.061139910989038426
pro B-cells	340.41625818967907	0.058266484266860256
CD8+ naive T-cells	324.8641429293796	0.055604545956541004
Memory B-cells	318.163834652386	0.05445770470729894
Tgd cells	208.80161026078878	0.035738997320088034
