Unnamed: 0	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	mean
Adipocytes	0.0037066666666666	0.00334	0.386143333333333	0.0022299999999999	1.0	1.0	0.0	0.0	1.0	0.0138266666666667	1.0	0.687636666666667	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.04397	1.0	1.0	0.592766666666667	0.80808	0.485896666666667	0.0800566666666667	1.0	0.22712	0.179693333333333	1.0	0.549586666666667	1.0	1.0	1.0	0.0	0.0461133333333333	1.0	0.0	1.0	0.620903333333333	1.0	1.0	1.0	0.80808	1.0	0.740073333333333	1.0	1.0	0.0072466666666666	1.0	1.0	1.0	0.151963333333333	1.0	1.0	1.0	1.0	0.0	0.0026933333333333	0.675046666666667	1.0	1.0	1.0	1.0	0.0999766666666667	0.271693333333333	1.0	0.212343333333333	1.0	0.852026666666667	1.0	0.28275	0.0265566666666667	1.0	0.329503333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.78015	0.0381366666666667	1.0	0.713526666666667	1.0	1.0	1.0	1.0	1.0	0.7128719649122807
Astrocytes	1.0	0.0	0.0	0.12593	1.0	0.202353333333333	0.0	1.0	1.0	0.146823333333333	1.0	1.0	1.0	0.41532	1.0	0.0743333333333334	1.0	0.170636666666667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0253733333333334	1.0	0.24202	0.0	1.0	0.0024233333333333	0.335	1.0	0.0443366666666667	1.0	0.0	0.08855	0.229633333333333	1.0	1.0	1.0	0.2752	0.0	1.0	1.0	0.0	0.222116666666667	1.0	1.0	0.0111566666666667	1.0	1.0	1.0	1.0	0.0647566666666667	0.0814466666666667	0.0	1.0	0.0	1.0	0.0018099999999999	1.0	0.484906666666667	0.0	0.177873333333333	0.175606666666667	0.216913333333333	1.0	0.0395666666666666	1.0	0.220803333333333	1.0	1.0	0.171896666666667	0.0002299999999999	0.0	1.0	0.02049	1.0	0.0	0.134793333333333	0.0	1.0	0.23167	0.18772	1.0	1.0	0.0	0.00929	1.0	0.0158766666666667	1.0	0.00187	0.12593	0.5260490175438597
B-cells	0.0497433333333334	0.235443333333333	0.0	1.0	0.0518999999999999	0.0009666666666666	0.126183333333333	1.0	0.634726666666667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.05147	0.0807	1.0	0.493326666666667	1.0	0.51396	1.0	0.683366666666667	1.0	0.0676866666666667	1.0	0.00751	0.0037899999999999	0.331623333333333	1.0	0.567423333333333	1.0	0.0	1.0	0.0620733333333333	0.0	1.0	0.0270966666666667	1.0	1.0	0.19409	0.301703333333333	1.0	1.0	0.183453333333333	1.0	1.0	0.612296666666667	0.0	1.0	1.0	1.0	0.0007133333333333	0.266916666666667	0.237053333333333	0.0	1.0	0.03182	1.0	1.0	0.666383333333333	1.0	0.51396	1.0	0.245166666666667	1.0	0.15956	0.0049299999999999	0.16567	1.0	1.0	0.84904	0.0527766666666667	1.0	0.13625	1.0	0.74422	1.0	0.19409	1.0	0.0081633333333333	0.115803333333333	0.857136666666667	0.02101	1.0	1.0	0.0077866666666667	0.178256666666667	0.342233333333333	0.905846666666667	1.0	1.0	0.574163333333333	0.5953629824561404
Basophils	0.34528	0.528666666666667	1.0	0.23613	0.178423333333333	0.507186666666667	0.212623333333333	0.474033333333333	1.0	0.889976666666667	0.55131	0.141123333333333	0.15006	0.223643333333333	1.0	1.0	0.21567	0.789666666666667	0.583986666666667	0.357413333333333	0.244036666666667	0.457643333333333	0.18262	0.142866666666667	0.410523333333333	0.876283333333333	0.583986666666667	0.2107	1.0	0.574336666666667	0.809136666666667	1.0	0.160383333333333	0.05161	0.42859	0.08257	0.430786666666667	0.359686666666667	0.250693333333333	0.213943333333333	0.181506666666667	0.1431	0.299473333333333	1.0	0.35219	0.187783333333333	1.0	1.0	0.85125	0.217573333333333	0.265806666666667	0.19309	0.72763	0.09148	0.178576666666667	0.468306666666667	0.18018	1.0	0.330036666666667	1.0	0.128546666666667	1.0	0.172243333333333	0.832593333333333	1.0	0.500793333333333	0.244923333333333	0.120956666666667	0.911316666666667	0.197256666666667	0.08449	0.287956666666667	0.308023333333333	0.1657	0.135863333333333	1.0	0.455166666666667	0.0733433333333333	0.31462	0.27215	0.68635	1.0	0.70495	0.12303	1.0	0.273656666666667	0.307566666666667	0.08891	0.672546666666667	0.34763	0.179893333333333	0.289296666666667	0.101396666666667	0.703553333333333	0.607476666666667	0.4612186666666667
CD4+ T-cells	0.476713333333333	0.228733333333333	0.0818466666666666	0.458033333333333	0.551576666666667	0.10378	0.31467	1.0	0.63507	0.395783333333333	0.404103333333333	0.110843333333333	1.0	0.271236666666667	0.24682	1.0	0.275236666666667	0.122576666666667	0.0188166666666667	0.579883333333333	0.10164	1.0	0.208533333333333	0.133326666666667	0.52002	1.0	0.0138266666666667	0.454183333333333	0.567123333333333	0.03493	0.457376666666667	0.44188	0.142146666666667	1.0	0.0	0.222413333333333	0.0384466666666666	0.06245	0.45551	0.06125	0.125026666666667	0.633553333333333	0.391736666666667	0.153816666666667	0.341236666666667	1.0	0.354216666666667	0.374806666666667	0.479116666666667	0.25704	0.0	0.0902333333333334	0.293393333333333	0.363466666666667	0.0890733333333333	0.328103333333333	0.26607	0.0	0.56963	0.0332366666666667	1.0	0.640583333333333	0.275236666666667	0.4278	0.242856666666667	1.0	0.345356666666667	1.0	0.651786666666667	0.412696666666667	0.252783333333333	0.547333333333333	0.40746	0.47849	0.133326666666667	0.29208	0.06554	1.0	0.331993333333333	0.539706666666667	0.43616	0.57255	0.379356666666667	0.528493333333333	0.105126666666667	0.0886433333333333	0.59579	0.41536	0.0	0.199596666666667	0.282893333333333	0.349553333333333	1.0	0.530323333333333	0.346023333333333	0.3916782807017543
CD4+ Tcm	0.06662	0.00012	1.0	0.01659	0.0	0.0063966666666667	0.53253	0.0003466666666667	0.394166666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0307266666666667	0.0	0.0137933333333333	0.0	0.0	0.0	4.99999999999945e-05	0.0607366666666667	0.0019166666666666	0.0	1.0	0.0007366666666667	0.0030166666666666	1.0	0.04842	0.0	0.425196666666667	0.0	0.0	0.0235133333333334	0.0	0.0003366666666666	0.0	1.0	0.0	0.0	0.161116666666667	0.00495	0.0	0.0	0.0036	0.0	1.0	0.0444433333333333	0.0007599999999999	0.0	0.0	0.0105966666666667	1.0	0.0019466666666666	0.0038333333333333	0.277453333333333	0.0	2.66666666666193e-05	1.0	1.0	1.0	0.0022299999999999	0.0102566666666667	0.0	1.0	0.0013199999999999	0.0	0.03701	0.0	1.0	0.0	0.0	0.115903333333333	0.708776666666667	0.0	1.0	9.99999999995449e-06	0.0910300000000001	1.0	0.0267866666666666	0.0332166666666667	0.0077966666666666	0.00668	0.0	0.0	0.0	3.33333333335517e-06	0.112173333333333	0.0879666666666666	0.17995	0.0005433333333333	0.0	1.0	0.0	0.18479571929824562
CD4+ Tem	1.0	1.0	1.0	1.0	0.08446	0.75984	1.0	1.0	1.0	1.0	0.691183333333333	0.537496666666667	1.0	0.6233	0.513296666666667	1.0	0.69395	0.43814	0.672436666666667	1.0	1.0	1.0	0.525686666666667	1.0	1.0	1.0	0.143786666666667	1.0	1.0	1.0	0.56913	1.0	1.0	0.57511	0.734206666666667	1.0	1.0	1.0	1.0	0.568096666666667	0.377706666666667	1.0	1.0	1.0	1.0	0.771076666666667	1.0	1.0	1.0	1.0	0.133423333333333	1.0	1.0	1.0	0.65996	1.0	1.0	0.128653333333333	0.79504	1.0	1.0	1.0	1.0	1.0	0.80845	1.0	1.0	1.0	0.0039299999999999	0.109003333333333	1.0	0.57511	1.0	1.0	1.0	1.0	1.0	0.4919	1.0	0.55774	0.447203333333333	1.0	0.65002	0.79504	1.0	1.0	0.637133333333333	1.0	0.727966666666667	1.0	1.0	1.0	0.22976	0.868256666666667	0.774806666666667	0.8281294736842103
CD4+ memory T-cells	0.0755766666666666	0.0887133333333333	0.0198	0.178143333333333	0.109446666666667	0.0030233333333333	0.0725633333333333	1.0	0.27061	0.415656666666667	0.32545	0.11909	0.538086666666667	0.283543333333333	0.236146666666667	0.305206666666667	0.217753333333333	0.03499	0.0399233333333333	0.120563333333333	0.0894833333333334	0.393373333333333	0.15545	0.0969966666666666	0.522526666666667	0.408163333333333	0.02015	0.200026666666667	0.0	0.172773333333333	0.199696666666667	0.258776666666667	0.0263966666666666	1.0	0.0	0.0372366666666667	0.147776666666667	0.04299	0.19637	0.05814	0.18668	0.197683333333333	0.110243333333333	0.0721633333333334	0.109236666666667	0.435563333333333	0.238083333333333	0.127253333333333	0.331873333333333	0.06694	0.0043499999999999	0.26147	0.0254666666666666	0.0683866666666667	0.02965	0.0473633333333333	0.03499	0.0	0.111396666666667	0.0070866666666666	0.41927	0.460193333333333	0.172123333333333	0.344676666666667	0.07267	0.41927	0.0820366666666666	1.0	0.338693333333333	0.0914199999999999	0.0291466666666667	0.377123333333333	0.187266666666667	0.0676133333333333	0.0270166666666667	0.0844666666666667	0.0720433333333333	0.264223333333333	0.0529166666666666	0.19665	0.08644	0.278243333333333	0.102293333333333	0.0754	0.02117	0.0372366666666667	0.180223333333333	0.138603333333333	0.02255	0.02301	0.227786666666667	0.42967	0.30734	0.144426666666667	0.182433333333333	0.18907515789473686
CD4+ naive T-cells	1.0	0.960233333333333	0.269956666666667	1.0	1.0	0.598563333333333	1.0	1.0	0.557773333333333	1.0	1.0	0.53185	1.0	1.0	1.0	1.0	1.0	0.762616666666667	1.0	1.0	0.931976666666667	1.0	0.733196666666667	0.525916666666667	0.504296666666667	1.0	0.2778	1.0	1.0	0.0636933333333334	1.0	1.0	1.0	1.0	0.0075666666666667	1.0	0.216646666666667	0.0943366666666666	0.671986666666667	0.449843333333333	1.0	1.0	1.0	0.827823333333333	1.0	1.0	0.382046666666667	0.72345	1.0	1.0	0.00988	1.0	1.0	1.0	0.36474	1.0	1.0	0.0	1.0	0.15018	0.736976666666667	1.0	1.0	1.0	0.659843333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.79734	1.0	0.439043333333333	0.530483333333333	0.283616666666667	1.0	1.0	1.0	1.0	1.0	0.848426666666667	1.0	1.0	1.0	1.0	1.0	0.18503	0.975126666666667	1.0	1.0	1.0	0.66318	1.0	0.8182677894736842
CD8+ T-cells	0.372633333333333	0.320973333333333	0.305613333333333	0.47502	0.02246	0.0362966666666666	0.51462	0.558813333333333	0.449183333333333	0.66021	0.367386666666667	0.278883333333333	0.478443333333333	0.94136	0.114503333333333	1.0	0.0948766666666667	0.14558	0.504376666666667	0.0289333333333334	0.0153366666666667	0.26588	1.0	0.504376666666667	0.0	1.0	0.0066466666666666	0.0823233333333333	1.0	0.594546666666667	0.268106666666667	0.33819	0.0144133333333333	0.285293333333333	0.0210266666666666	0.689833333333333	0.343206666666667	0.340726666666667	1.0	0.122336666666667	0.605663333333333	1.0	0.647713333333333	0.141613333333333	0.10186	0.41611	0.121626666666667	0.277906666666667	0.375256666666667	0.41335	0.0001566666666666	0.607863333333333	0.16603	0.430616666666667	0.03143	0.0774266666666666	0.206386666666667	0.0	0.0145466666666667	0.09234	1.0	1.0	0.2389	0.575273333333333	0.261743333333333	1.0	0.211806666666667	1.0	0.0960933333333334	0.33949	1.0	0.57734	0.198266666666667	0.01088	0.16134	0.274553333333333	1.0	0.214596666666667	0.324613333333333	0.570976666666667	0.262776666666667	1.0	0.471676666666667	0.0461066666666666	0.05642	0.09997	0.1637	0.390496666666667	0.394646666666667	0.411923333333333	1.0	0.588106666666667	1.0	0.251966666666667	0.312693333333333	0.3978596140350877
