	TCGA.CH.5765.01	TCGA.CH.5746.01	TCGA.EJ.5508.01	TCGA.CH.5794.01	TCGA.J4.A67K.01	TCGA.EJ.7321.01	TCGA.EJ.5512.01	TCGA.HI.7169.01	TCGA.V1.A9ZG.01	TCGA.J4.A83K.01	TCGA.CH.5744.01	TCGA.Y6.A9XI.01	TCGA.EJ.A65D.01	TCGA.KC.A7FA.01	TCGA.YL.A8SA.01	TCGA.J9.A8CK.01	TCGA.YL.A8HL.01	TCGA.HC.7231.01	TCGA.EJ.A8FS.01	TCGA.YL.A9WL.01	TCGA.VP.A87K.01	TCGA.M7.A71Z.01	TCGA.CH.5737.01	TCGA.J4.A6M7.01	TCGA.V1.A9OT.01	TCGA.G9.6336.01	TCGA.TP.A8TT.01	TCGA.HC.A76X.01	TCGA.G9.6363.01	TCGA.EJ.7785.01	TCGA.KK.A8I6.01	TCGA.G9.7522.01	TCGA.VP.A876.01	TCGA.QU.A6IN.01	TCGA.EJ.8470.01	TCGA.VN.A88K.01	TCGA.EJ.7783.01	TCGA.HC.7821.01	TCGA.G9.6329.01	TCGA.WW.A8ZI.01	TCGA.EJ.5519.01	TCGA.ZG.A8QY.01	TCGA.HC.7749.01	TCGA.KK.A8IM.01	TCGA.KK.A8II.01	TCGA.H9.A6BY.01	TCGA.YL.A8HK.01	TCGA.HC.7232.01	TCGA.HC.7077.01	TCGA.HC.7819.01	TCGA.V1.A9O9.01	TCGA.VN.A88Q.01	TCGA.HC.8213.01	TCGA.G9.6362.01	TCGA.KK.A6E2.01	TCGA.HC.8262.01	TCGA.EJ.5496.01	TCGA.VP.A87C.01	TCGA.MG.AAMC.01	TCGA.EJ.5524.01	TCGA.KK.A6E7.01	TCGA.G9.6364.01	TCGA.HC.8259.01	TCGA.G9.6342.01	TCGA.HC.A8D1.01	TCGA.G9.7525.01	TCGA.CH.5790.01	TCGA.HC.A6HX.01	TCGA.J4.A67L.01	TCGA.KK.A8IH.01	TCGA.FC.A5OB.01	TCGA.QU.A6IP.01	TCGA.YL.A8SL.01	TCGA.CH.5741.01	TCGA.CH.5752.01	TCGA.YL.A8SJ.01	TCGA.EJ.5498.01	TCGA.KK.A6E4.01	TCGA.EJ.8472.01	TCGA.KK.A6E0.01	TCGA.HC.A9TH.01	TCGA.HC.7209.01	TCGA.ZG.A8QZ.01	TCGA.FC.A6HD.01	TCGA.YL.A8SP.01	TCGA.CH.5766.01	TCGA.G9.6354.01	TCGA.HC.A48F.01	TCGA.EJ.8468.01	TCGA.CH.5764.01	TCGA.J9.A8CP.01	TCGA.J4.A67T.01	TCGA.EJ.7325.01	TCGA.KK.A6E6.01	TCGA.2A.A8VL.01
CD8+ Tcm	654.186131526363	758.688300524608	991.630913946498	806.093994487841	932.952625150521	1082.02226288861	810.700951119527	577.270388802354	471.646272211319	616.733325274606	757.640407180148	826.696534332814	587.396690098915	874.032389931903	788.813127464221	384.842904910657	694.373176003379	985.813782697323	836.862699588465	768.575894284109	868.284998444923	364.375197882978	778.052154169371	744.318416744299	927.133425210082	664.099208096509	1191.95434542641	734.961262971708	851.505868153324	769.8988622144	786.187442333039	802.071333380883	866.33211117204	693.857684122152	1369.44548753899	711.407570557554	744.634813414456	915.49044560137	864.446091615118	905.525244244502	658.127173182621	234.436324039541	724.158619380563	851.280298097208	756.231241121823	578.900653555616	720.802729666956	591.505501045596	900.020770476538	795.093056574307	1365.24724454195	692.880303000082	869.900833089354	882.283872419372	962.815420554829	696.230233065058	967.36328396556	1711.77165510085	833.075175598167	1131.44111891056	193.355169297975	734.571920741574	747.65525460128	711.870039927563	859.261612396073	651.917162536342	798.71171804732	532.198742598468	915.250703970736	893.322517544163	955.604004750379	630.923915422477	641.88166700013	980.18100322341	652.540773803467	504.742501435817	903.026713377287	740.345286829018	625.022315802149	837.449848829669	952.10166485005	716.046819656985	737.33284505348	774.024968757512	648.031086032369	886.997915622499	903.370660188631	623.069924606911	980.201258415081	1005.58629575244	639.110426644432	766.936348359909	594.784822612289	874.194970819407	823.586353967327
CD8+ Tem	210.947512161034	270.740271585702	387.653896463099	223.974049664472	691.935245481005	519.412743745154	249.375721119866	571.699936443708	305.483315904022	331.998505712917	435.677654213635	439.819303818595	461.070152829181	516.453523090763	431.841549587462	281.527785130376	354.520567163042	409.707808760423	427.112964373908	370.916508639634	531.039789147146	331.31966126595	191.738886985071	302.298964329806	801.952015766842	252.975512680224	787.838246345982	322.978613792027	165.245021042454	345.065703721601	348.616423973885	363.802998171911	383.148469877235	602.175859445239	826.266566442258	466.406631991318	353.198964852201	455.645183442328	399.915314852453	557.982173739978	345.86713631912	261.519308274048	349.179624854395	460.243232506216	373.927038517352	467.977704485714	393.07214202283	352.577791312892	397.534750223335	284.552272756866	799.382187381044	315.375841617586	222.0952167263	397.079500193645	505.71162244898	364.609245062314	291.938116351494	1164.65797447401	413.520084047614	478.918114957925	303.450167224897	204.17303935398	344.818338275615	338.160469420639	469.752150601619	220.206636826371	315.217219982367	550.764694603669	633.399077707497	360.618594356446	149.874798371319	403.602000567555	401.505852547022	361.113521148033	284.742629972351	296.611417650275	291.315757114518	473.743823859932	271.373486211168	327.517636380674	420.47048770239	250.878696801895	416.300103439696	541.823920217694	267.464593184069	485.949974484469	512.499848424769	218.434569019174	505.065527965404	457.944442798812	380.391406392108	383.458086993965	397.425507027469	384.796497457345	474.971044316586
CD8+ naive T-cells	242.145858720333	243.555197002148	129.401791231882	253.166636806813	478.503472308707	299.741855225204	268.413166929793	650.457386497422	294.548383590544	296.053346962525	188.301348485477	370.794516140234	526.989718212735	347.493375599	319.14120953427	360.090592827678	252.996704836721	169.022620998623	335.039911065694	422.485516505087	551.536278895954	516.199733976242	106.910176497787	356.617763000707	567.591349861036	325.861567768494	430.098471093561	375.594101338269	390.618487699781	31.829109155911	319.418566847373	201.343077323925	436.953044768664	532.660700988664	276.305320318303	416.934774965426	40.5753258541751	157.350817610662	472.056414508494	484.232464590352	151.545024027836	214.087925119948	217.2477955357	265.060307494601	404.20551363932	459.945362693033	125.901975582644	191.226872425261	178.575224838932	323.451908279172	277.740340757457	436.247114444034	319.347462361627	493.545832114756	340.765522883545	415.594212589473	261.416556222966	326.827389851919	628.985042339925	181.116702680329	411.029090287226	96.7639388666788	349.835517644319	169.727993628438	274.914673403286	327.835540250174	250.245397563055	444.98398075316	403.081411435244	323.588575705048	309.871485401647	390.870097705124	336.065368328011	357.516881945189	200.844923914448	279.9031760963	128.814561457206	458.17052057125	432.757259109517	194.584256407951	269.101551383466	106.99442256955	299.563552571513	540.413422520108	366.919935949176	168.010677063588	546.49245317092	393.208826147187	208.616558992495	264.160897608554	298.777204125367	332.891207550012	551.442566414134	299.421995366868	422.809413957704
CLP	389.954909542973	334.214677099976	213.686627088519	369.765544778493	687.598735741486	365.113977301438	573.229174579292	575.57319972664	290.617064054478	364.123665139406	137.337659703073	263.809462421398	575.542885743017	306.993126894698	218.542064581167	321.509749638008	180.012887445833	317.217100110047	498.850762237714	525.351608977697	323.525309131567	503.659348818178	210.838824805502	293.103564646909	538.738745507531	661.507138120239	333.469268522622	410.15165019634	831.627897745887	0	394.896819166571	334.194590767702	548.153224034457	645.773872555958	288.696680407873	352.406756352485	14.6920706453117	140.81461971139	724.170655163121	131.819664065646	106.738000973515	433.993321939328	416.172134178805	384.957742327909	214.169275072924	621.293282966301	266.462658886307	297.142761204955	181.122345382081	334.989168454258	266.151776557827	248.986426049226	651.465707995225	803.809495062368	199.502351394194	577.177184494202	437.053367404682	152.619946043869	801.928868012437	349.479538075635	513.690363319815	382.648317491933	397.165108603656	248.163906930843	241.521291096875	561.716450384221	344.613242028239	516.731647447861	616.672083682399	487.344714329264	509.132876348862	437.466121034806	480.093928617739	381.317257594812	497.43518278941	116.904717514633	346.160331621717	655.787497904231	637.202896757392	400.445478740069	310.243595651621	224.920748874723	511.989276317206	812.942186572699	362.021740179122	225.399508516823	634.875683993375	460.322784330004	49.5609833712115	427.737276340573	403.309726275878	462.880823294027	724.059957326203	579.715341106099	546.04317267231
CMP	530.275435810717	523.475089592013	583.632319230344	543.895047195952	430.117386515619	477.907064680942	401.860046989912	442.694936719486	626.023709607536	548.933978602845	569.086827770908	699.93880589596	566.442682696588	618.259583540793	594.250871870254	358.204865619049	525.39047876659	452.218080114997	677.076332820459	411.49555042607	576.701299527507	520.953331430348	448.208856195041	616.432893552273	635.283674524886	316.539054903757	483.470928145485	634.416461313634	276.551047688119	716.010696868773	506.767606788804	460.072026039846	516.943012413069	533.034409660375	472.194493139136	658.306271435139	711.162676649535	508.738784619134	562.548362114103	793.613276810733	396.426664409448	473.580503186388	716.976252719357	482.59073257536	537.933850234005	491.118140845564	465.81212028745	482.87951561901	513.955171685985	550.274512134841	506.241009413612	560.046742582953	402.200810946996	381.771598630768	762.41327546254	406.295973513221	547.534754781952	420.413965538319	350.674657260401	534.07520853852	578.072124726609	432.540182804138	442.853298617021	341.362332481231	471.122207885646	501.799745579699	503.262650825207	404.639286888438	444.137179709275	499.853586349775	654.934741504232	427.022606241212	556.828736588715	546.706045542285	623.364659264543	537.606072218643	437.428453750563	553.143377464529	498.658279679142	485.181414682994	454.451748567828	469.936449305242	452.208042630727	788.371412980148	664.966764978867	538.250213669999	449.091839294268	686.918488861301	759.304907101123	528.644440617575	1282.97025724534	376.733040029284	564.296082981106	485.177806246084	514.698037603526
Chondrocytes	676.107215924035	574.873148808611	819.339236762763	516.624730454915	906.447929605027	664.423569714989	815.323927460173	1674.33109555985	1230.19055505439	1017.99375456123	611.140244935702	377.51075517597	932.603617427115	548.916232669349	543.950142201634	1795.05171292102	792.391297482932	830.298328107001	19.155780557248	975.523849398989	656.038663148033	656.484370310355	243.202704836389	1022.96030610589	1049.15968942169	875.878825304904	1138.12901899128	700.164289854084	1172.50126742479	1239.54552756253	870.631558314892	925.451635322951	505.315888678613	845.079222148604	429.279214201537	1438.61056652874	1012.47345288747	1520.94544737961	1282.36131077797	548.323897146012	929.887341475261	1146.40392778557	1020.89701005547	1100.4145373476	465.252608213464	965.949912666405	1467.46832651584	1096.08496770822	634.545073450397	447.779834359488	1017.92028541185	513.067827208167	420.953718157455	763.809467110066	591.039816944572	580.581861171907	572.304795657811	1378.07299475432	840.827349537407	1330.87924188457	722.554803204403	1302.21690426655	681.806368077911	798.519930257098	1223.65329041268	1380.12426945404	534.796145920591	869.095182802855	1111.7214715608	1029.4812088618	224.21148032273	984.342314344416	844.305258973741	497.167340921201	1051.25058384933	1400.15385791456	1336.77476052414	638.973380599691	1044.07272267784	342.685117382567	1044.9970949794	885.049066029196	1318.18253030041	230.234565493063	1099.85942488784	545.502648433835	544.640243239775	1020.98474046738	1034.95640025039	806.60526721788	984.8608272675	711.541918969401	1136.88306061345	1215.46977672769	727.507559348299
Class-switched memory B-cells	766.962050929135	610.40144869899	727.73110634254	805.504119998046	750.764595664416	1020.66409210252	568.49454668594	270.039103512661	581.225260780039	684.296331026526	601.93346206055	598.282779722382	604.771988206721	572.940167755332	570.312541927465	573.837350339109	626.2337290678	877.848052746752	644.777081858305	616.745297330824	699.890219979521	613.458222476374	790.619552931656	746.54912152349	959.018259071343	410.863971529038	627.485505771716	677.32321370689	399.172038274248	673.028186667151	651.303753577335	540.167263110031	803.797815674485	582.557555914829	1036.66747881631	469.456711510771	752.927467674544	1092.1825561455	398.442463236534	794.787000686947	380.000478619035	357.509530804185	458.274107201929	672.301399783305	568.21875422697	519.213502102532	662.77541301734	757.348804456646	876.565820904013	649.176631381597	1287.15974150839	637.004007243748	607.415974542891	427.175535430994	983.99895955037	636.163987997589	635.973776296569	1572.74759409377	429.680496410709	607.870881874996	278.975272491917	353.195043130885	667.906600066292	565.77374911473	661.310325437972	227.818303248152	713.897754674883	455.445580308352	635.445206181811	1099.16331289696	301.810508642002	644.336777028754	611.058944688117	707.048895112333	544.216948781339	397.10329620331	469.075664785233	665.97350932158	550.321733633058	348.41555181654	704.30423591661	650.732779085112	958.459750760258	725.17835233888	856.803911328681	725.718757610111	514.960849156079	727.107842625991	719.356825734456	549.311939150615	556.901112000642	476.197578680016	685.545661550478	327.806693909912	476.985489390668
DC	646.2815287772	568.14414150764	1045.06894085776	750.054968285815	973.171853840195	1141.36711491826	606.529344025123	524.909745330615	870.189102445798	664.858398161554	1192.5435352502	724.45004804691	386.306504399195	909.206533989059	520.226231482423	712.323443424586	513.175642755287	1280.33326174735	455.73227007421	441.525082396238	637.111215605997	304.632391564298	366.898571721026	554.803201263305	484.048415228415	820.639813222576	1498.71963594976	440.174455359057	991.459860182756	868.655225175967	744.028582572174	981.458049481956	232.583836465783	545.533708154722	1626.89108490182	536.036876473238	683.082311363672	870.074180726087	754.94326209085	596.685113021279	530.142996569934	444.243853934849	901.283237215806	836.421055605684	639.692846175686	389.098293875541	858.682618312581	909.634032390386	506.214055094336	530.619464395317	1484.78392852674	528.460712867861	614.098778907711	814.839076345987	1016.5925596653	663.177931273216	815.547762085168	1728.75624761681	785.623515798906	1198.80246331762	327.252046787587	1042.23589734992	822.693940545572	562.691952780908	925.696573023839	1260.11872024827	657.292039273282	440.208865280181	1240.47702575553	638.010049750282	496.932083445832	479.010310202659	426.417778159507	722.236745225279	560.595334510139	280.671044900031	776.137338984265	757.789994616898	1056.3611529839	468.793012257841	941.450672539205	794.290671214503	981.35963127928	563.451497144281	122.393543843957	1212.73036160353	661.83692757864	670.744328087316	982.298021701825	756.428647292494	515.497711015377	666.43011252678	574.988050651916	895.004542572102	443.479657994368
Endothelial cells	775.261102663423	276.553912706783	1269.88145304333	664.017451464618	335.304154324896	376.440417003022	415.637017059496	1261.27351296806	1834.04573690221	790.748126547936	1029.97921948054	1093.959338643	603.690048001697	976.822862658097	388.502685099807	1136.13847932203	873.937369776159	546.945339284356	163.596059006663	1167.14544234583	459.994242284441	399.79480986213	1213.59308170665	716.819143349251	676.198712714144	374.090927822533	852.599824239762	414.136111225451	704.413880146972	1377.77850244826	570.68799394559	1078.18545703141	364.420691438513	721.009206276792	397.04162468411	1822.07576088372	1083.36304549748	1088.40672177516	1069.7085873648	944.400039206439	1551.57124391371	1292.57598090917	702.096627766571	490.23138104947	109.379190455354	484.407115590803	1429.8789178786	1533.39288305202	155.753400170282	754.410122827239	782.671709493123	893.300607366562	451.923885887404	1755.70156020048	528.272479725082	540.367969829744	361.120986335967	676.076543590895	280.134798619984	916.539293843012	1541.74939628119	890.672408808553	493.405280855272	1247.27724011924	859.348064712125	786.478913635147	466.939461561546	1112.25169111475	625.533803347813	273.56792701048	830.113586504641	590.754351031363	1098.70223721845	856.024042177889	1414.29586159576	974.772021786465	1408.91502588656	551.247294914291	71.4209952015692	1312.36144683912	912.621330558681	689.060356028186	706.07269199964	736.944667342788	1382.4429775442	407.58096812738	559.272621415408	760.411020072235	834.387101880602	721.46017419776	2160.22354437263	646.404338498037	473.842390562357	856.561740226333	787.581026971686
Eosinophils	577.023808271231	522.571374425909	413.102384452822	812.786798149355	478.245567124376	616.716657431402	299.709584673438	597.399883247846	651.925311957646	666.736453286568	1017.83671668692	532.18104137791	501.173105646121	539.599712601039	774.966602208442	786.607515634938	455.439788603576	672.677675673107	518.945297771494	602.693977140364	485.401381174197	618.148636551897	459.18298413511	557.992089615974	735.980232439502	589.812014644706	785.57971368972	452.741534383405	301.645803753249	615.421929680562	621.363620152807	736.826508337587	288.456655794886	553.995041860903	483.609653375002	517.746777390092	639.1788218059	601.980905440815	559.212122084845	428.077531070112	761.797028610283	447.687675902213	508.904320247304	651.024481980362	590.122260610318	480.755565675914	688.845462222102	863.530403903222	787.776096942416	454.465139960069	746.647085836218	560.914547585861	581.566668584394	273.076829708863	400.527620585098	540.829649564516	409.371158235494	876.418598117289	584.763128211916	759.652279071779	457.217548586827	823.573695131759	453.414818492659	582.771375778755	804.046853897859	553.010916887198	582.917303937401	648.080866168651	577.683857447529	566.830764839839	113.312521880443	580.994362885181	615.157840826909	372.613442405117	192.042568987243	727.358271543839	510.44004328391	517.769263802084	606.595830675784	548.711757324209	523.441001964293	726.826241871948	562.349631052676	446.280644494699	444.897918470273	739.409931792879	583.514835751042	495.172411468111	558.527873344684	501.522961970182	713.082004322561	541.929713517902	658.930242217447	643.928921070837	517.381231152639
Epithelial cells	1046.0444712696	1548.09655775945	1088.39084177992	1728.20442932029	2150.25357435935	1373.12509377122	1508.8084542891	1109.32070579575	1709.67528181163	1401.54869951036	1863.21629832855	1459.43964918681	1630.61048405467	871.487391219108	1544.83511120875	1727.72288867623	1501.87041595887	1638.70234208259	1331.14704563729	1439.92291913889	1778.44761614408	1160.69086780575	1461.87476557958	1217.64794804798	1678.33832619685	2160.77494567818	1297.3453819103	1215.86523043137	1224.22641335265	1232.15218134254	1748.91198819913	1464.3357729542	1028.26681627898	1985.0932614902	1158.4190375096	1454.03399668354	1489.9755841369	543.620919773731	1928.88432168228	204.370166928903	1266.44528667914	589.303892480159	1382.52277845818	1518.85052696284	1542.18547013005	1726.23933400593	1806.11920456191	1547.55983689223	1524.51746044137	1109.91342295744	1386.97253522679	1547.18042548028	1332.1485850629	1431.31674031903	1266.58751378451	1770.84425137557	1338.75876688315	1204.21187241839	1708.19104158806	901.275004118964	756.414773947587	1231.33108988015	1332.34304183296	1982.92765825089	1611.7865715508	1578.72188801718	1497.48200125304	2558.28482536813	1806.00132778744	1687.75073403137	850.664765238958	1872.30144078242	1374.23856478553	1614.69422397598	227.38093345989	405.675510044381	1532.98405667418	1627.64601530103	1550.72006181422	1228.4216012661	1503.90923621562	1701.07014297404	1837.8757775325	1455.32472492922	836.173530681284	1623.14729246176	1797.59374892845	1189.04833993967	977.801758055153	1356.19949025415	949.383233051336	1764.31709576599	1990.47748038046	1477.59137719717	1544.33732629894
Erythrocytes	411.707842655022	329.472879845386	266.995411096239	511.218074203822	423.830853915931	308.103260097221	240.652069408986	275.900328534314	346.98766826458	223.314928609716	307.782499727886	545.361066834261	846.076114801451	421.212049858399	256.819979845943	243.164811125754	415.825010983741	244.427153430388	570.876464199165	547.83602636717	466.456533350822	583.40468321851	596.015460368819	398.239871856524	455.608043417855	335.51551721855	161.599070845445	584.28897806933	506.946377967289	170.526827408151	452.140965933228	213.11555365707	617.406187192208	694.559863014937	370.6473563291	361.671348363494	140.763020283811	305.077952109643	265.261376114429	408.97709291805	475.767531591504	424.051347919331	320.883536696046	153.245832467942	280.410519135546	598.90474508766	260.087048843391	256.647717774527	409.910181566785	376.881672386362	241.428835565353	375.877018164024	449.279797732608	572.821564020471	544.600292657806	358.97046871298	264.893178560502	152.635348396666	332.576846352004	219.506736042759	717.761137556264	222.119651369305	419.263119792375	292.406968569653	139.931621055953	509.588823051199	90.21643288641	410.978157633512	451.673019169124	362.122814472056	833.154416385016	190.956262711513	725.202409962872	514.968374560718	646.79476931075	379.250455687264	159.107315364801	495.566426410426	455.196545641028	725.493607628168	510.123723291837	291.303008671375	257.569516662862	1106.4082931363	475.537430082861	202.064738559128	341.760702725842	491.705538807567	228.21336862363	171.938946217113	379.141131443704	175.834610155671	397.946186428072	302.880153402821	267.953896205416
Fibroblasts	416.638069738244	371.131566891362	431.830306298099	296.113618418985	507.378667172976	340.477891223597	519.24452010666	1142.56643880008	731.144683990437	607.985509954999	292.193032764145	344.231071056093	347.31927594037	564.076454509683	309.485325188367	848.195849226342	205.512912506813	388.555089519407	408.43371877624	269.004415475732	252.565145859769	285.434569399181	318.513335968377	590.283995708821	595.33547499498	493.039607324028	568.434988804119	385.067497133768	661.120682554434	598.110017260226	331.724883208135	538.835368892422	300.241182894123	460.931584406205	350.894006987941	544.101730161413	462.08986943841	613.887251705729	731.12246306849	523.037058067244	494.056824857802	729.377817131111	634.831168841787	514.740373810847	135.141963073688	635.891509822821	560.757693836828	454.27137085388	236.081242850302	292.279329080358	362.203386445659	244.920009834986	357.087258131041	540.007702374186	465.229128213295	294.7683735194	340.510339166808	621.413262613364	392.647666430193	656.876168504791	331.139473242271	820.438566440096	376.708606599682	483.653269785155	564.341291835494	656.319546516429	342.041874996774	620.376359420083	636.91607226293	417.152840852123	361.888129044833	597.896196306245	198.499695179282	375.9447446499	298.867684816863	889.215772214934	733.303993059073	599.005507608369	528.560676038429	253.609865437949	499.127754043964	329.245938660713	664.805476884998	285.018155258405	218.631204793395	358.066597259184	462.967555054855	387.449017048753	728.350198466055	468.726068530031	805.565448447817	479.593762598688	482.768064196776	636.116267683804	521.714153895945
GMP	407.212812926789	342.167451356137	554.485455109304	377.152061533657	424.963760810838	495.05670082372	350.875743929506	132.843660974164	570.014104457093	353.109740311858	384.833163767735	473.880623738761	336.790416834312	402.05654344354	253.480431567438	320.473728905195	336.548864780212	433.993973497801	382.945259947576	348.58153685429	376.685494969292	265.818162181176	261.847137551542	426.990884459052	342.176402289237	235.242146411593	549.950605257208	444.483157904657	396.576285222384	595.83997375227	369.742241295321	374.222091650148	428.066278910525	211.582372068889	586.538095198956	555.470195027482	393.104500963898	381.445741741366	473.400398980356	378.360705055486	158.343459748693	334.520949183387	592.479116416295	375.191467284258	301.304751028402	294.490695584877	399.102121826262	370.261495561939	299.092065759644	396.820442082485	538.778929862561	381.322314194269	310.945871965876	333.753124028841	560.331292827717	382.04280386208	397.552087543678	505.998665499658	283.746262669552	594.359474752772	477.106714268442	250.684123783672	299.822886538011	221.314750044172	389.391445689411	402.478194242459	371.769329395691	170.962124601577	385.829649319657	330.301158588684	500.22867956514	198.041712835324	412.303773794148	417.658714071289	449.922190272851	194.386056150707	448.138934374158	410.518142857301	398.609212667148	326.298847077989	447.269249482311	287.992006577418	441.470917590902	572.674783620286	480.203762472548	382.569673596136	332.824202278998	430.826709669941	597.348337056646	456.746879245229	960.43835091242	324.264924798679	313.11099269735	478.910499390462	241.895881105602
HSC	853.840201826083	644.250474513613	1279.6945121005	666.237976536688	802.025429599864	703.927747621393	871.644585805763	1731.04066530884	1619.80640907115	930.447731927064	732.435445060121	689.049274384754	459.779764060156	577.075486481679	586.969460338849	1481.02521172574	922.300043551578	704.244400154245	167.437469225226	777.673508290388	548.629786116165	510.792786755643	499.357948582199	1003.91765602478	886.51512598103	1081.15611625329	957.542856486721	628.156198569652	1240.20397172738	1389.67713980205	686.730630407173	1118.13792301884	615.908533315239	588.07209139176	684.290546619341	1419.06216595078	1265.41019486608	1258.11361620697	1490.7006604303	679.022844548452	958.521693595193	1240.30608470468	1010.91091593889	1061.99356841112	398.253077665694	1050.75544239015	1298.81126510217	1365.63018367962	508.213530649465	623.14033882684	923.184723224828	749.203157136552	787.900797063332	1146.56238573616	1043.24137299	862.272437852237	695.653635547757	1294.33575883477	517.198715819382	1349.51612512751	1283.05052168292	1237.28731644865	647.138308134976	1126.61976828919	1284.11552575496	1162.64464786589	617.282566805297	1362.52218821459	987.309318111534	765.009531997783	625.142384861637	1032.73486727423	601.546548888795	738.652897893349	1075.38228705768	1304.79418137	1859.0106330181	644.571763073093	1067.33572038646	696.079254315659	662.559666337424	867.766469316171	1380.05507026849	231.091550665263	1229.87367251819	679.20716321621	752.296681742205	975.664093472139	1285.96677091575	814.557150865936	1620.52476703	836.91676849998	819.727338589653	1393.82128740827	799.337331593034
Hepatocytes	323.685592673746	416.036052662116	579.910562636429	491.401038599087	662.136825873207	360.599455879852	598.451364551443	601.865917434398	430.04639728859	681.161271717117	460.854951942835	143.935822328568	157.851291272914	529.704693638392	476.390783634062	623.477473359721	158.254068246222	573.765672054326	504.547130019114	142.952566416256	188.465481189723	370.810706077418	554.469355555813	451.920019694477	586.203394755702	813.883629997949	662.917007823905	576.953308780828	622.694122185514	709.132294025955	637.770224631664	694.349323738932	347.944139447836	357.764129875819	543.349900388775	269.964655572863	497.770595553614	468.76463891732	481.100765263371	496.455853776086	267.072138074646	507.596959547495	418.006639403203	455.453880099173	382.973074054237	485.674361850426	434.016161691671	520.988795622126	441.684487969206	488.193370434134	707.655378744543	483.330355055194	541.969245540635	542.631359615799	164.418130809905	445.893552257077	448.144385143413	509.496983725159	476.183005898188	391.832541171465	346.349218569146	703.958747647652	531.15883351402	587.649041714189	561.434904010151	749.606123054225	486.466389661806	721.312104353043	874.717731861153	652.051229182336	19.3155733451732	724.7875116335	125.747396512327	303.130117761731	387.803643173802	433.915975732638	634.92358534545	533.878889681243	190.660755089557	811.397824277135	376.068552240296	975.843363890809	533.544064085313	223.071455338104	193.353768517161	446.611680229209	630.94309681266	510.670623915295	719.349712013144	357.744924942313	447.505180251635	713.388468980536	727.974210656752	601.518402702563	593.72923132034
Keratinocytes	776.735297322486	1595.30465502987	1234.58193369948	1410.09852025275	1634.50258568322	1065.67085650467	1394.26341001332	1346.87946609925	1664.83620277945	1286.9736126604	1564.82837501184	1266.52501615777	1092.28201419638	527.8862337897	1095.84077669952	1415.52305569508	1355.59901252238	1319.74291869574	1303.22693969511	734.853726638586	1207.76084100526	986.909212328207	1223.54457847674	542.16754564604	1414.46038870287	2152.43800109666	1071.43090904445	709.190894181272	928.817957330279	988.744477757062	1444.93258455947	1474.22052836733	582.053348207122	1477.8727770338	1216.93857012598	794.306674344872	1566.70399274898	315.768548490454	1864.93667394952	531.082907340994	1037.22103981569	636.157090617234	1120.00569000533	1428.86437399954	940.337061491375	1252.53562329035	1137.36187521877	1380.23735665994	1220.29040258054	824.595259469568	1133.84991380827	1294.02913654171	1016.6170410248	768.449087628352	872.481723355783	1843.6021756919	1265.64961255968	1269.87221284177	1210.71541310726	725.862014389458	947.48930294989	726.63129687293	851.196144008167	1724.95537437841	1639.56888827967	998.260509342058	1219.22461018122	2442.40222490532	1454.75719311655	1133.08188264222	889.720310899055	1667.23746174011	763.832549360326	1113.05410205815	50.3286340571033	797.132314868849	1531.29802818828	1186.46571062909	1252.04035177052	1187.8081330116	1125.17054825769	1438.80160691312	1547.41923331366	1590.06054212387	231.984625595334	1493.44392860919	1522.98568765102	808.276579587138	773.758398861577	1163.6400177317	857.506069696825	1650.19353571827	1690.23290047607	1167.71026444747	1535.22049224363
MEP	626.359061109457	538.929718880564	420.312574808614	820.955691252799	1351.26969502923	797.094411280884	607.636348644667	928.800023531336	791.337396893051	712.372431088772	669.600253986016	638.371486986628	1582.75020997947	743.341809736198	617.824332630858	838.748774217364	606.482544482662	565.133615388605	698.783651638717	978.662815727788	827.147467401001	1415.45355592204	537.261181620686	801.775790612467	911.037199543809	710.635528566428	432.7319921252	947.561850295122	1097.65468513037	354.890293309704	768.13934000762	539.684471845444	862.50913084323	1558.37372902211	294.530896296575	988.785400439693	375.96861382889	508.647646614747	836.539416260759	529.41943502097	235.987453443559	799.046266211619	745.434052945399	542.553726593379	701.89030421646	1433.90598234463	501.663937596724	646.417121169512	878.222713192869	703.743252530686	540.627245791243	739.527429957553	882.251515809482	813.230555271693	904.379693038267	697.970942080338	674.316001584741	230.789196136852	970.925890505161	351.224050547458	990.572324557371	607.605986385349	801.740667765843	706.10583933693	567.189099401375	1047.68248671877	431.985558698137	1125.6617930753	1128.39027283634	714.575616220408	716.062058850615	899.756810559862	963.588695899379	758.760562576095	726.736035295424	373.146290327616	326.227947127397	1483.86218274431	624.540339468003	953.162168294802	552.30028215016	538.344680025707	682.029709092853	1503.70742057257	965.317120844305	435.78145107018	964.888303665	750.574914444776	353.7387527113	560.411784570146	1204.21902735287	618.984594669513	1417.15882055295	801.074060682209	610.524114023633
