	TCGA.CH.5765.01	TCGA.CH.5746.01	TCGA.EJ.5508.01	TCGA.CH.5794.01	TCGA.J4.A67K.01	TCGA.EJ.7321.01	TCGA.EJ.5512.01	TCGA.HI.7169.01	TCGA.V1.A9ZG.01	TCGA.J4.A83K.01	TCGA.CH.5744.01	TCGA.Y6.A9XI.01	TCGA.EJ.A65D.01	TCGA.KC.A7FA.01	TCGA.YL.A8SA.01	TCGA.J9.A8CK.01	TCGA.YL.A8HL.01	TCGA.HC.7231.01	TCGA.EJ.A8FS.01	TCGA.YL.A9WL.01	TCGA.VP.A87K.01	TCGA.M7.A71Z.01	TCGA.CH.5737.01	TCGA.J4.A6M7.01	TCGA.V1.A9OT.01	TCGA.G9.6336.01	TCGA.TP.A8TT.01	TCGA.HC.A76X.01	TCGA.G9.6363.01	TCGA.EJ.7785.01	TCGA.KK.A8I6.01	TCGA.G9.7522.01	TCGA.VP.A876.01	TCGA.QU.A6IN.01	TCGA.EJ.8470.01	TCGA.VN.A88K.01	TCGA.EJ.7783.01	TCGA.HC.7821.01	TCGA.G9.6329.01	TCGA.WW.A8ZI.01	TCGA.EJ.5519.01	TCGA.ZG.A8QY.01	TCGA.HC.7749.01	TCGA.KK.A8IM.01	TCGA.KK.A8II.01	TCGA.H9.A6BY.01	TCGA.YL.A8HK.01	TCGA.HC.7232.01	TCGA.HC.7077.01	TCGA.HC.7819.01	TCGA.V1.A9O9.01	TCGA.VN.A88Q.01	TCGA.HC.8213.01	TCGA.G9.6362.01	TCGA.KK.A6E2.01	TCGA.HC.8262.01	TCGA.EJ.5496.01	TCGA.VP.A87C.01	TCGA.MG.AAMC.01	TCGA.EJ.5524.01	TCGA.KK.A6E7.01	TCGA.G9.6364.01	TCGA.HC.8259.01	TCGA.G9.6342.01	TCGA.HC.A8D1.01	TCGA.G9.7525.01	TCGA.CH.5790.01	TCGA.HC.A6HX.01	TCGA.J4.A67L.01	TCGA.KK.A8IH.01	TCGA.FC.A5OB.01	TCGA.QU.A6IP.01	TCGA.YL.A8SL.01	TCGA.CH.5741.01	TCGA.CH.5752.01	TCGA.YL.A8SJ.01	TCGA.EJ.5498.01	TCGA.KK.A6E4.01	TCGA.EJ.8472.01	TCGA.KK.A6E0.01	TCGA.HC.A9TH.01	TCGA.HC.7209.01	TCGA.ZG.A8QZ.01	TCGA.FC.A6HD.01	TCGA.YL.A8SP.01	TCGA.CH.5766.01	TCGA.G9.6354.01	TCGA.HC.A48F.01	TCGA.EJ.8468.01	TCGA.CH.5764.01	TCGA.J9.A8CP.01	TCGA.J4.A67T.01	TCGA.EJ.7325.01	TCGA.KK.A6E6.01	TCGA.2A.A8VL.01
Adipocytes	560.364523964232	559.044103870931	489.809217490265	664.464088845042	378.318316955491	271.651193100585	682.146529516326	1278.04660628472	211.650339402277	676.026641601671	406.125900229156	348.925843475953	239.176545224051	927.486139750147	162.596309861942	506.290048803003	207.538179929278	238.731308302955	349.941802382295	367.034145199318	254.727584306362	198.77517289343	203.739764266496	569.252238874874	390.292118522773	372.074619083898	552.457232240276	386.432602633983	403.446211116691	800.002673386772	286.921188445863	534.778923781876	390.970279713712	417.246719686234	429.438016669885	359.264945373387	445.354659264886	414.431149886052	725.692231716185	490.685019735543	340.328870722584	711.432615405942	127.668411747622	433.713766114607	115.41287754618	298.872392324339	506.716034428702	436.842547702289	237.251698713773	355.505561490649	237.253341565262	206.205887888751	580.250616641402	234.467202570864	245.916115052095	315.735369004879	444.039237759057	134.510212202885	396.155555668781	371.239808101783	249.954356455577	961.593935496804	602.478886423803	414.32272336695	402.165740877693	359.058218172967	278.759815900525	355.209708253932	650.789994579471	569.804974148713	246.568860169656	590.014462850969	307.511539719433	308.168999836652	316.256414569395	487.465185224527	696.256251392847	333.502690306411	414.14794122828	244.824366077971	174.560258714031	330.759469365506	391.276297943592	381.428572279154	225.626268207787	294.640441680513	398.879788398969	645.597456211139	442.894933586409	348.562375286552	329.244817994917	206.588105965342	289.67321132143	344.54119335499	335.756860751584
Astrocytes	684.789838654199	960.426739475995	1098.52531572047	842.216264420338	915.040145069342	710.140602349198	1178.07906370611	2001.29200775424	1205.62744144245	1233.3954533224	750.580324432016	518.394930080349	378.399502227974	1195.7277201499	292.96923185704	1778.41034796297	612.767586614484	865.102031383678	219.705395927923	609.864705215533	407.975226850078	389.898600571244	593.081494887712	996.553581127307	1238.04557865453	1226.22768298216	1276.03943856987	606.964982791707	1096.15662524509	1427.47866758867	820.927611423463	1317.33619448822	596.136938239162	634.097257308681	625.383216671416	953.614586174409	1223.84035275692	1385.94987316761	1343.99852950028	675.907173041301	882.55266945791	1303.75130272317	1046.01225912561	1277.19916957224	17.2001829909912	851.511149415594	1551.83493895296	1067.98834792818	367.976104097083	430.318634432748	1067.87873985441	467.399570970649	296.882056894362	749.195554074256	384.242050457831	825.106555527751	714.152497213643	1594.58393133082	547.181972644613	1405.51893181507	730.117135976496	1568.9103165818	764.531831853733	936.362832999786	1442.37155275424	1425.48089792981	668.014875450488	1469.62370635506	1224.35822772615	1062.91125402912	115.341087773597	1159.86547798934	558.306522724305	302.473859738588	852.308014031825	1672.12036135603	1530.10031485695	669.729236958514	1087.32507153941	542.868193046107	1477.40349193289	874.949638810427	1535.53075842254	177.942365453325	933.284113877857	659.384917722392	651.71560892156	946.860800673885	1359.22706447771	974.456840381099	1259.96983032857	1104.97783318787	861.803036010993	1394.63581807974	1054.03737147694
B-cells	630.867501586571	483.761483790209	810.556138133823	318.394646995764	589.177820191053	833.194805189021	483.507657276974	226.875356051791	402.337348856083	368.552252592416	319.861863957809	450.71429538693	233.691603975352	220.500165477868	405.301085434097	273.71398960672	320.326781339296	624.988619567578	521.598062986507	265.109391487378	445.157428384647	241.276157221886	450.874013777626	347.576991534744	511.875035824069	290.898555085617	665.146016703359	315.918852206486	575.755147730883	762.479747618087	473.191801148217	375.706708534815	379.079982382662	168.180958784185	1219.66020243938	320.430002980019	657.313417662816	965.607854741012	390.820082544706	618.558545344241	430.474482497313	259.877556760572	517.442274574763	486.848250865562	388.180793871077	149.542060355429	511.129837746932	404.676061489999	426.816131511634	424.766702216878	1571.80832166145	349.58429991138	371.606903857336	221.900911658308	791.102734994232	505.717651800955	510.073671750197	1959.83108688035	193.390030789317	695.9839126897	246.041581577819	258.098530356517	446.632781310611	306.927698400477	513.942972390926	222.531301193696	534.252630294903	242.543595200729	471.707837730997	799.91899108082	543.534047268487	277.059182429857	443.305195217877	373.904622850126	575.304619135087	370.280634885707	534.720430125126	423.477172180252	471.023323606164	411.533287241231	443.366307270487	418.695754409852	666.30347737279	558.862243801942	375.060436125257	770.458498984279	269.650458300732	322.817469421314	715.643941441034	511.031671289496	608.960761453408	410.539820216385	297.588517194028	373.808068221834	416.399088629715
Basophils	341.470869653838	312.718484509505	241.129052178261	460.922984921636	424.984823904446	347.086474387382	334.130356741675	440.355765100879	286.631782923808	323.563800551214	454.704819942978	468.09609557622	492.083814405444	428.757573760729	337.787075821996	262.378662102725	391.84853807785	317.288999219632	296.608952713952	393.596835443232	378.436825410453	372.614198338995	398.709594452934	455.635147696205	386.577347949937	295.636211027172	370.652073708867	386.156338074811	118.475628391788	329.481430330401	292.225557099591	264.589029662007	384.669735456341	645.982644793253	341.898849419615	580.670533042307	344.833432842277	363.752364562948	393.304566638953	388.938664962725	469.887918853994	447.784452967156	375.5729821646	275.907606389375	380.591819862954	436.395346997251	279.912408435408	341.593449274258	371.089159393044	377.537312653641	437.929512003766	427.702919884466	285.168706665496	502.160170372786	405.810954822809	303.236376224967	378.474367100101	335.533240975251	378.598031718852	255.082283344994	472.31377155527	352.340962865428	406.918214181729	296.51386345137	222.334125120987	344.803755068947	419.811096589467	545.665533854462	308.241107263805	431.201227589888	489.246909772179	384.665620186538	402.694305850833	414.60332063147	421.662064634068	243.825885123327	310.837328090885	565.071301272222	347.761409507926	372.421676757807	314.657567489265	207.00595013706	319.01310010398	483.747079787687	230.560167797728	425.090528606891	384.105701114805	500.106320913774	314.058209355304	353.985497519677	487.404321958044	393.916365528018	587.078217391179	336.447599117683	304.005085445168
CD4+ T-cells	350.867930323496	457.652585088427	518.836896877313	366.813497489713	381.882203968362	594.382311305127	421.499665505114	498.36075596679	311.39271875176	415.02440515922	383.16327484554	525.1076086845	237.944012147319	450.049565731689	434.151376018982	298.962289628075	438.058332630861	524.311296310093	601.774672891348	385.098271507037	566.990816457096	262.509203506977	439.365237630403	463.742946427593	440.131066644285	256.512882489016	640.058899339203	359.256531489026	289.87304832456	596.669731382813	368.05939945534	394.833675620035	499.416348197051	182.089082555445	913.985115196271	447.667857524921	549.732183661269	570.631434785707	406.625359230808	572.568101756446	487.079264068369	280.944073369718	398.312923208419	533.140256993041	446.28610163967	217.060180610125	477.974834965564	399.224853016564	397.452975023382	427.206718346618	872.554378602457	514.291619697416	409.985224158952	426.769165952375	579.18595299095	385.795571875599	426.818440045426	1156.42868238373	321.884426261664	570.314356498159	151.181141898985	301.049957711542	440.58412710989	369.178971207021	441.564326911214	172.611652926161	427.610658340313	243.507651139378	323.051931167617	457.98762462355	454.381042468792	347.756946427519	449.998596449044	349.837362666995	547.985343658731	397.328410242515	477.861715596102	242.957250764815	368.735672887004	306.858208165599	389.710428917053	353.558472590441	423.34690101258	365.300128622484	516.107437567976	560.801168017787	301.54944009743	324.033261579257	738.26615024284	475.333807426588	436.156581378017	447.946977070891	200.170637341443	366.511175373347	411.142627295175
CD4+ Tcm	397.053184026821	489.386102503046	291.660423567015	422.849571793874	630.564047818134	539.612791528377	296.518533243019	598.472020850539	323.839938411662	537.912757527461	608.928854458335	633.799560003107	836.812980905856	687.15369664373	760.883885951608	425.128057930606	584.380773304539	471.659841062891	614.881963459247	601.977719936672	664.044448749947	541.062320901951	362.202308335448	459.309787409296	769.455970805669	241.789225473635	576.173214878349	466.65207759533	102.423574098058	449.580441266359	516.106957167878	297.451693646681	540.353384626515	737.811314494574	619.556963062137	685.558150012813	519.365626033002	676.706449089508	276.79846890331	662.719889790488	538.356472311537	298.159442656146	478.509980585	552.42909610119	615.391827896589	513.694015625734	634.881998564109	247.171519550624	457.699284840711	485.50915956522	745.891952577649	570.777079517462	440.506837298592	349.695810901274	557.427686428263	445.053280513052	342.07616930318	883.001998047228	533.671394249941	353.391233346549	206.873926963893	215.683991132768	484.856269968475	398.181098495812	502.83167182839	210.864241142569	477.97670688546	685.252284514332	490.709993733248	751.405396123588	157.806734230707	590.210428742431	590.587739102217	391.391849622043	398.67192180053	515.154831672386	164.5617621961	555.732392720146	420.075965703836	259.385862201443	497.946983600673	394.206440782139	447.711090047499	542.424859661966	595.827734912782	637.790961656107	542.035959750068	483.085000985116	441.541855960531	416.950566814084	330.902492566983	486.657556473717	741.067851461305	254.169931069291	519.011333951023
CD4+ Tem	327.936585832312	340.343059853618	340.116500725353	442.749416398557	723.141643570845	542.1492544859	301.47924154051	364.467694322526	333.899914779541	442.140017794444	536.725059517523	539.115407967025	566.543460450797	537.637660512261	603.782840275253	399.358954046118	507.447721282306	553.976770502041	533.875067224765	511.990698531583	492.791803074335	403.457802245867	448.310991247673	377.75863284318	583.915039372424	357.690314202802	692.354812666448	436.957225445127	359.867114793216	315.875683532003	509.74765020798	395.972361443467	428.123257432069	622.391481616592	624.23901416362	474.520250140994	366.204720217248	512.169940078591	384.376790868457	548.257275914945	564.320030310348	374.896896637877	399.670469853536	438.128116267857	463.298145849452	519.54652805251	468.244126895086	388.606571526625	462.879471293889	408.874314366865	827.184629086708	317.840717458824	388.772194908224	238.419279102903	548.111157539805	398.278249396488	282.699195198042	948.204585785357	506.964764471281	477.354827446808	370.342751281141	300.416585894421	419.139145658539	350.82533495677	468.370195512681	332.089319602435	426.056825701905	512.185696054003	760.124433142997	736.34482667868	294.558894784815	527.527891784037	475.584922975449	383.909664895894	329.185191987587	317.222780241363	252.181264256034	571.79315712008	231.653516696389	471.323382343758	579.935627507655	405.256711126704	481.332804268774	550.454915234582	319.003507446664	492.213210163519	518.081380974164	356.57854833287	488.916882173108	331.557559358979	313.176993702197	390.374568890298	742.448792498098	417.926115748149	479.971438747512
CD4+ memory T-cells	559.609905238851	536.948878163852	709.097752522677	451.800832509655	591.206764678411	889.816906646705	566.26873873224	233.652748139135	448.00214668709	360.420670950675	396.701260028669	511.210745546696	329.826629228284	422.405184768883	426.878627550506	456.892827085968	432.391762561123	685.263576205286	642.362817049933	583.677334168165	584.735967572996	374.392662127978	412.62308830887	499.734797470904	398.374632801203	368.87094145136	737.030700811624	434.987348455074	867.941961801746	465.080662342157	455.327705637784	439.073862993936	689.331096941708	152.057132076747	1036.96505084532	660.196173204953	444.071838912288	663.229738816842	482.714368449541	617.854991791372	418.46476055194	428.269234667135	548.322460759353	637.101479755259	549.45484023064	351.949946963356	485.420013396895	522.201004468815	429.560402205325	561.20049089018	894.036110153976	378.813458429214	673.719883336344	608.186914047455	716.117720315261	619.030801740212	649.968461494256	1146.01866814941	534.407903972364	786.124602506161	332.476676644285	344.620064219655	462.746627598493	365.846963117044	589.417548125185	360.742172153567	583.239051530511	55.4827028222264	455.311135120566	597.888868183969	652.509202874606	374.092741751304	510.016170157468	575.019949348921	703.862367079814	536.843759050195	519.950542389903	454.022849945183	595.87349387939	439.28108933415	593.497364885564	425.695154687635	574.388475391171	637.417771892673	700.287542641973	697.352176695653	482.567369152074	432.974363262603	683.496123630356	721.886566130677	437.275588583225	358.492846208493	453.527671380911	533.45038944371	471.594287168744
CD4+ naive T-cells	496.152000746993	515.87855106768	653.936703958032	429.284222380577	531.76081123534	656.279416172173	437.909696921454	499.892215574138	514.926868175994	394.424836496428	413.117500099217	609.917773628961	314.146704527346	438.27322827825	493.561285870081	382.30061714528	446.033322868486	573.57229940994	493.472646970979	558.231557406051	596.52586449491	384.428388358375	487.88445527619	543.923129806973	693.634002955575	291.616438751844	734.181020919698	437.814991230877	299.59256878188	724.044282977997	458.726836844722	450.78557372366	543.467194299174	383.384757545646	1022.59210070413	470.606304735208	659.961248899796	785.469817457792	486.965467852077	670.798889911014	515.740527032751	381.803515076975	433.579310039545	561.959451523596	451.821836379194	328.341669640351	644.59484205988	492.135576770716	391.506262093691	399.297803858471	1035.77390996992	489.585577787692	364.017756384597	478.572113998507	693.958829844333	371.214428830427	460.995234455335	1354.39015243256	317.961223461772	696.389463936726	481.40650604606	423.501781019422	439.766380889005	411.640255812294	530.875114372955	327.925824098761	508.952495930188	499.220374435684	492.01442486854	523.288359883244	382.339290437334	419.196251741879	587.483885930651	480.703860559099	651.368667732393	523.009593029046	591.100692798743	383.604430460896	367.786184549497	392.178174658847	536.368094083547	442.793556282399	513.300280581732	480.392063132844	484.673455109177	562.852934386675	303.366018989401	457.10385777231	713.14720813849	545.743799765856	393.881808298188	441.968986878301	264.534423732703	492.116976034203	395.805278438968
CD8+ T-cells	326.93583630639	359.662187384407	428.993659182627	285.675448165194	500.742284709899	541.103131681433	300.258135237424	479.013407694179	307.331753257375	303.4355376195	350.692508488132	380.092308618311	381.143329839029	302.243025620484	422.145267786281	252.953200009756	457.592389396953	426.765145772395	375.240143597809	484.247931064879	566.123308328884	367.36303798363	123.751329668259	308.549148839065	703.534398917856	202.147222898254	623.182079259367	410.254600244296	285.60868213471	368.009220684324	347.600987160168	344.244637963042	526.4615359906	435.399802649294	680.912070952174	306.783340383266	381.126492895404	405.101515482508	243.841023456585	474.511550027756	300.111528579901	155.840380862323	311.768467658864	460.962889329273	463.379714892542	326.351480383454	460.375931352156	383.320034182362	385.299612997911	336.403863888466	746.874430524483	319.611740329297	399.471833046346	392.653698924237	535.583614784793	432.137603641381	413.045587439793	940.368437849549	504.500153522645	504.718206093126	254.098178363411	232.468699587912	386.956126915986	285.718095815002	364.09263536153	232.601378926568	380.752415224751	314.882370676381	438.547293660623	354.949034708104	304.47131970986	282.703464554223	414.144327570646	499.562248039409	473.239176665842	349.416275777711	312.437285969502	386.543482217091	395.87620040283	296.891279471975	362.339497766888	236.367965421883	317.381500410611	485.524552946082	516.133321414154	495.210775314754	400.668866329959	301.999087809479	426.393539810102	381.330308343479	289.142538343996	321.081305132415	229.380274145241	355.929183357386	356.436756713684
