Unnamed: 0	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	mean
Adipocytes	1.0	1.0	0.35158	1.0	1.0	0.0	0.945243333333333	0.0509366666666666	0.0	1.0	0.333043333333333	0.0	0.0793533333333334	0.32098	0.0	0.0026	0.669663333333333	1.0	1.0	1.0	0.0	0.61579	1.0	0.0	0.15307	0.41044	1.0	1.0	1.0	0.17	0.120646666666667	1.0	1.0	0.607743333333333	1.0	1.0	1.0	0.971616666666667	0.111956666666667	0.06877	1.0	1.0	0.0823133333333333	0.0091333333333333	1.0	1.0	1.0	0.0543766666666666	0.0	0.0002366666666666	0.387156666666667	1.0	0.0127933333333333	0.0	0.753143333333333	0.5505924848484848
Astrocytes	1.0	1.0	1.0	0.0093999999999999	1.0	1.0	1.0	0.318826666666667	1.0	1.0	1.0	0.0718966666666667	0.246896666666667	1.0	1.0	0.05735	1.0	0.0	0.295876666666667	0.397886666666667	0.0989666666666666	0.131996666666667	0.0275033333333333	1.0	1.0	1.0	1.0	1.0	1.0	0.23631	0.0706733333333334	1.0	1.0	1.0	0.2456	0.1141	1.0	1.0	0.263883333333333	1.0	1.0	1.0	0.0	0.321146666666667	0.29414	1.0	1.0	0.336663333333333	1.0	1.0	0.253143333333333	0.251903333333333	1.0	0.0258533333333333	1.0	0.6558184848484846
B-cells	0.0	1.0	0.241353333333333	0.0617133333333333	1.0	0.06946	0.0399833333333334	0.252636666666667	0.0	0.101373333333333	0.112666666666667	0.0831033333333333	0.24621	1.0	0.0	2.33333333333752e-05	0.02036	0.0	0.0209066666666666	0.0	0.0134633333333334	0.10292	0.0033633333333333	0.445143333333333	1.0	0.101373333333333	0.0	1.0	1.0	1.0	0.0078933333333333	0.18489	0.122196666666667	1.0	0.0	0.0024766666666666	0.0427066666666667	0.00758	0.0	0.15266	0.359233333333333	0.0325299999999999	0.0	0.576263333333333	0.576263333333333	1.0	0.02167	0.0	1.0	0.0	0.257686666666667	0.0	0.323703333333333	0.0197766666666667	0.0195533333333333	0.2658752121212121
Basophils	0.253863333333333	0.444833333333333	1.0	1.0	0.16227	0.415503333333333	1.0	1.0	0.229236666666667	1.0	0.409176666666667	0.206453333333333	0.7171	0.68521	0.43872	1.0	0.420813333333333	1.0	0.549873333333333	1.0	0.785086666666667	1.0	1.0	0.562233333333333	0.205056666666667	0.28686	0.312323333333333	0.24729	0.151996666666667	0.42602	1.0	0.195876666666667	0.263293333333333	0.223273333333333	1.0	1.0	0.29921	0.925306666666667	0.142876666666667	0.517003333333333	0.279286666666667	0.14928	1.0	0.36731	1.0	0.0938366666666667	0.247576666666667	1.0	1.0	0.268403333333333	1.0	0.400303333333333	1.0	1.0	0.184033333333333	0.5903052727272725
CD4+ T-cells	1.0	0.63627	0.456066666666667	0.409323333333333	0.55707	0.59279	0.48526	1.0	0.5729	0.45915	0.38937	0.446106666666667	0.0847733333333334	1.0	0.342706666666667	0.33053	0.177936666666667	0.0202133333333333	0.114943333333333	1.0	0.224566666666667	0.222653333333333	0.17428	1.0	0.641406666666667	0.251516666666667	0.156783333333333	1.0	0.324783333333333	0.661046666666667	0.30798	0.438933333333333	0.607483333333333	0.403556666666667	0.0808233333333334	0.44787	0.410676666666667	0.440846666666667	3.33333333335517e-06	0.525646666666667	0.445443333333333	0.162916666666667	0.23942	0.212176666666667	0.60436	0.553973333333333	0.127383333333333	0.0276933333333333	1.0	0.30474	0.571823333333333	0.118066666666667	0.63627	0.578293333333333	0.393246666666667	0.443128606060606
CD4+ Tcm	0.12696	1.0	0.339153333333333	1.0	0.0	0.197383333333333	1.0	0.232646666666667	0.0196466666666667	1.0	1.0	1.0	0.20117	0.188816666666667	0.0	1.0	1.0	0.0609366666666666	0.320706666666667	0.14299	1.0	0.02336	1.0	1.0	0.0022666666666666	1.0	1.0	1.0	0.00082	0.145526666666667	1.0	0.0	1.0	0.0866433333333333	0.0360633333333333	1.0	1.0	1.0	0.0299333333333334	0.109176666666667	0.0403133333333333	0.0	1.0	0.0	0.03383	0.0	1.0	0.07443	0.218376666666667	0.322646666666667	0.112083333333333	0.244553333333333	1.0	1.0	1.0	0.4965533333333333
CD4+ Tem	0.0025766666666666	1.0	0.57887	1.0	1.0	1.0	1.0	0.66821	1.0	1.0	1.0	1.0	1.0	0.49044	0.521833333333333	1.0	1.0	0.298186666666667	1.0	0.0477133333333334	1.0	1.0	1.0	0.45695	1.0	0.526896666666667	0.326806666666667	1.0	0.316693333333333	1.0	1.0	0.222053333333333	1.0	0.306483333333333	0.0470733333333333	1.0	0.477746666666667	1.0	0.684126666666667	0.646833333333333	1.0	0.585226666666667	0.477746666666667	1.0	0.749176666666667	0.181223333333333	1.0	0.315913333333333	1.0	1.0	0.673396666666667	0.808483333333333	1.0	1.0	1.0	0.7529210909090912
CD4+ memory T-cells	1.0	0.440106666666667	0.30918	0.79732	1.0	0.715926666666667	0.124746666666667	1.0	0.667603333333333	0.464053333333333	0.422946666666667	0.91476	0.22651	0.88042	0.63446	0.306636666666667	0.07625	0.187136666666667	0.472686666666667	1.0	0.59973	0.369786666666667	0.11184	1.0	0.876656666666667	0.208093333333333	0.376356666666667	0.860073333333333	0.836886666666667	0.440106666666667	0.158976666666667	0.701696666666667	0.464653333333333	0.60031	0.532313333333333	0.757373333333333	0.26733	0.242843333333333	0.0880533333333333	0.91476	0.242843333333333	0.811063333333333	0.262633333333333	0.789056666666667	0.316433333333333	1.0	0.528726666666667	0.0705033333333334	1.0	0.264023333333333	0.766623333333333	0.2253	0.56129	0.986813333333333	0.110216666666667	0.5451656363636366
CD4+ naive T-cells	0.11042	1.0	1.0	1.0	0.224516666666667	1.0	1.0	1.0	1.0	1.0	1.0	0.0365	0.269203333333333	1.0	1.0	0.215	1.0	0.0	0.0458733333333333	0.573323333333333	0.135226666666667	0.60692	0.07929	1.0	1.0	0.44422	0.04718	1.0	1.0	0.501273333333333	0.478446666666667	0.918646666666667	0.559436666666667	1.0	0.0032433333333333	0.373166666666667	1.0	1.0	0.0071566666666667	0.346033333333333	1.0	0.772463333333333	0.0	0.44821	0.793336666666667	0.172336666666667	0.387706666666667	0.711946666666667	1.0	1.0	1.0	0.0096899999999999	1.0	0.16761	1.0	0.6261523030303031
CD8+ T-cells	0.416846666666667	0.63875	1.0	1.0	0.3952	0.284713333333333	1.0	1.0	0.266213333333333	1.0	1.0	0.0153033333333333	0.854913333333333	0.321683333333333	0.0507033333333333	0.87528	1.0	0.120536666666667	0.513076666666667	1.0	0.277213333333333	0.32533	1.0	1.0	0.1649	0.682786666666667	0.43159	1.0	0.533703333333333	1.0	1.0	1.0	1.0	0.886266666666667	0.135133333333333	1.0	0.503933333333333	0.940516666666667	0.0376266666666667	0.63875	1.0	0.57377	0.248033333333333	0.298093333333333	0.212983333333333	0.126916666666667	1.0	0.459763333333333	1.0	0.17408	1.0	0.0365	1.0	1.0	1.0	0.644383818181818
