	TCGA.KK.A7B0.01	TCGA.EJ.7314.01	TCGA.G9.6377.01	TCGA.EJ.7330.01	TCGA.HC.7752.01	TCGA.KK.A8IG.01	TCGA.HC.A631.01	TCGA.V1.A8WW.01	TCGA.ZG.A8QX.01	TCGA.KK.A6E1.01	TCGA.G9.6371.01	TCGA.EJ.AB20.01	TCGA.J4.8198.01	TCGA.KK.A7AY.01	TCGA.EJ.A8FN.01	TCGA.YL.A8SB.01	TCGA.CH.5788.01	TCGA.ZG.A9MC.01	TCGA.EJ.7782.01	TCGA.VP.A872.01	TCGA.G9.7523.01	TCGA.HC.8260.01	TCGA.EJ.5495.01	TCGA.HC.A6AP.01	TCGA.YL.A8SH.01	TCGA.EJ.5494.01	TCGA.G9.6498.01	TCGA.G9.6496.01	TCGA.TP.A8TV.01	TCGA.HC.A76W.01	TCGA.EJ.5542.01	TCGA.VP.A87B.01	TCGA.CH.5791.01	TCGA.XK.AAJ3.01	TCGA.HC.A9TE.01	TCGA.EJ.5509.01	TCGA.EJ.A65M.01	TCGA.CH.5768.01	TCGA.ZG.A9M4.01	TCGA.V1.A9OX.01	TCGA.J9.A8CN.01	TCGA.XK.AAJA.01	TCGA.4L.AA1F.01	TCGA.EJ.A7NH.01	TCGA.YL.A8SF.01	TCGA.QU.A6IM.01	TCGA.HC.8261.01	TCGA.V1.A8WL.01	TCGA.G9.6338.01	TCGA.VN.A88P.01	TCGA.M7.A721.01	TCGA.EJ.A7NM.01	TCGA.H9.7775.01	TCGA.CH.5771.01	TCGA.CH.5772.01
CD8+ Tcm	647.179499924115	404.553364035921	605.666916643273	512.123414993477	518.788322693402	404.349636200591	749.622801832041	355.331695809827	434.811153975534	523.694957020018	593.719140116764	568.975656313162	477.109325525713	422.352858638297	574.997966978591	515.177582256331	559.305744047816	1043.53693493375	522.255496369603	482.618902427792	552.42363168752	429.918263044556	629.007274885226	315.043490065362	345.241127734285	517.706467503302	1046.07878154625	423.816985026903	418.492487789551	281.538778746396	613.387185304997	495.923861449357	498.438172862205	576.713780352279	721.274855116276	603.946180781238	601.610433592911	561.984311390979	1070.92616498079	528.402610975406	594.567563500589	455.657738662642	694.838766448152	423.262203666968	308.1141808156	798.881010236371	536.244635217425	835.68377791669	280.146749101811	601.928023839808	426.488689360604	905.111587931786	448.062111408311	481.575246180361	666.150922360899
CD8+ Tem	667.048108206393	156.040005811861	284.75832745162	149.433072516041	502.239607500562	294.470948675579	284.240095334676	300.931341426663	276.278177531405	257.084047797252	256.436285460871	700.9080808213	205.641555325727	315.681294598722	436.262212006435	266.703720241751	120.287971409591	690.929452596618	234.557907857647	373.04202486778	399.853095928008	269.582944223511	266.04764096795	310.186154664347	313.69794243333	247.620744244602	546.60823819859	257.631422567417	253.920157810552	188.55673649124	54.5026628244148	291.208189506809	119.295396548961	268.378106134066	564.513426473486	175.98257185744	325.353856152732	144.382459949984	791.830483280549	407.091494270122	335.301278669629	290.829387786512	533.818067293948	377.429022048635	215.075576593834	933.829375578899	331.542559440693	484.672829605645	364.535350736485	368.517291090807	199.101579103058	550.386714087074	111.796975275273	303.319269242017	253.496723448265
CD8+ naive T-cells	321.421885490435	236.637939166281	236.957670525286	29.9153190443382	298.434371271469	550.602888903142	386.362809782797	191.275812350294	533.689792815422	192.187563733054	257.346571351588	515.440257772571	268.806670504403	365.949687382809	466.248692958993	194.374321571723	237.953076279893	328.249384323956	43.1845374630884	227.768083741788	535.233084090879	302.110689541145	94.9349814895653	281.205986921545	466.232871442377	175.204106307487	528.603908658858	215.06234127655	288.344571328159	329.129409433427	88.9002263497532	282.461186913301	91.4163395292853	319.078507126783	278.893426626879	70.1416957973531	390.104717428684	179.236233319747	452.482656123245	340.746029336534	354.788233749099	297.592178849741	124.797539808873	387.359061167856	146.290773946752	365.652851123742	254.342160283724	297.681669658222	513.701162652993	535.360156215648	143.98395271515	368.212331647928	189.871422600959	139.555499790629	217.354659845758
CLP	770.890760791909	363.031684775163	592.055427324824	204.189716462703	430.003766182851	418.073685543535	544.11615284886	297.508137048332	380.026879423128	505.935862770223	485.10564160755	691.604278535377	230.208715740934	764.121868803342	361.158406328831	403.461909976154	386.431080092034	344.723959127877	16.6641764170611	255.883368751689	373.02948048723	554.054641259182	281.027828375711	760.006773335177	201.873372662463	193.98737284223	548.048007679918	486.982191128991	366.524778846467	362.776453778574	425.945123135064	319.168183501655	344.5197520503	492.696099806516	513.62568021295	283.642064175993	718.701783908815	418.977876481499	326.835221723061	455.471763055036	403.024457124712	207.17026269449	429.966075064746	77.6934298605799	396.963395867996	546.091723442645	387.334156920306	375.73494836379	575.581521149132	453.068114960255	284.595500454013	388.889455082116	283.233715073479	284.802448979939	432.976132331816
CMP	623.326787806522	338.896056179932	309.971362693584	416.252429977896	694.448312015435	539.672592409175	356.893606891986	279.920192986927	258.673825681648	273.026014564058	469.955758342033	677.18970999916	552.089888410586	266.914799306581	540.498569378768	564.340470345843	467.588427876263	237.21212968194	609.338642479966	284.192194439889	625.941242695142	372.229159874668	459.037674774655	507.486225012769	405.92520583859	693.263864315508	383.44861137596	353.189810494392	561.705435295462	396.176989022953	401.973770169936	545.967083155811	608.718595986441	419.371835338474	495.475624504909	480.548196977867	450.651713470074	444.649473745803	386.05185842928	411.119136678693	581.696347232643	753.471488714217	239.229918540212	578.64007205875	397.603895839595	308.647135639323	434.988419057978	485.090425173774	246.766280712867	495.367907625662	348.625281321491	459.799300853356	424.254996137622	404.778903490553	617.277499269644
Chondrocytes	753.160170996833	232.342538674527	757.304290061137	694.596225838256	664.843737848063	1139.33954045465	575.222528825151	976.626660601259	485.011129564368	525.746176346252	226.791134466138	1338.17463802814	920.658475373211	658.982590404255	687.019063916048	917.141284617583	224.510788035868	1108.62782345352	786.420179625276	1279.70664189965	1683.75161981525	701.158250865338	1080.92233192778	817.915824003539	468.114320315536	464.563084390759	913.538906633686	725.075535190988	219.399837255071	962.762937514437	910.677597986012	422.008607127414	580.31938168385	732.165531718288	1102.64091533783	641.06280776549	332.646216462029	334.729391101904	214.584385264464	342.746618557676	213.344201111038	45.811468745773	1726.83222113695	493.467187381593	1458.59170018094	342.358385688666	356.028714802345	587.528566520968	1015.7391392217	843.616171905776	462.334770714293	568.615068642553	623.407341746037	1132.92408467778	589.564164304771
Class-switched memory B-cells	854.883677364332	656.672896198223	489.890604173995	422.540093865155	761.824278861552	343.652553153858	749.947697302858	594.71741530791	852.449914879439	203.704207462557	530.50689403188	235.630799336237	721.633310950248	538.680481377512	632.59849960168	582.992924396876	473.081914124392	1426.42670660972	590.101424905424	869.643570218406	221.500558299359	594.33783901976	570.519020362829	268.527173672285	468.750949653243	766.108598356934	973.686452032186	295.875747423597	598.43331664071	421.393675602022	629.791831616005	852.375715401586	711.559413956445	613.831425347565	971.460877628747	564.346412376806	338.076728407889	605.363399454429	768.868574776346	458.08565528342	568.765227643482	988.026562013499	777.188494892879	644.24895202781	830.871802946283	436.686752053865	741.833011121367	795.840272335875	100.958016676647	822.289663344027	582.947457433444	1232.60651052311	667.463622597842	441.204788847708	262.491853311982
DC	1342.28967341384	350.989871960909	827.99178374201	536.015876652028	610.169676970313	544.904163780677	273.302551727568	643.512092791181	464.459464557408	621.546130618477	477.910403343848	539.935140619863	525.416826799229	621.912507558263	778.750332536064	558.539240049004	565.128141327395	1498.45168856024	611.351588557227	861.818371034836	1453.74455618658	622.632422126372	1011.86275883583	826.898505571862	471.554957620018	594.759350399676	927.052073839067	323.777101580118	167.319796606447	555.959632385568	875.110015590159	333.152512110933	811.033518315935	507.356847080885	1161.66247129905	997.30560781702	828.095294557108	673.543203023116	1006.4811320619	740.03664200662	68.7465521166373	359.935465933429	1478.13523777974	311.226585147214	1023.5323356129	805.514771500402	718.796693542821	681.252384330259	512.586181023089	567.56814092093	546.074137209623	1013.64480485266	771.757658168725	1274.37036119758	495.229637304429
Endothelial cells	1250.27329369713	522.681698796699	511.797124500621	1139.89612713291	995.915557907344	1602.15539037193	275.994589409342	630.974840907277	99.6730077635556	539.830194880799	859.338941358947	1742.03574178608	837.378030901889	171.798108033731	938.010738935419	1246.78939041825	209.75717925064	1091.57713344236	1110.90735606876	754.310941405208	2193.42247202573	787.866812138598	1743.85422645235	1461.91281096698	1192.17234440084	1091.06930787386	1617.59877872591	1710.37367172806	658.373344895772	1219.90536290807	583.25079752735	716.25908757715	461.308699492548	369.707845727662	1420.08157087499	916.661220121221	553.590684236975	150.75802059566	639.408291852813	858.81021099946	1280.45676376074	942.884705692027	2418.44761228382	1216.5781478163	514.328816203305	773.947835805607	396.308925533735	707.873820682239	1560.84675376182	1258.59366188673	1106.51333539147	656.252195010176	989.326754776069	1160.99449617004	1563.91839542157
Eosinophils	702.829057740273	451.623658553625	792.68812809673	614.234375211441	691.359090771186	485.80042231126	360.37513305716	648.168729252641	363.663254856088	577.552110881745	393.346816732456	497.680554747645	674.072041262209	633.310237051249	358.112356788391	400.524666990826	383.549487863428	812.091757753818	598.315175356751	777.645765223743	456.989270455608	538.50209452784	569.086379866622	455.087620368305	626.780362201622	485.751943318482	648.474904111953	474.551985400454	502.927857125018	698.872817870784	533.982978048201	653.829935476781	528.55771130819	503.109545413691	502.697671981602	570.427678619878	385.016091811501	476.082929359955	497.876008266566	592.067335302975	545.342554091922	647.844993352341	559.424106302265	590.828262526221	834.585634943518	631.173069862725	519.723124047525	452.781047534182	513.35765345329	326.057211231166	524.928334085877	676.812078497973	650.785303733066	759.274704284441	238.232915987814
Epithelial cells	2009.363267784	1639.13312746244	1698.63638931399	1342.94420243958	1255.56341467314	797.802411924332	1106.6453426476	1521.57788914106	846.492192943982	1474.38981071893	947.654187247554	705.332682255364	967.336648518288	1583.10779243709	647.797967374295	863.590337989583	642.856784946996	1784.41451065531	857.750290360987	1905.28364588387	21.3214874961008	1472.9913138275	1000.89809371293	1772.71769380497	1120.6509777592	776.712638311472	1371.43809902902	1308.92749055818	1017.76830156956	1345.65670626588	938.266229675521	1057.78460932121	1463.08334884697	1064.79587060976	1485.95419414021	1188.71330732089	1267.76359392527	1076.07623684433	973.672102253285	1721.63691988673	1233.42605867036	1332.17790201125	671.730903808941	1270.17882989329	1142.06805669522	1928.71735806896	926.44095781765	1012.14477351975	831.977940994648	751.968981540407	1433.61394023241	927.480888479069	1041.59213464748	1454.70457668841	271.55368114354
Erythrocytes	580.654727301051	348.84521959321	255.561440247376	212.990250582537	415.434820955126	369.769072226882	705.009648963802	447.625452026933	456.683533144342	594.579973696247	510.486480056229	413.694073173706	271.466259055836	474.591924404786	515.806086746723	349.615063171842	650.942744393539	26.620102242413	707.788117621564	418.989426556191	350.239094281999	402.81695821572	221.844508813595	738.35158113512	347.420511278217	348.5017900184	370.843552736733	766.544347269244	687.470120536249	300.577502245746	319.340178867921	485.366799946677	289.373126235991	444.58826668355	168.196196576288	438.427117985953	729.704438818162	448.469960065819	526.838416144499	474.081075918904	452.416963675489	544.354921523127	523.375039383369	276.162903401583	474.003383682869	822.664736580262	533.731978105311	286.796093930844	590.591141570069	370.749850623898	324.302081654519	456.346376661894	271.127036391692	179.839476073087	449.212767175219
Fibroblasts	633.834197712541	260.908345477898	516.621526970991	555.559013569583	600.426380067464	818.01811371989	456.386615275058	424.054631815275	602.458471217707	296.692047010699	498.100937385938	1219.88276628928	624.47674510126	507.810890354482	727.466113370011	897.316398091997	265.297172625982	536.568752187231	394.956241996317	651.679880911475	1174.32674743422	432.20373679357	591.068954230517	661.923902189295	482.140139181204	579.35440464386	987.629838096126	619.636093783998	316.930871055768	765.976606533543	564.711897148856	439.249315312725	476.229546897343	614.310296350087	678.83655927313	633.987684238926	522.186583191725	345.498741227868	267.906509768406	558.844991382683	445.560346075495	294.965504734295	919.81093956211	589.977294971925	867.688774737986	524.231842084074	340.923579218782	771.494825381471	712.661826622627	716.27491142591	503.560699325871	512.274152658414	742.054834431553	769.561880357702	642.592211121274
GMP	507.82329273629	280.772185472626	365.475277267656	351.281598615872	235.458328731221	491.065442444248	391.887646819973	235.691302146238	342.777959393713	345.223451379869	399.145854207977	597.012407762969	462.054187417678	225.299326358816	565.836953582776	527.138881007343	522.269552037228	405.14297112243	348.915186535478	252.9547825493	767.975825909657	456.217170087449	579.415304870509	506.510815038855	364.000145848607	590.315180388454	430.246799501919	269.437411337487	297.543600106431	321.496277965698	523.598697653662	322.169050973706	489.15206137003	266.655893112342	455.356068823566	378.366692559636	548.914773896875	461.907413493728	347.784280916889	335.530841460159	512.464483067796	487.459243491963	488.409229382235	402.750429001153	428.04245308455	132.253626332823	424.184200477906	539.809727561813	324.605348876775	605.91747818662	276.060356787953	506.301081828997	372.054118788053	403.228039029217	669.054057190605
HSC	1022.59252715999	516.126926725898	811.766531057809	1010.37063364696	614.575598898583	1434.83587943439	515.836660264165	787.029382996166	594.982732058603	502.240522940379	418.647708617193	1856.44329220223	1232.11671875625	598.074723244068	776.587230966451	1353.86873185564	355.79080616691	1115.61784666071	753.523676836307	1131.2376575089	2083.35727038288	1138.43883277693	1625.36015614909	1095.79270802646	638.993923607554	873.564634133568	1504.92036980356	991.310841104899	302.567302716416	1254.7903482045	1155.88732448474	623.832993049269	764.304389081455	770.702120761715	1354.65642104091	605.597101272827	576.940149264122	382.657039759293	578.957361030064	721.285418659682	662.273270093353	518.246726967438	1572.19894346681	680.013635025107	1201.16336811583	254.210392841616	576.684938522965	944.373283268505	1251.88204371092	920.494144705869	652.610390747496	576.193218388732	866.89136605691	1048.16662908431	1141.71569834319
Hepatocytes	803.535011141551	623.20366072026	514.742975127666	610.672195132113	571.716105558418	535.989756385684	228.043640685045	511.063581307337	702.529060762674	304.620754832814	470.077988740097	658.001772548809	718.718830634445	399.457361822615	613.838252774321	565.583896418823	472.744326778542	193.614113833602	493.615330023155	680.067901107653	657.594459228987	525.400740549242	663.520357022155	999.96108366876	677.20133614973	691.835393002148	877.334135697913	450.358706074	432.325493371685	784.5564828591	456.891629519724	572.556110098816	231.708331742914	746.192018790205	305.091725153341	565.557690161625	928.335899492829	491.390452664268	0	713.305225389596	541.06326156583	445.500330476324	481.378462847113	540.241872964227	324.522884557271	902.033840340652	1062.31196738722	686.744201536643	632.516180617639	570.522627211104	612.449297380949	558.52236069586	649.185917567321	465.397876424172	816.898153848487
Keratinocytes	2163.74513029672	1735.14300976043	1552.22274243199	1659.69657125574	883.641864620785	772.294468183011	1116.62244291068	1156.19747033068	470.493932000452	1316.81726497189	1029.72631622255	1535.17246204895	879.938384009493	1556.86937364058	638.963006978444	1220.27857026511	541.585862448624	1782.67678642234	799.551499820282	1330.28839043122	24.4869581911576	1874.53826974699	834.745240153365	1636.73297083922	1085.79374245437	1427.60038559168	1370.85428278375	1174.21191781594	735.851778275386	1153.073272795	988.596018466582	866.644294300007	1323.60155241547	806.695581502118	1314.44080565834	1240.00004273785	1377.17453871836	1134.45033662971	1011.48067680951	1795.76351778423	867.834435845908	1323.46172602326	489.108733467335	1529.70735847179	732.229109692208	1960.86944635959	1170.20853232275	1317.35892702671	702.782884235761	357.790658405233	1228.39500580283	772.996806715586	810.454902434231	1556.06938317479	229.538847336309
MEP	1308.10014542933	702.640643365448	786.655079127457	341.332867560321	931.654705953073	638.402304649632	651.253841117035	624.422850553394	671.241358995904	957.175615313999	823.813659386446	1103.7909791814	520.317985319112	1198.21503588292	623.275433162508	513.585824779517	739.653971908263	380.309652510761	553.059912842733	848.319313436744	694.351322285366	606.461758241089	401.841516166914	1293.59227248077	586.536487215914	639.690402228354	829.338606924201	825.743613943016	907.371477855199	539.704557946899	454.393739734984	777.373844070271	668.550358927827	702.600480168181	569.755957977213	602.22624347228	1030.44199501432	727.080425605835	476.007542062692	703.890497493629	791.801113041751	584.677288727859	299.517578797103	548.338778627894	840.108915027608	1160.27982804315	721.536558452512	589.511220604322	778.035487453959	766.455999469954	591.357317596485	756.916840449934	515.819156926115	349.710210013283	578.107889291324
MPP	844.216267613295	230.619306739765	403.037366341747	278.287068549176	442.824481158861	345.26508708471	235.63744296066	253.502208183458	360.900718575323	206.16043945439	359.427713664343	641.54280355781	352.376683740407	287.538794741775	477.281154194302	396.654965770255	321.079970701712	939.333304419507	383.224471768181	537.722905781814	597.352089961846	307.391610254402	464.841057739349	500.414916481501	262.047440863565	386.96000744134	778.430534242979	272.405163312598	230.773526925682	215.815887586813	377.392193723566	268.918656051075	367.369630540444	233.703805303846	780.125254971654	491.592691447569	456.016169651495	318.465316791958	573.644208975418	389.764648103045	277.035176508354	311.09000833142	709.476337394114	276.432542357907	323.849450242386	541.735450763334	384.659617313456	510.933081082476	216.362561462976	396.820315885314	259.513810417866	701.226342865795	210.048667884173	574.78572963593	446.10903228842
MSC	1075.90016635929	460.502000879065	445.359378657453	267.629597903167	985.45105934119	452.117949178113	589.096973825358	596.547760436258	563.706453292895	660.542037097636	637.319578564175	790.470244525568	394.849300719177	921.635556909821	506.078538044151	389.667542912945	434.028690201858	306.851403010179	466.506213390803	867.343172031265	650.84889238564	461.216593228591	106.585887844361	994.677244987588	603.049657371656	438.023336662616	687.221233572973	769.178117442143	736.208735366008	461.970490096629	191.513242010958	667.286618946726	398.984559958103	829.775030060411	473.229791607177	524.210920889889	717.031388680048	344.75934447822	346.080664616483	699.352068153774	598.685250361702	589.603726010598	770.254683456486	587.812706195495	646.507738149297	1051.26479947156	606.358606653359	530.614857593133	638.649934639107	547.168882614483	540.851162421482	608.578550923168	480.878898408838	466.472240860223	416.183491556338
Macrophages	791.564599351925	140.800382273438	438.246124073575	77.5022813757696	314.604554892586	392.619676663591	376.815071556713	463.137758599181	448.417828285957	434.292171534992	396.452400239061	182.121108897164	178.1951506634	582.623681162928	592.208061571291	295.095170983868	373.395136913248	596.276742615653	268.176769228604	431.156609378266	642.357901097992	202.630257823676	363.579993476784	788.256445020059	269.047867519243	244.066814766151	403.923625281983	473.466530059134	300.935536254554	410.099053433532	279.733123091997	347.810080958384	290.58732257107	478.156255179671	429.670710941131	618.589989023857	673.687705001636	378.975849875488	297.051738558626	448.063568641203	434.754460494672	254.392203586363	1006.33719074549	188.120767927883	238.320309189455	402.870587997372	596.950959736322	355.343250777099	517.750991079994	471.469082344473	396.767602967701	275.68562446453	410.28076946141	441.299704846662	349.16711394179
