	TCGA.KK.A7B0.01	TCGA.EJ.7314.01	TCGA.G9.6377.01	TCGA.EJ.7330.01	TCGA.HC.7752.01	TCGA.KK.A8IG.01	TCGA.HC.A631.01	TCGA.V1.A8WW.01	TCGA.ZG.A8QX.01	TCGA.KK.A6E1.01	TCGA.G9.6371.01	TCGA.EJ.AB20.01	TCGA.J4.8198.01	TCGA.KK.A7AY.01	TCGA.EJ.A8FN.01	TCGA.YL.A8SB.01	TCGA.CH.5788.01	TCGA.ZG.A9MC.01	TCGA.EJ.7782.01	TCGA.VP.A872.01	TCGA.G9.7523.01	TCGA.HC.8260.01	TCGA.EJ.5495.01	TCGA.HC.A6AP.01	TCGA.YL.A8SH.01	TCGA.EJ.5494.01	TCGA.G9.6498.01	TCGA.G9.6496.01	TCGA.TP.A8TV.01	TCGA.HC.A76W.01	TCGA.EJ.5542.01	TCGA.VP.A87B.01	TCGA.CH.5791.01	TCGA.XK.AAJ3.01	TCGA.HC.A9TE.01	TCGA.EJ.5509.01	TCGA.EJ.A65M.01	TCGA.CH.5768.01	TCGA.ZG.A9M4.01	TCGA.V1.A9OX.01	TCGA.J9.A8CN.01	TCGA.XK.AAJA.01	TCGA.4L.AA1F.01	TCGA.EJ.A7NH.01	TCGA.YL.A8SF.01	TCGA.QU.A6IM.01	TCGA.HC.8261.01	TCGA.V1.A8WL.01	TCGA.G9.6338.01	TCGA.VN.A88P.01	TCGA.M7.A721.01	TCGA.EJ.A7NM.01	TCGA.H9.7775.01	TCGA.CH.5771.01	TCGA.CH.5772.01
Adipocytes	432.954370959732	168.970150682187	502.744276291512	367.029927525768	419.384951124555	829.872750270224	287.174774217356	657.426708955968	1027.19592314647	364.073242669048	501.626901468037	1132.21382200826	585.724392150817	534.091953649036	1191.26637527656	641.074511137626	462.119352778555	260.00805778632	163.505124648131	281.023355550813	1386.27679679874	401.313150717502	472.528595028586	1058.47460456296	625.927694507146	462.504370419635	437.895278311848	393.742046090017	329.529876282096	582.120059645134	534.568410537923	486.36316639734	258.371259354566	474.251513198587	326.720288254027	364.669103147989	435.916250311101	355.106962191806	567.891957249472	610.678227562159	498.384604732976	543.95496579723	746.201522952109	584.241258725302	312.547440301823	538.472537479563	348.958323382383	546.961014056287	1627.05842952212	824.635441462158	426.77994470603	297.405472779265	616.335245019086	921.164120432769	499.807660335156
Astrocytes	930.288681549281	295.780581916802	593.593076461983	927.091176311485	600.000811905949	1138.09078250418	531.196786938464	859.551196500329	817.061802784488	99.4578821901126	496.000354721525	1886.73815029189	880.160572221734	409.758254515191	853.853172918803	1238.0905673745	268.72575129653	1252.31938360246	727.538260309923	1217.23084345191	1879.56544693291	778.176773725257	1152.91704278421	912.574139127272	693.986711365304	562.982461593507	994.675404945291	848.3685356461	46.5501659069682	1098.00974307082	878.651518900059	403.08835700992	575.108477180959	877.585197684789	1018.1229979543	988.997455216119	530.958851160373	303.204937371392	426.047371051242	844.391235744455	375.217677594654	197.29368309338	2172.69932104017	898.13836761497	1279.98584863575	653.860382138644	413.800276541439	881.398792594204	1221.59658690603	756.191541531229	797.613079125254	808.498669898283	829.144279141726	1355.25545564523	387.569727849687
B-cells	1060.58000458936	265.961831091695	498.579966348125	552.899588081855	316.766311584236	523.157788664463	411.464625919607	475.294101928292	854.994044075459	488.246867619036	401.625457283078	500.52450674329	487.155650138728	251.443526978682	757.09383840608	655.479631009212	531.857693986432	1817.8617445691	591.624232734865	873.267278227792	532.827237866389	496.289192694479	696.104176392557	341.878754238874	329.405007428176	475.659060289565	1030.35030569327	164.594004747188	348.362920901219	422.677819921849	652.91625613765	554.11774681108	508.807612931949	367.046145333773	1013.80684488299	680.319208785688	473.541624625232	590.120287635789	959.81331726139	471.012730846834	453.571465269887	726.996636094039	1262.51584053941	398.227517297498	448.61857739172	292.082330088206	640.194514176096	985.563874335069	151.886628674869	778.292911920583	380.113569298212	1077.21961510586	457.906116037163	631.772497109144	602.653286973496
Basophils	431.760445852546	291.525298996095	183.174888706515	251.784913843648	502.657364738931	338.489759726637	116.401925336725	211.106239391293	376.04799002319	218.989512331269	282.115404131763	429.691326611313	287.717925485902	320.991378031376	312.030869028338	209.470176000422	294.851864308236	300.938867129035	319.452791721473	166.979336918864	305.317045918155	140.973401904733	213.504889689929	298.472543098223	428.079179603688	344.882977975734	436.828568213009	371.731368059312	448.106033227327	350.649556328042	153.162532944149	431.190109891642	360.509508618784	362.386671469222	285.686594590795	264.18572366034	305.443496234719	244.422436586353	447.837480301103	318.81739314442	374.892815498509	443.598681439721	153.998137871316	327.116912413296	180.221451440651	561.177947076185	353.169661701708	246.828404790033	354.281029060954	358.458702727896	196.955124083402	389.188426723148	255.175846200952	316.06208991863	381.662751242888
CD4+ T-cells	353.985526408531	275.068769749938	437.95974624403	377.173509257812	386.354210805481	444.756335590772	357.553165899274	181.287181088759	454.101004826823	377.743984203927	374.159566640306	506.920547800526	499.716551904225	190.285928087541	541.598235914547	390.274399795575	533.989792637728	894.062333860674	520.773084326013	343.425339917555	661.016956322153	444.432106114911	508.594097959699	141.516233810607	361.693158206397	438.600407992742	697.145013272599	227.285245659449	439.385916992852	328.253737855204	390.426503718121	418.715830443546	311.402944321947	364.129604412718	642.626288977146	429.687971589341	345.123138052548	380.161387059391	819.817017903162	387.678930958599	342.48594867892	486.868635441774	466.025160194741	445.521544845278	284.985480923171	392.493799459509	505.621971143095	660.131024809524	277.043770265836	528.58300224294	342.086892304971	651.354648179121	247.754690169157	421.701864713936	391.849748012555
CD4+ Tcm	491.476681571285	173.121897160238	321.220812769274	196.087970867902	628.418025611044	351.433545110475	149.391838714712	300.106337252667	459.11584155149	309.86790743367	143.493221834285	296.524765706639	334.497223480097	317.116622983045	567.55732980597	249.645424477389	268.568485077487	615.478571605565	361.442356515536	414.220316943105	285.200740075774	370.320633800129	119.295103241585	195.667072651735	467.120693662057	240.850354968399	410.75899514714	238.984436365157	494.516660272416	327.369523630509	69.9596774828057	536.466335397896	210.493342007359	382.555511443353	545.356565609925	183.308653564662	182.524633927882	266.165323219945	531.690652358314	352.293322126308	390.308178014241	613.567705025498	198.795230620392	528.983619075971	367.473667393607	707.626685950953	280.49895056649	424.56874976113	407.504065954132	373.286713086906	315.171201559895	473.585421607747	196.815553846478	298.546363402491	99.9669175714017
CD4+ Tem	787.135295401594	260.997479439985	441.463593204052	186.389596347266	470.190508131298	364.340523669092	301.362394063968	398.119344585798	375.535985996529	405.3009219859	298.971066079903	457.504261678085	315.606124478391	445.290370648033	521.158479937288	265.088217344377	381.716182481255	733.204968437621	409.85408964562	665.240839418767	382.498644540493	308.227710227231	183.39270248397	496.26273986254	412.451452543318	418.559523304917	619.099372030014	181.841275359904	526.974249685437	291.414355020136	235.666616994492	577.256543821896	302.949989111676	503.868030253175	724.597180206663	382.620718233198	435.925251890469	277.982091858042	530.797174691618	428.694706492066	383.630466766785	474.946485168411	545.305828437287	366.526541543709	404.489627648932	705.872665245841	373.265231560022	531.714989781253	249.515529945391	331.42091694881	379.224283184929	540.026397191581	295.166179744346	352.005813733103	203.090014858599
CD4+ memory T-cells	239.573379816571	381.338029902372	496.424502850559	247.681859738067	127.212400666526	360.524861714513	569.026902093529	174.908918338492	368.14264229118	393.554683532306	388.356027636646	320.710207691305	449.639493731199	249.800318802964	402.905439974359	438.741939258242	643.878833715818	719.67242023026	377.393945975247	196.224292349283	445.236316307988	386.692054176898	603.828442796853	183.37179267261	273.271909329559	496.491938049222	575.037761862834	265.512278353702	236.945153299186	406.551806981824	494.871587780937	303.530661237853	392.476531046696	318.484601226467	449.012654524198	314.960796606241	451.769916059712	476.44102352383	679.271548101181	258.280500287175	462.294182059377	229.330981007113	493.60113442781	241.208633872993	435.260444780148	112.797953205001	357.645296175535	692.781944173577	132.519066050637	533.763742422615	286.840695554056	609.814268421933	317.54622983494	266.877232272184	567.278189342066
CD4+ naive T-cells	709.379154910006	339.788422402693	344.141199670676	392.155285573776	586.479338994165	393.334119188486	424.335735597779	269.298493321052	290.840757281214	311.084073945742	366.288992924184	698.768203384589	509.997542847589	254.416945599373	479.319921270935	486.776123627667	398.620344006268	1188.06323137237	652.444027869207	529.838492624333	647.493584096754	431.551802552053	665.180369841829	244.526666204469	365.192534697632	468.584435166759	762.869391443141	247.704435336765	393.560909478929	430.785036993378	510.736190549361	479.240709696737	445.199875777158	415.447132449082	883.210239590534	528.34091458381	327.755852045609	356.486529347903	864.160196544541	485.29612310331	254.160752416973	493.512029104376	861.784361307879	467.869696139392	421.530894058975	721.827979670147	497.902513564698	522.649457884889	178.016774843105	334.877588719236	370.047671039034	843.331026359014	266.506369232943	570.6460766299	373.591040411694
CD8+ T-cells	446.184743458107	311.731832177291	339.718446069648	253.946102323553	443.703582838181	434.604186879342	340.658496761615	195.179544955667	463.840255177041	324.285451870637	338.067321030977	627.978496386507	318.317500922167	385.292651161133	590.775459961112	320.833354859975	293.674891110367	730.188830009276	365.266307395745	317.819974165952	559.834994866255	390.754895581221	332.898925988767	252.223727415167	449.591057052294	343.512283868632	520.12938016227	163.804669891022	353.4693560421	196.30623845618	340.293807530551	255.323058375777	277.495175270458	298.318324529862	599.273476759026	273.672892376332	365.168507510492	341.865077138732	683.965391462546	348.787976038416	281.646244548074	360.742958170194	492.742274289297	384.912112442111	373.414072338321	561.153013156009	348.319193094491	469.228655274658	451.227956879661	541.660466088181	281.65445069889	633.688707599085	210.86982271478	265.992614319739	320.363892137662
