	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55
Adipocytes	1	1	0.35158	1	1	0	0.945243333333333	0.0509366666666666	0	1	0.333043333333333	0	0.0793533333333334	0.32098	0	0.00260000000000005	0.669663333333333	1	1	1	0	0.61579	1	0	0.15307	0.41044	1	1	1	0.17	0.120646666666667	1	1	0.607743333333333	1	1	1	0.971616666666667	0.111956666666667	0.06877	1	1	0.0823133333333333	0.00913333333333333	1	1	1	0.0543766666666666	0	0.000236666666666663	0.387156666666667	1	0.0127933333333333	0	0.753143333333333
Astrocytes	1	1	1	0.00939999999999996	1	1	1	0.318826666666667	1	1	1	0.0718966666666667	0.246896666666667	1	1	0.05735	1	0	0.295876666666667	0.397886666666667	0.0989666666666666	0.131996666666667	0.0275033333333333	1	1	1	1	1	1	0.23631	0.0706733333333334	1	1	1	0.2456	0.1141	1	1	0.263883333333333	1	1	1	0	0.321146666666667	0.29414	1	1	0.336663333333333	1	1	0.253143333333333	0.251903333333333	1	0.0258533333333333	1
B-cells	0	1	0.241353333333333	0.0617133333333333	1	0.06946	0.0399833333333334	0.252636666666667	0	0.101373333333333	0.112666666666667	0.0831033333333333	0.24621	1	0	2.33333333333752e-05	0.02036	0	0.0209066666666666	0	0.0134633333333334	0.10292	0.00336333333333338	0.445143333333333	1	0.101373333333333	0	1	1	1	0.00789333333333331	0.18489	0.122196666666667	1	0	0.00247666666666668	0.0427066666666667	0.00758000000000003	0	0.15266	0.359233333333333	0.0325299999999999	0	0.576263333333333	0.576263333333333	1	0.02167	0	1	0	0.257686666666667	0	0.323703333333333	0.0197766666666667	0.0195533333333333
Basophils	0.253863333333333	0.444833333333333	1	1	0.16227	0.415503333333333	1	1	0.229236666666667	1	0.409176666666667	0.206453333333333	0.7171	0.68521	0.43872	1	0.420813333333333	1	0.549873333333333	1	0.785086666666667	1	1	0.562233333333333	0.205056666666667	0.28686	0.312323333333333	0.24729	0.151996666666667	0.42602	1	0.195876666666667	0.263293333333333	0.223273333333333	1	1	0.29921	0.925306666666667	0.142876666666667	0.517003333333333	0.279286666666667	0.14928	1	0.36731	1	0.0938366666666667	0.247576666666667	1	1	0.268403333333333	1	0.400303333333333	1	1	0.184033333333333
CD4+ T-cells	1	0.63627	0.456066666666667	0.409323333333333	0.55707	0.59279	0.48526	1	0.5729	0.45915	0.38937	0.446106666666667	0.0847733333333334	1	0.342706666666667	0.33053	0.177936666666667	0.0202133333333333	0.114943333333333	1	0.224566666666667	0.222653333333333	0.17428	1	0.641406666666667	0.251516666666667	0.156783333333333	1	0.324783333333333	0.661046666666667	0.30798	0.438933333333333	0.607483333333333	0.403556666666667	0.0808233333333334	0.44787	0.410676666666667	0.440846666666667	3.33333333335517e-06	0.525646666666667	0.445443333333333	0.162916666666667	0.23942	0.212176666666667	0.60436	0.553973333333333	0.127383333333333	0.0276933333333333	1	0.30474	0.571823333333333	0.118066666666667	0.63627	0.578293333333333	0.393246666666667
CD4+ Tcm	0.12696	1	0.339153333333333	1	0	0.197383333333333	1	0.232646666666667	0.0196466666666667	1	1	1	0.20117	0.188816666666667	0	1	1	0.0609366666666666	0.320706666666667	0.14299	1	0.02336	1	1	0.00226666666666664	1	1	1	0.000820000000000043	0.145526666666667	1	0	1	0.0866433333333333	0.0360633333333333	1	1	1	0.0299333333333334	0.109176666666667	0.0403133333333333	0	1	0	0.03383	0	1	0.07443	0.218376666666667	0.322646666666667	0.112083333333333	0.244553333333333	1	1	1
CD4+ Tem	0.00257666666666667	1	0.57887	1	1	1	1	0.66821	1	1	1	1	1	0.49044	0.521833333333333	1	1	0.298186666666667	1	0.0477133333333334	1	1	1	0.45695	1	0.526896666666667	0.326806666666667	1	0.316693333333333	1	1	0.222053333333333	1	0.306483333333333	0.0470733333333333	1	0.477746666666667	1	0.684126666666667	0.646833333333333	1	0.585226666666667	0.477746666666667	1	0.749176666666667	0.181223333333333	1	0.315913333333333	1	1	0.673396666666667	0.808483333333333	1	1	1
CD4+ memory T-cells	1	0.440106666666667	0.30918	0.79732	1	0.715926666666667	0.124746666666667	1	0.667603333333333	0.464053333333333	0.422946666666667	0.91476	0.22651	0.88042	0.63446	0.306636666666667	0.07625	0.187136666666667	0.472686666666667	1	0.59973	0.369786666666667	0.11184	1	0.876656666666667	0.208093333333333	0.376356666666667	0.860073333333333	0.836886666666667	0.440106666666667	0.158976666666667	0.701696666666667	0.464653333333333	0.60031	0.532313333333333	0.757373333333333	0.26733	0.242843333333333	0.0880533333333333	0.91476	0.242843333333333	0.811063333333333	0.262633333333333	0.789056666666667	0.316433333333333	1	0.528726666666667	0.0705033333333334	1	0.264023333333333	0.766623333333333	0.2253	0.56129	0.986813333333333	0.110216666666667
CD4+ naive T-cells	0.11042	1	1	1	0.224516666666667	1	1	1	1	1	1	0.0365	0.269203333333333	1	1	0.215	1	0	0.0458733333333333	0.573323333333333	0.135226666666667	0.60692	0.07929	1	1	0.44422	0.04718	1	1	0.501273333333333	0.478446666666667	0.918646666666667	0.559436666666667	1	0.00324333333333338	0.373166666666667	1	1	0.0071566666666667	0.346033333333333	1	0.772463333333333	0	0.44821	0.793336666666667	0.172336666666667	0.387706666666667	0.711946666666667	1	1	1	0.00968999999999998	1	0.16761	1
CD8+ T-cells	0.416846666666667	0.63875	1	1	0.3952	0.284713333333333	1	1	0.266213333333333	1	1	0.0153033333333333	0.854913333333333	0.321683333333333	0.0507033333333333	0.87528	1	0.120536666666667	0.513076666666667	1	0.277213333333333	0.32533	1	1	0.1649	0.682786666666667	0.43159	1	0.533703333333333	1	1	1	1	0.886266666666667	0.135133333333333	1	0.503933333333333	0.940516666666667	0.0376266666666667	0.63875	1	0.57377	0.248033333333333	0.298093333333333	0.212983333333333	0.126916666666667	1	0.459763333333333	1	0.17408	1	0.0365	1	1	1
CD8+ Tcm	1	1	0.826613333333333	0.92968	1	1	0.305376666666667	1	1	1	0.734203333333333	1	1	1	1	1	1	0.195153333333333	1	1	1	1	0.560363333333333	1	1	1	0.208453333333333	1	1	1	0.425466666666667	1	1	0.86615	0.92527	0.653846666666667	0.762866666666667	0.859763333333333	0.14492	1	0.82369	1	0.40923	1	1	0.709126666666667	1	0.27295	1	1	1	0.214393333333333	1	1	0.434916666666667
CD8+ Tem	0.321433333333333	1	1	1	0.5952	1	1	0.82912	1	1	1	0.42131	1	1	1	1	1	0.707143333333333	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.579983333333333	1	1	1	0.27463	0.94991	1	1	0.37946	0.85443	1	0.01875	1	0.78941	1	1	1	0.779963333333333	1	1	1
CD8+ naive T-cells	0	0	0	1	0	0	0	0.00305	0	0.00340666666666667	0	0	0	0	0	0.00861666666666672	0.00714000000000004	0.00444333333333335	1	0.000476666666666681	0	0	1	0	0	0.01638	0	0.000213333333333288	0	0	1	0	0.533446666666667	0	0.000776666666666648	1	0	0.0357533333333333	0	0	0	0	1	0	0.02205	0	0	0.000216666666666643	0	0	0.0624833333333333	0	0.00321333333333329	0.198976666666667	0.00949
CLP	0	0.00123333333333331	0	0.27878	0.00485999999999998	0	0	0.08094	1.66666666666648e-05	0	0	0	0.262383333333333	0	0.00791666666666668	0	0	0.101766666666667	1	0.31921	0.0120333333333333	0	0.0832166666666667	0	0.298933333333333	0.45122	0	0	0.0095966666666667	0.00277666666666665	0	0.0356566666666667	0.0178433333333333	0	0	0.11214	0	0	0.0251533333333334	0	0	0.348583333333333	0	0.961586666666667	0.00136333333333338	0	0	0.00367666666666666	0	0	0.0637133333333333	0.00392666666666663	0.07935	0.0928133333333333	0
CMP	0.346703333333333	1	1	0.73052	0.08747	0.16557	1	1	1	1	0.315666666666667	0.112736666666667	0.17644	1	0.170226666666667	0.12803	0.55173	1	0.0864766666666666	1	0.153463333333333	1	0.915113333333333	0.797816666666667	0.768893333333333	0.0622533333333334	1	1	0.20624	1	1	0.19711	0.108796666666667	0.631743333333333	0.37644	0.276513333333333	1	0.625753333333333	1	0.662	0.167453333333333	0.0488733333333333	1	0.112996666666667	1	1	0.828856666666667	0.36061	1	0.354276666666667	0.745616666666667	1	0.60842	1	0.15894
Chondrocytes	0.312333333333333	1	0	0	0.170366666666667	0	0	0	0.15986	0.0165766666666667	1	0	0	0.01049	0	0	1	0	0	0	0	0	0	0.01049	0.0115633333333334	0.0127766666666667	0	0	1	0	0	0.408646666666667	0	0	0	0	1	0.00617999999999996	1	1	1	1	0	0.0235333333333333	0	1	1	0.01252	0	0	0.00129333333333337	0	6.66666666671034e-06	0	0.000179999999999958
Class-switched memory B-cells	0	0	0.03676	0.0350133333333333	0	0.437653333333333	0	0	0	1	0	1	0	0.00616000000000005	0	0	0.00551666666666661	0	0	0	1	0	0	1	0.485376666666667	0	0	1	0.0148066666666666	0.16986	0	0	0	0	0	0	0.60182	0	0	0.082	0.0943966666666667	0	0	0	0	1	0	0	1	0	0	0	0	0.0399966666666667	1
DC	0	0.295193333333333	0	0.101686666666667	0.00978666666666672	0.0604666666666667	0.538246666666667	0.01053	0.373743333333333	0.0131966666666666	0.160146666666667	0.01954	0.0429133333333334	0.06211	0	0.00221000000000005	0.02949	0	0.00467666666666666	0	0	0	0	0	0.31041	0.00362666666666667	0	0.843296666666667	1	0.12038	0	0.895193333333333	0	0.17964	0	0	0	0.000243333333333373	0	0	1	0.90888	0	0.54149	0	0	0.0128966666666667	0	0.0969066666666667	0.0711266666666667	0.0299233333333333	0	0	0	0.21459
Endothelial cells	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000213333333333288	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eosinophils	0.02976	0.400566666666667	0.00850666666666666	0.10844	0.120413333333333	0.2949	1	0.0491166666666667	1	0.142493333333333	0.62572	0.378706666666667	0.0510766666666667	0.101443333333333	1	0.542626666666667	0.760046666666667	0.0293099999999999	0.125993333333333	0.017	0.457	0.20982	0.158623333333333	0.314616666666667	0.11481	0.369726666666667	0.10263	0.36843	0.499666666666667	0.0391066666666666	0.17093	0.0979233333333334	0.224776666666667	0.2857	0.286656666666667	0.110696666666667	0.675383333333333	0.290306666666667	0.47895	0.09972	0.27046	0.11504	0.28979	0.137346666666667	4.66666666666393e-05	0.23036	0.245293333333333	0.391403333333333	0.31356	1	0.17783	0.06229	0.0546466666666666	0.0216766666666667	1
Epithelial cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.357373333333333	0	0	0	0	0	0	0	0	0	0	0	0.27019
Erythrocytes	1	0.09539	1	1	1	1	0	0.00103333333333333	0.0104833333333333	0.00222666666666671	0.0292166666666667	1	1	0.136363333333333	0.430573333333333	0.322753333333333	0.0015033333333333	1	0.000156666666666694	0.0382166666666667	1	0.01447	1	0.0118933333333333	1	1	1	6.66666666671034e-06	0.0199266666666666	1	0.524186666666667	0.0578633333333334	1	0.0133233333333334	1	0.292406666666667	0.00602333333333338	0.0162099999999999	0.09539	0.0128866666666667	1	1	0.197673333333333	1	0.0212866666666667	0.0106066666666667	0.0324366666666667	1	0.00629000000000002	1	0.0243100000000001	0.598486666666667	0.889206666666667	1	1
Fibroblasts	1	1	0.16238	0.000319999999999987	0.575523333333333	0	1	1	0.00384666666666666	1	1	0	0	1	0	0	1	1	1	0.336306666666667	0	1	0.0183866666666667	1	1	0	0	0.108216666666667	1	0	0.00457666666666667	1	0.23763	0.02819	0.0174166666666666	0	1	1	1	0.18348	1	1	0	0.00529666666666662	0	1	1	0	0.00300333333333336	0	0.211716666666667	0.26762	0	0	0
GMP	0.956693333333333	1	1	0.735066666666667	1	0.322626666666667	0.60096	1	0.724173333333333	1	0.731853333333333	0.355616666666667	0.495656666666667	1	0.21303	0.274746666666667	0.331213333333333	1	0.893426666666667	1	0.00898333333333334	0.488846666666667	0.175393333333333	0.616516666666667	0.52614	0.178906666666667	0.708216666666667	1	1	0.815523333333333	0.257533333333333	1	0.424403333333333	1	0.713373333333333	0.677043333333333	0.48307	0.493193333333333	1	0.877066666666667	0.453246666666667	0.524303333333333	0.678956666666667	0.544106666666667	0.638083333333333	1	0.597053333333333	0.281276666666667	0.83367	0.134616666666667	0.802993333333333	0.462583333333333	0.62716	0.885153333333333	0.129726666666667
HSC	0.208736666666667	0.717733333333333	0.187916666666667	0.0649166666666666	1	0	0.617653333333333	0.225946666666667	0.446503333333333	0.937213333333333	1	0	0.00048333333333328	0.454446666666667	0.252926666666667	0	1	0.0592966666666667	0.28305	0.06276	0	0.00819666666666663	0	0.0606	0.499046666666667	0.130883333333333	0	0.114043333333333	1	0.0132866666666667	0.00403666666666669	0.47058	0.18717	0.205703333333333	0	1	0.747623333333333	1	0.685736666666667	0.33467	0.439933333333333	1	0	0.47403	0.0287333333333334	1	0.515946666666667	0.109536666666667	0.00350666666666666	0.13857	0.445423333333333	1	0.185253333333333	0.117566666666667	0.01009
Hepatocytes	0	0	0	0	0	0	0.0280166666666667	0.00599333333333329	0	0.319603333333333	0	0	0	0	0	0	0	1	0.00140333333333331	0	0	0	0	0	0	0	0	0	0.00492333333333328	0	0	0	0.385976666666667	0	1	0	0	0	1	0	0	0.0315	1	0	0.236296666666667	0	0	0	0	0	0	0	0	0.311336666666667	0
Keratinocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0458633333333334
MEP	0.00183999999999995	0.0924033333333333	0.11342	1	0.10168	1	0.137003333333333	0.297883333333333	0.13812	0.0127766666666667	0.0840033333333333	0.0612466666666667	1	0	1	1	0.0658300000000001	1	1	0.120333333333333	1	0.36847	1	0	1	1	1	0.123503333333333	0.0236466666666667	1	1	0.09604	0.242373333333333	0.1446	1	1	0.0175466666666667	0.0797333333333333	1	0.315643333333333	0.1446	1	1	1	0.0979100000000001	0.00883666666666671	0.148233333333333	1	0.161046666666667	0.181556666666667	1	0.357633333333333	1	1	1
MPP	0.00979333333333332	1	0.60047	1	0.463753333333333	1	1	1	0.853483333333333	1	0.695006666666667	0.343036666666667	1	0.88167	0.50607	1	0.959213333333333	0.03818	0.77397	0.3885	0.73057	1	1	0.381306666666667	1	0.806563333333333	0.0898766666666667	1	1	1	1	1	0.804806666666667	1	0.12804	0.33464	0.375336666666667	0.897356666666667	0.294533333333333	0.657876666666667	1	1	0.378566666666667	1	1	0.415166666666667	0.719533333333333	0.562086666666667	1	0.80819	1	0.07255	1	0.373016666666667	0.834136666666667
MSC	0	0.000340000000000007	0.0654966666666666	0.686163333333333	0	0.161706666666667	0	0	0	0	0	0	0.108426666666667	0	0.0110833333333333	0.173056666666667	0.0240433333333333	1	0.0243233333333334	0	0.000696666666666679	0.000720000000000054	1	0	0	0.00737333333333334	0	0	0	0.0465100000000001	1	0	0.09305	0	0.12002	0	0	0.15812	0.182193333333333	0	0	0	0	0	0	0	0	0	0.00671999999999995	7.9999999999969e-05	0	0	0	0.18643	0.0291733333333334
Macrophages	0	1	0.03799	1	0.545293333333333	0.0376533333333333	0.0235300000000001	0.02489	0.0256466666666667	0.0247933333333333	0.0250166666666667	1	1	0.00149333333333335	0.000156666666666694	0.132053333333333	0.05179	0.0100233333333334	0.33575	0.05744	0.00241666666666662	0.684143333333333	0.0548966666666667	0	0.306603333333333	0.384143333333333	0.117483333333333	0.00905	0.287203333333333	0.03944	0.210213333333333	0.15526	0.2238	0.0125866666666666	0.0372066666666667	8.33333333333242e-05	0	0.0470566666666666	0.261366666666667	0.0339866666666667	0.0445733333333334	0.430696666666667	0	0.751896666666667	0.865186666666667	0.154546666666667	0.000203333333333333	0.07326	0.00905	0.00790333333333337	0.0316333333333333	0.67547	0.0601033333333333	0.0880366666666667	0.0474233333333334
Macrophages M1	0	1	1	1	0.699	0.422486666666667	0.659436666666667	1	0.69228	0.54278	1	0.825296666666667	1	1	0.152716666666667	0.17188	0.987493333333333	0	0.877113333333333	0.397456666666667	0	1	0.37831	0.00173000000000001	0.293573333333333	0.05153	0.112516666666667	0.114603333333333	0.41229	1	1	0.12103	1	0.0169733333333333	0.110396666666667	0.000243333333333373	0.00920333333333334	1	0.646693333333333	0.218806666666667	1	1	0.0197066666666667	0.732756666666667	1	0.0929233333333334	0.00124333333333337	0.12318	0.336816666666667	0.02884	0.502926666666667	0.924773333333333	1	0.06697	1
Macrophages M2	0	0.0494466666666666	0	1	0.00054333333333334	0.0383333333333333	0	0	0	0	0	0.314993333333333	0.400093333333333	0	0	0.120583333333333	0.000306666666666677	0.0732633333333333	0.877393333333333	0.0257733333333333	0.00426333333333329	0.185903333333333	0.28353	0	1	0.420466666666667	0.04527	0	0.0441233333333333	0	0.05065	0.0383333333333333	0.0781166666666666	0.0185	0.10421	0	0	0.0039433333333333	1	0.00327999999999995	0	0.00327999999999995	0	0.122976666666667	0.856303333333333	0.00426333333333329	0.000809999999999977	0.299643333333333	0	0	0	0.1165	0	0.01244	0.00663666666666662
Mast cells	0.35192	0	0.109203333333333	0	0.00239666666666671	0.00146666666666662	0	0.00727666666666671	0.00626333333333329	6.33333333333042e-05	0	0.000290000000000012	0	0.00559666666666669	0	0	0	0.264666666666667	0	0.382976666666667	0.00626333333333329	0	0.00516666666666665	0.269616666666667	1.66666666666648e-05	0	0.00182333333333329	0.0345933333333334	0	0	0.000689999999999968	0.000176666666666714	0	0	0	7.00000000000145e-05	0	0	0	0.00384666666666666	0	0	0.0575599999999999	0	0.0105133333333334	1	0	0	0.376463333333333	0	0.000763333333333338	0	0	0.0152833333333333	0
