	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55
Megakaryocytes	1	0.223533333333333	0.629783333333333	0.174373333333333	0.691963333333333	0.00753666666666664	1	0.972013333333333	0.958206666666667	1	0.369146666666667	1	0.185366666666667	1	0.0274433333333334	0.39196	1	0.3146	1	1	0.0143166666666666	0.315963333333333	0.15433	0.92701	0.0312733333333334	0.30521	0.220186666666667	0.443096666666667	0.102846666666667	0.0259733333333333	0.0932433333333333	0.29058	0.242726666666667	0.641216666666667	0.151393333333333	0.0701166666666667	1	1	0.223533333333333	0.252106666666667	0.00458333333333338	0.000336666666666652	0.699693333333333	0.280283333333333	0.248526666666667	1	0.10813	0.16033	0	0.425526666666667	0.184413333333333	1	0.137126666666667	0.07452	0
Melanocytes	0.400646666666667	0.16947	0.00312999999999997	0	0.0302	0.901533333333333	0.464566666666667	0	0.815246666666667	0	0	0.945293333333333	0.00131666666666663	0	0.973313333333333	0.819796666666667	0	0.000926666666666631	0.0504833333333333	0.0104633333333334	0.744316666666667	0.0601666666666667	0.905486666666667	0	0.439666666666667	0.20212	1	0.391293333333333	0.00964666666666669	1	0	0.0207666666666667	0	0.00469333333333333	0.00290999999999997	0	0.643916666666667	0.229633333333333	0	0.136933333333333	0.79222	0	0	0.00568333333333337	0.59766	0	0.654193333333333	0.000606666666666644	0.602653333333333	1	0	0.110173333333333	0	0.123256666666667	1
Memory B-cells	0.000176666666666714	1	1	1	1	1	1	1	0.0660933333333333	1	1	1	1	1	0.07154	1	1	0	1	0.000659999999999994	0.00282000000000004	1	1	1	1	1	0.000136666666666674	1	1	1	1	1	1	1	0.00355000000000005	0.723253333333333	1	1	0.0562166666666667	1	1	1	0	1	1	1	1	0.0013266666666667	1	1	1	0.00161999999999995	1	1	1
Mesangial cells	0.02019	0	1	0	1	0.0748933333333334	1	1	1	1	1	0	1	0.0617033333333333	1	0.768986666666667	0.26526	0	0.178516666666667	0.111756666666667	0	0.397796666666667	0	1	1	1	0.102613333333333	0.58762	1	0	0.00936666666666663	0.124453333333333	0.0730433333333333	1	0	0.01228	1	1	0	0.0514666666666667	1	0.00185999999999997	0	0.137956666666667	0.94811	0.0364966666666666	1	1	0.0150633333333333	1	0.0679033333333333	0.04293	0.127106666666667	0	1
Monocytes	1	1	1	1	1	0.349473333333333	1	1	1	1	1	1	1	1	1	0.333073333333333	1	1	1	1	1	1	1	0.250856666666667	1	1	1	1	1	1	1	1	1	1	0.363093333333333	0.805053333333333	0.531363333333333	1	1	1	1	1	0.141263333333333	1	1	1	1	1	1	1	1	1	1	0.306736666666667	1
Myocytes	1	0.5359	1	0.0228733333333333	1	0	0.0196033333333333	1	0	0.80339	0.0368133333333334	0.0159966666666667	0	1	0	0	0.107653333333333	0	0.07823	1	0	0.154996666666667	1	1	0	0.166623333333333	1	0.390523333333333	1	1	0	1	0	1	1	0.28364	1	0	0	1	0	1	1	0.723786666666667	1	1	1	0.0739933333333334	0	0	0.515456666666667	0.69833	0.0571333333333334	0.0512066666666666	0
NK cells	1	0.781046666666667	1	0.84117	1	1	0.428166666666667	1	1	0.782863333333333	0.614236666666667	1	0.903243333333333	0.919056666666667	1	0.84527	0.781046666666667	1	0.95906	1	1	1	0.489296666666667	1	1	1	1	1	1	1	0.483946666666667	1	0.696223333333333	1	1	1	0.730376666666667	0.413463333333333	0.293966666666667	1	0.703936666666667	1	1	1	1	0.589433333333333	1	1	1	1	1	1	1	1	0.160416666666667
NKT	0	0.207776666666667	0.0328633333333334	0.232896666666667	0.0152333333333333	0.03921	0.191706666666667	0.0983466666666667	0.0905933333333333	0.0907233333333334	0.35475	0	0.720073333333333	0.0507233333333333	0.121036666666667	0.25117	0.140243333333333	0	0.128186666666667	0	0.000156666666666694	0.80006	0.21185	0.000260000000000038	0.110916666666667	0.240796666666667	0	0.0203733333333334	0.181956666666667	0.0697166666666666	1	0.101526666666667	0.186006666666667	0.21678	0.0581666666666667	0.0555333333333333	0.304316666666667	0.382303333333333	0.326853333333333	0.0414066666666667	0.449213333333333	0.603606666666667	0.14864	0.485033333333333	0.309703333333333	0.00207333333333337	0.243696666666667	0.210476666666667	0	0.0901733333333333	0.10864	0.01596	0.46124	0.000519999999999965	1
Neurons	0.912053333333333	0.00265333333333329	0.18601	0	0.20571	0	0.01081	0	0.00408333333333333	0.509423333333333	0	0	0	0	0.56466	0	0.99415	1	0.00560000000000005	0.191046666666667	0	0	0	0.000179999999999958	0.22152	0	0	0.751753333333333	0.899676666666667	0	0	0.82588	0.00444	0.527066666666667	0	0.000813333333333333	0.264196666666667	0.135626666666667	0	0.04957	1	0.77452	0	0	0	0.471546666666667	0.970703333333333	0.04957	0	0.211026666666667	0.0393033333333334	0.6467	0	0	0
Neutrophils	1	0.245856666666667	1	0.02733	0.09314	0.439476666666667	0.55263	0.5623	1	0.6959	0.454523333333333	0.84964	0.363973333333333	1	0.306706666666667	0.23176	0.113233333333333	0.712676666666667	0.07222	1	1	0.358186666666667	0.250723333333333	0.712676666666667	1	0.410686666666667	1	0.478496666666667	0.443786666666667	0.154506666666667	0.429183333333333	0.187153333333333	0.0558566666666667	0.61796	0.690246666666667	0.811096666666667	0.264973333333333	0.31385	0.592306666666667	0.607776666666667	0	0.07963	0.01612	0.538353333333333	0.80469	0.242546666666667	0.846456666666667	0.6258	1	0.577496666666667	1	1	0.29413	0.0868433333333334	0.0469166666666667
Osteoblast	0	0	0	1	0	0.643726666666667	0	0.932093333333333	0	0	0	1	0.732756666666667	0	0.253256666666667	0.13309	0	1	0.06702	1	1	0.350386666666667	1	0	0.615736666666667	0.0270866666666667	1	0.0392733333333334	0	0.0202766666666667	1	0	0.0706566666666667	0.00827	1	0	0	0.164146666666667	1	0	0.769093333333333	0.270513333333333	1	1	1	0	0	0.220546666666667	0	0	0.0936733333333334	0.175946666666667	0.00229999999999997	0.5408	0.39124
Pericytes	0	0.18373	0	0	0	0	0	0	3.33333333335517e-06	0	0	0	0	0.000226666666666708	0.000626666666666664	0	0.100216666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0181733333333334	0	0.00989666666666666	0	0	0	0.00627999999999995	1	0.26169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plasma cells	0.00271999999999994	0.204733333333333	0	0.0354166666666667	0	0.00120333333333333	0	0.00057666666666667	0	0	0	1	1	0	0	0	0	1	0	0.322013333333333	1	0	1	0	0	0.221216666666667	0	0	0	1	0.1363	0.00363999999999998	0.13335	0.293846666666667	0.15373	0.00463333333333338	0	0.00165333333333328	1	0	0	0.204733333333333	1	0.00225333333333333	1	0	0.0112233333333334	0	0	0	0	1	0.00851333333333337	1	0
Platelets	1	0.19944	0.279286666666667	0.204873333333333	0.56344	0.123986666666667	0.270426666666667	0.871543333333333	0.103673333333333	0.675163333333333	0.112023333333333	0.931176666666667	0.11364	1	0.0209633333333333	0.19944	0.285186666666667	0.18585	0.977956666666667	1	0.145353333333333	0.12199	0.142966666666667	1	0.0945666666666667	0.13544	0.43991	0.599416666666667	0.196506666666667	0.659846666666667	0.0942866666666666	0.379256666666667	0.12199	0.166473333333333	0.13233	0.20609	0.22005	0.153496666666667	0.125003333333333	0.1788	0.0966533333333334	0.130613333333333	1	0.179176666666667	0.329823333333333	1	0.109946666666667	0.0721766666666667	1	0.14952	0.168256666666667	0.328	0.153496666666667	0.195433333333333	0.0445733333333334
Preadipocytes	1	0.00139	0.00885333333333338	0	0.641806666666667	0.224526666666667	0.329343333333333	1	1	1	0.00486666666666669	1	0	1	0.13943	0	0	1	1	1	0.11524	0.00856666666666661	0	1	1	0	0.0093833333333333	0.122703333333333	0.180336666666667	0.0727833333333333	0	0.0111233333333334	0	0.256406666666667	0.0134066666666667	0.00424333333333338	1	0	0.30083	1	0.000473333333333326	0.01939	1	0.0102366666666667	0.14534	1	0.425213333333333	0.0845133333333333	1	0.06375	0.01056	1	0	0.0497933333333334	0
Sebocytes	0	0.27339	0.00904000000000005	0.119896666666667	0.164743333333333	1	1	0.000789999999999957	0.318576666666667	0.0915033333333334	1	0.329496666666667	1	0.0765766666666666	0.327353333333333	0.32487	1	0	1	0	1	0.00778333333333336	1	0.0145066666666667	1	1	0.267103333333333	0.0115666666666666	1	0.171493333333333	0.119896666666667	1	0.164743333333333	1	0.0145066666666667	0.0863666666666667	0.01298	0.199496666666667	1	0.00130666666666668	0.322006666666667	0.31052	0.1783	0.0675033333333334	1	0	0.296266666666667	0.241233333333333	0.00682333333333329	0.31468	0.0145066666666667	0.0245033333333333	1	0.0145066666666667	1
Skeletal muscle	1	1	1	0.142783333333333	1	0	0.70422	1	0	1	0.0396966666666667	0.16847	0	1	0	0.0605266666666666	0.147776666666667	0	1	1	0	0.633833333333333	0.606713333333333	1	0	1	1	0.9167	1	0.98612	0.70422	1	1	0.128853333333333	0.570496666666667	0.12448	0.50747	0.288196666666667	0.0350033333333334	0.47224	0	1	1	0.01797	0.9167	1	0.789333333333333	1	0	0	0.642666666666667	1	0.185176666666667	0.41326	0.108316666666667
Smooth muscle	1	0.631906666666667	0.490286666666667	1	1	0.568526666666667	0.126743333333333	1	0.0545933333333334	1	0.175766666666667	1	0.40071	1	0.362066666666667	0.280266666666667	1	1	1	1	1	1	0.4853	1	1	0.24788	1	1	1	0.382986666666667	0.02157	1	0.175766666666667	1	1	1	0.218696666666667	0.06359	1	1	1	1	1	1	0.493636666666667	1	0.386213333333333	0.473223333333333	1	0.437593333333333	1	1	0.208313333333333	1	0.0122333333333333
