driver;Driver_2_cluster_label_2.0;Driver_2_cluster_label_2.1;Driver_3_cluster_label_3.0;Driver_3_cluster_label_3.1;Driver_4_cluster_label_4.0;Driver_4_cluster_label_4.2
A2M;0.0;15.0;15.0;0.0;0.0;15.0
AAAS;3.0;19.0;19.0;3.0;3.0;19.0
AARS;0.0;4.0;4.0;0.0;0.0;4.0
AASDHPPT;0.0;1.0;1.0;0.0;0.0;1.0
AATF;0.0;3.0;3.0;0.0;0.0;3.0
ABAT;0.0;1.0;1.0;0.0;0.0;1.0
ABCB1;1.0;6.0;6.0;1.0;1.0;6.0
ABCB11;1.0;2.0;2.0;1.0;1.0;2.0
ABCB4;0.0;1.0;1.0;0.0;0.0;1.0
ABCB9;0.0;1.0;1.0;0.0;0.0;1.0
ABCC2;0.0;4.0;4.0;0.0;0.0;4.0
ABCC3;0.0;2.0;2.0;0.0;0.0;2.0
ABCC8;1.0;10.0;10.0;1.0;1.0;10.0
ABCC9;0.0;2.0;2.0;0.0;0.0;2.0
ABCD1;0.0;1.0;1.0;0.0;0.0;1.0
ABCD2;0.0;11.0;11.0;0.0;0.0;11.0
ABCD3;1.0;6.0;6.0;1.0;1.0;6.0
ABCE1;0.0;10.0;10.0;0.0;0.0;10.0
ABCF1;0.0;1.0;1.0;0.0;0.0;1.0
ABCG5;0.0;1.0;1.0;0.0;0.0;1.0
ABCG8;2.0;2.0;2.0;2.0;2.0;2.0
ABI1;2.0;6.0;6.0;2.0;2.0;6.0
ABI2;0.0;3.0;3.0;0.0;0.0;3.0
ABL2;2.0;5.0;5.0;2.0;2.0;5.0
ABR;0.0;2.0;2.0;0.0;0.0;2.0
ACAA1;0.0;1.0;1.0;0.0;0.0;1.0
ACAA2;2.0;9.0;9.0;2.0;2.0;9.0
ACACA;0.0;1.0;1.0;0.0;0.0;1.0
ACACB;2.0;20.0;20.0;2.0;2.0;20.0
ACAD8;0.0;3.0;3.0;0.0;0.0;3.0
ACADL;1.0;9.0;9.0;1.0;1.0;9.0
ACADM;1.0;6.0;6.0;1.0;1.0;6.0
ACADS;2.0;11.0;11.0;2.0;2.0;11.0
ACADSB;0.0;2.0;2.0;0.0;0.0;2.0
ACAN;0.0;11.0;11.0;0.0;0.0;11.0
ACAP1;0.0;3.0;3.0;0.0;0.0;3.0
ACAP2;1.0;2.0;2.0;1.0;1.0;2.0
ACAT1;1.0;8.0;8.0;1.0;1.0;8.0
ACD;2.0;7.0;7.0;2.0;2.0;7.0
ACE2;0.0;1.0;1.0;0.0;0.0;1.0
ACHE;0.0;3.0;3.0;0.0;0.0;3.0
ACO1;0.0;2.0;2.0;0.0;0.0;2.0
ACO2;1.0;0.0;0.0;1.0;1.0;0.0
ACOX1;0.0;4.0;4.0;0.0;0.0;4.0
ACP1;0.0;5.0;5.0;0.0;0.0;5.0
ACSL1;0.0;1.0;1.0;0.0;0.0;1.0
ACSL3;1.0;0.0;0.0;1.0;1.0;0.0
ACSL4;1.0;3.0;3.0;1.0;1.0;3.0
ACSL5;1.0;2.0;2.0;1.0;1.0;2.0
ACSL6;2.0;6.0;6.0;2.0;2.0;6.0
ACSS2;1.0;2.0;2.0;1.0;1.0;2.0
ACTA1;1.0;9.0;9.0;1.0;1.0;9.0
ACTA2;1.0;17.0;17.0;1.0;1.0;17.0
ACTB;2.0;15.0;15.0;2.0;2.0;15.0
ACTC1;2.0;9.0;9.0;2.0;2.0;9.0
ACTG1;2.0;16.0;16.0;2.0;2.0;16.0
ACTG2;2.0;19.0;19.0;2.0;2.0;19.0
ACTL6A;3.0;16.0;16.0;3.0;3.0;16.0
ACTL6B;1.0;11.0;11.0;1.0;1.0;11.0
ACTL7A;0.0;1.0;1.0;0.0;0.0;1.0
ACTL7B;0.0;1.0;1.0;0.0;0.0;1.0
ACTN1;3.0;21.0;21.0;3.0;3.0;21.0
ACTN2;2.0;10.0;10.0;2.0;2.0;10.0
ACTN3;2.0;7.0;7.0;2.0;2.0;7.0
ACTN4;0.0;4.0;4.0;0.0;0.0;4.0
ACTR1A;3.0;21.0;21.0;3.0;3.0;21.0
ACTR1B;3.0;13.0;13.0;3.0;3.0;13.0
ACTR2;3.0;12.0;12.0;3.0;3.0;12.0
ACTR3;2.0;10.0;10.0;2.0;2.0;10.0
ACTR3B;1.0;6.0;6.0;1.0;1.0;6.0
ACVR1;2.0;14.0;14.0;2.0;2.0;14.0
ACVR1B;0.0;9.0;9.0;0.0;0.0;9.0
ACVR1C;2.0;14.0;14.0;2.0;2.0;14.0
ACVR2A;3.0;4.0;4.0;3.0;3.0;4.0
ACVR2B;1.0;9.0;9.0;1.0;1.0;9.0
ACVRL1;2.0;19.0;19.0;2.0;2.0;19.0
ACY1;1.0;5.0;5.0;1.0;1.0;5.0
ADAM10;2.0;7.0;7.0;2.0;2.0;7.0
ADAM12;1.0;12.0;12.0;1.0;1.0;12.0
ADAM15;0.0;4.0;4.0;0.0;0.0;4.0
ADAM17;2.0;10.0;10.0;2.0;2.0;10.0
ADAM23;0.0;1.0;1.0;0.0;0.0;1.0
ADAM33;1.0;18.0;18.0;1.0;1.0;18.0
ADAM8;0.0;5.0;5.0;0.0;0.0;5.0
ADAM9;2.0;3.0;3.0;2.0;2.0;3.0
ADAMTS10;0.0;1.0;1.0;0.0;0.0;1.0
ADAMTS14;0.0;2.0;2.0;0.0;0.0;2.0
ADAMTS16;0.0;1.0;1.0;0.0;0.0;1.0
ADAMTS4;0.0;1.0;1.0;0.0;0.0;1.0
ADAMTS5;0.0;1.0;1.0;0.0;0.0;1.0
ADAMTS6;0.0;1.0;1.0;0.0;0.0;1.0
ADAMTS9;0.0;2.0;2.0;0.0;0.0;2.0
ADAP1;1.0;0.0;0.0;1.0;1.0;0.0
ADAR;0.0;1.0;1.0;0.0;0.0;1.0
ADARB1;0.0;1.0;1.0;0.0;0.0;1.0
ADCY2;0.0;6.0;6.0;0.0;0.0;6.0
ADCY3;1.0;6.0;6.0;1.0;1.0;6.0
ADCY4;1.0;1.0;1.0;1.0;1.0;1.0
ADCY5;3.0;21.0;21.0;3.0;3.0;21.0
ADCY6;0.0;5.0;5.0;0.0;0.0;5.0
ADCY7;0.0;1.0;1.0;0.0;0.0;1.0
ADCY8;0.0;1.0;1.0;0.0;0.0;1.0
ADCY9;3.0;13.0;13.0;3.0;3.0;13.0
ADCYAP1;0.0;13.0;13.0;0.0;0.0;13.0
ADCYAP1R1;1.0;8.0;8.0;1.0;1.0;8.0
ADD1;0.0;14.0;14.0;0.0;0.0;14.0
ADD2;0.0;1.0;1.0;0.0;0.0;1.0
ADH1A;1.0;4.0;4.0;1.0;1.0;4.0
ADH1B;0.0;8.0;8.0;0.0;0.0;8.0
ADH1C;2.0;8.0;8.0;2.0;2.0;8.0
ADH4;0.0;2.0;2.0;0.0;0.0;2.0
ADIPOQ;0.0;1.0;1.0;0.0;0.0;1.0
ADIPOR1;0.0;3.0;3.0;0.0;0.0;3.0
ADIPOR2;1.0;0.0;0.0;1.0;1.0;0.0
ADM;1.0;5.0;5.0;1.0;1.0;5.0
ADORA1;0.0;1.0;1.0;0.0;0.0;1.0
ADORA2A;0.0;4.0;4.0;0.0;0.0;4.0
ADORA2B;3.0;5.0;5.0;3.0;3.0;5.0
ADRA1A;0.0;15.0;15.0;0.0;0.0;15.0
ADRA1B;1.0;6.0;6.0;1.0;1.0;6.0
ADRA1D;0.0;9.0;9.0;0.0;0.0;9.0
