driver;Driver_2_cluster_label_2.0;Driver_2_cluster_label_2.1;Driver_3_cluster_label_3.0;Driver_3_cluster_label_3.1;Driver_3_cluster_label_3.2;Driver_4_cluster_label_4.0;Driver_4_cluster_label_4.1;Driver_4_cluster_label_4.2;Driver_4_cluster_label_4.3
A1BG;93.0;13.0;69.0;13.0;24.0;48.0;3.0;43.0;12.0
A2M;111.0;14.0;81.0;15.0;29.0;48.0;11.0;53.0;13.0
A4GALT;6.0;1.0;6.0;1.0;0.0;5.0;0.0;1.0;1.0
A4GNT;6.0;0.0;5.0;0.0;1.0;5.0;0.0;1.0;0.0
AAAS;68.0;6.0;50.0;6.0;18.0;34.0;5.0;30.0;5.0
AACS;8.0;1.0;7.0;1.0;1.0;6.0;0.0;2.0;1.0
AADAT;3.0;3.0;0.0;3.0;3.0;0.0;0.0;3.0;3.0
AAK1;63.0;7.0;50.0;7.0;13.0;39.0;3.0;22.0;6.0
AANAT;5.0;3.0;2.0;3.0;3.0;2.0;0.0;3.0;3.0
AARS;25.0;3.0;15.0;4.0;9.0;5.0;3.0;17.0;3.0
AASDHPPT;3.0;0.0;2.0;0.0;1.0;2.0;0.0;1.0;0.0
AASS;6.0;3.0;1.0;4.0;4.0;1.0;1.0;4.0;3.0
ABAT;25.0;2.0;14.0;3.0;10.0;10.0;4.0;11.0;2.0
ABCA1;88.0;19.0;61.0;20.0;26.0;33.0;10.0;47.0;17.0
ABCA2;3.0;1.0;1.0;1.0;2.0;0.0;0.0;3.0;1.0
ABCA3;72.0;8.0;46.0;8.0;26.0;28.0;8.0;37.0;7.0
ABCA7;10.0;5.0;4.0;5.0;6.0;5.0;0.0;5.0;5.0
ABCB1;141.0;20.0;102.0;21.0;38.0;62.0;10.0;70.0;19.0
ABCB4;73.0;9.0;54.0;10.0;18.0;33.0;8.0;32.0;9.0
ABCB6;4.0;0.0;2.0;0.0;2.0;1.0;1.0;2.0;0.0
ABCB8;3.0;1.0;1.0;1.0;2.0;0.0;0.0;3.0;1.0
