drivers;Driver_2_cluster_label_2.0;Driver_2_cluster_label_2.1;Driver_3_cluster_label_3.0;Driver_3_cluster_label_3.1;Driver_3_cluster_label_3.2;Driver_4_cluster_label_4.0;Driver_4_cluster_label_4.1;Driver_4_cluster_label_4.2;Driver_4_cluster_label_4.3
ADNP;48.0;1.0;47.0;0.0;2.0;10.0;39.0;0.0;0.0
ADNP2;35.0;6.0;35.0;5.0;1.0;5.0;31.0;1.0;4.0
AEBP1;34.0;2.0;32.0;3.0;1.0;8.0;25.0;3.0;0.0
AEBP2;22.0;0.0;22.0;0.0;0.0;3.0;19.0;0.0;0.0
AHCTF1;17.0;2.0;16.0;1.0;2.0;5.0;13.0;0.0;1.0
AHDC1;10.0;0.0;9.0;1.0;0.0;1.0;8.0;1.0;0.0
AHR;25.0;0.0;23.0;1.0;1.0;5.0;19.0;1.0;0.0
AKAP8;16.0;3.0;13.0;3.0;3.0;4.0;12.0;1.0;2.0
AKAP8L;16.0;3.0;15.0;2.0;2.0;3.0;14.0;0.0;2.0
AKNA;11.0;2.0;11.0;2.0;0.0;1.0;10.0;0.0;2.0
ANKZF1;16.0;2.0;15.0;1.0;2.0;4.0;13.0;1.0;0.0
AR;6.0;3.0;5.0;2.0;2.0;2.0;5.0;0.0;2.0
ARHGAP35;9.0;0.0;8.0;1.0;0.0;2.0;6.0;1.0;0.0
ARID2;20.0;1.0;20.0;0.0;1.0;5.0;16.0;0.0;0.0
ARID3B;4.0;0.0;4.0;0.0;0.0;0.0;4.0;0.0;0.0
ARID5A;11.0;2.0;9.0;2.0;2.0;3.0;8.0;2.0;0.0
ARID5B;4.0;0.0;4.0;0.0;0.0;0.0;4.0;0.0;0.0
ARNT;19.0;2.0;18.0;1.0;2.0;6.0;14.0;0.0;1.0
ARNT2;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
ARNTL;5.0;0.0;5.0;0.0;0.0;1.0;4.0;0.0;0.0
ARNTL2;9.0;0.0;9.0;0.0;0.0;1.0;8.0;0.0;0.0
ASH1L;18.0;2.0;17.0;1.0;2.0;5.0;14.0;0.0;1.0
ATF1;16.0;1.0;16.0;0.0;1.0;3.0;14.0;0.0;0.0
ATF2;15.0;1.0;15.0;1.0;0.0;2.0;13.0;1.0;0.0
ATF3;9.0;2.0;9.0;1.0;1.0;3.0;7.0;0.0;1.0
ATF4;9.0;0.0;9.0;0.0;0.0;2.0;7.0;0.0;0.0
ATF5;3.0;1.0;3.0;1.0;0.0;0.0;3.0;0.0;1.0
ATF6;20.0;2.0;19.0;1.0;2.0;6.0;15.0;0.0;1.0
ATF6B;16.0;1.0;16.0;1.0;0.0;3.0;13.0;0.0;1.0
ATF7;18.0;1.0;18.0;0.0;1.0;4.0;15.0;0.0;0.0
ATMIN;17.0;0.0;17.0;0.0;0.0;4.0;13.0;0.0;0.0
ATOH8;6.0;1.0;6.0;1.0;0.0;0.0;6.0;1.0;0.0
BACH1;14.0;1.0;14.0;1.0;0.0;1.0;13.0;0.0;1.0
BATF;23.0;1.0;22.0;1.0;1.0;4.0;19.0;0.0;1.0
BATF2;10.0;0.0;10.0;0.0;0.0;1.0;9.0;0.0;0.0
BATF3;11.0;1.0;10.0;1.0;1.0;2.0;9.0;0.0;1.0
BAZ2A;21.0;1.0;21.0;0.0;1.0;5.0;17.0;0.0;0.0
BAZ2B;14.0;1.0;13.0;2.0;0.0;2.0;11.0;2.0;0.0
BBX;14.0;1.0;14.0;1.0;0.0;2.0;12.0;0.0;1.0
BCL11B;19.0;1.0;19.0;1.0;0.0;2.0;17.0;0.0;1.0
BCL6;2.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0
BCL6B;32.0;3.0;30.0;2.0;3.0;7.0;26.0;0.0;2.0
BHLHA15;21.0;2.0;21.0;1.0;1.0;5.0;17.0;1.0;0.0
BHLHE40;7.0;0.0;7.0;0.0;0.0;1.0;6.0;0.0;0.0
BNC2;12.0;2.0;12.0;2.0;0.0;1.0;11.0;0.0;2.0
BPTF;22.0;2.0;22.0;1.0;1.0;5.0;18.0;0.0;1.0
BRF2;28.0;4.0;25.0;5.0;2.0;7.0;20.0;2.0;3.0
C11orf95;13.0;1.0;13.0;0.0;1.0;4.0;10.0;0.0;0.0
CAMTA1;17.0;1.0;15.0;2.0;1.0;3.0;13.0;1.0;1.0
CAMTA2;16.0;2.0;16.0;1.0;1.0;1.0;16.0;0.0;1.0
CARF;5.0;1.0;5.0;1.0;0.0;1.0;4.0;1.0;0.0
CBX2;7.0;1.0;7.0;1.0;0.0;0.0;7.0;0.0;1.0
CC2D1A;12.0;2.0;11.0;2.0;1.0;2.0;10.0;0.0;2.0
CCDC17;20.0;1.0;20.0;1.0;0.0;5.0;15.0;0.0;1.0
CDC5L;18.0;1.0;18.0;1.0;0.0;2.0;16.0;0.0;1.0
CEBPA;9.0;0.0;9.0;0.0;0.0;1.0;8.0;0.0;0.0
CEBPB;46.0;1.0;45.0;0.0;2.0;10.0;37.0;0.0;0.0
CEBPD;3.0;2.0;3.0;1.0;1.0;1.0;3.0;0.0;1.0
CEBPG;8.0;1.0;6.0;1.0;2.0;3.0;5.0;1.0;0.0
CEBPZ;7.0;1.0;7.0;0.0;1.0;1.0;7.0;0.0;0.0
CENPA;13.0;2.0;13.0;1.0;1.0;3.0;11.0;1.0;0.0
CENPB;42.0;0.0;41.0;0.0;1.0;3.0;39.0;0.0;0.0
CENPBD1;4.0;0.0;4.0;0.0;0.0;0.0;4.0;0.0;0.0
CENPT;16.0;0.0;15.0;1.0;0.0;4.0;11.0;1.0;0.0
CGGBP1;13.0;1.0;13.0;1.0;0.0;2.0;11.0;0.0;1.0
CHAMP1;20.0;2.0;18.0;2.0;2.0;3.0;17.0;2.0;0.0
CHCHD3;30.0;1.0;29.0;2.0;0.0;6.0;23.0;2.0;0.0
CIC;5.0;1.0;5.0;1.0;0.0;0.0;5.0;0.0;1.0
CLOCK;17.0;0.0;17.0;0.0;0.0;1.0;16.0;0.0;0.0
CREB1;11.0;2.0;11.0;1.0;1.0;2.0;10.0;1.0;0.0
CREB3;17.0;1.0;17.0;1.0;0.0;2.0;15.0;0.0;1.0
CREB3L1;10.0;0.0;9.0;0.0;1.0;3.0;7.0;0.0;0.0
CREB3L2;14.0;1.0;14.0;1.0;0.0;2.0;12.0;1.0;0.0
CREB3L4;19.0;2.0;17.0;1.0;3.0;6.0;14.0;0.0;1.0
CREB5;29.0;2.0;28.0;1.0;2.0;7.0;23.0;1.0;0.0
CREBL2;13.0;0.0;13.0;0.0;0.0;1.0;12.0;0.0;0.0
CREBZF;14.0;2.0;14.0;1.0;1.0;4.0;11.0;0.0;1.0
CREM;4.0;0.0;4.0;0.0;0.0;1.0;3.0;0.0;0.0
CSRNP1;3.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0
CSRNP2;20.0;1.0;20.0;0.0;1.0;4.0;17.0;0.0;0.0
CTCF;15.0;0.0;14.0;1.0;0.0;3.0;11.0;1.0;0.0
CUX1;31.0;1.0;29.0;2.0;1.0;8.0;22.0;2.0;0.0
CXXC1;25.0;5.0;25.0;4.0;1.0;2.0;24.0;0.0;4.0
DACH1;37.0;2.0;34.0;3.0;2.0;7.0;29.0;3.0;0.0
DDIT3;11.0;1.0;11.0;0.0;1.0;2.0;10.0;0.0;0.0
DEAF1;3.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0
DMTF1;29.0;2.0;28.0;2.0;1.0;8.0;21.0;2.0;0.0
DNMT1;5.0;0.0;4.0;0.0;1.0;2.0;3.0;0.0;0.0
DNTTIP1;47.0;1.0;46.0;0.0;2.0;9.0;39.0;0.0;0.0
DOT1L;6.0;1.0;6.0;0.0;1.0;2.0;5.0;0.0;0.0
DPF3;3.0;0.0;2.0;0.0;1.0;1.0;2.0;0.0;0.0
DR1;22.0;0.0;22.0;0.0;0.0;4.0;18.0;0.0;0.0
DRAP1;14.0;1.0;14.0;0.0;1.0;4.0;11.0;0.0;0.0
DZIP1;34.0;3.0;32.0;4.0;1.0;6.0;27.0;3.0;1.0
E2F1;47.0;1.0;47.0;0.0;1.0;9.0;39.0;0.0;0.0
E2F2;6.0;0.0;6.0;0.0;0.0;1.0;5.0;0.0;0.0
E2F3;12.0;1.0;12.0;1.0;0.0;1.0;11.0;0.0;1.0
E2F4;14.0;0.0;14.0;0.0;0.0;4.0;10.0;0.0;0.0
