drivers;Driver_2_cluster_label_2.0;Driver_2_cluster_label_2.1;Driver_3_cluster_label_3.0;Driver_3_cluster_label_3.1;Driver_3_cluster_label_3.2;Driver_4_cluster_label_4.0;Driver_4_cluster_label_4.1;Driver_4_cluster_label_4.2;Driver_4_cluster_label_4.3
E2F5;30.0;2.0;28.0;2.0;2.0;9.0;21.0;1.0;1.0
E2F6;14.0;2.0;13.0;1.0;2.0;5.0;10.0;1.0;0.0
E2F7;18.0;1.0;18.0;1.0;0.0;4.0;14.0;0.0;1.0
E2F8;8.0;1.0;8.0;0.0;1.0;2.0;7.0;0.0;0.0
E4F1;21.0;0.0;21.0;0.0;0.0;4.0;17.0;0.0;0.0
EBF1;12.0;0.0;11.0;0.0;1.0;2.0;10.0;0.0;0.0
EBF2;14.0;2.0;11.0;4.0;1.0;3.0;9.0;2.0;2.0
EBF3;9.0;0.0;9.0;0.0;0.0;1.0;8.0;0.0;0.0
EBF4;34.0;0.0;33.0;0.0;1.0;4.0;30.0;0.0;0.0
EEA1;21.0;1.0;21.0;1.0;0.0;4.0;17.0;0.0;1.0
EGR1;3.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0
EGR2;5.0;1.0;4.0;1.0;1.0;2.0;3.0;1.0;0.0
EGR3;7.0;1.0;6.0;2.0;0.0;0.0;6.0;1.0;1.0
EHF;12.0;0.0;12.0;0.0;0.0;2.0;10.0;0.0;0.0
ELF1;38.0;3.0;35.0;4.0;2.0;7.0;30.0;3.0;1.0
ELF2;14.0;0.0;14.0;0.0;0.0;1.0;13.0;0.0;0.0
ELF3;18.0;2.0;17.0;1.0;2.0;5.0;14.0;0.0;1.0
ELF4;21.0;3.0;18.0;3.0;3.0;6.0;15.0;1.0;2.0
ELK1;5.0;0.0;4.0;0.0;1.0;1.0;4.0;0.0;0.0
ELK3;18.0;1.0;18.0;1.0;0.0;2.0;16.0;0.0;1.0
ELK4;21.0;2.0;19.0;2.0;2.0;6.0;15.0;1.0;1.0
EOMES;14.0;0.0;13.0;0.0;1.0;3.0;11.0;0.0;0.0
EPAS1;12.0;2.0;12.0;1.0;1.0;3.0;10.0;1.0;0.0
ERF;14.0;1.0;12.0;2.0;1.0;2.0;11.0;1.0;1.0
ERG;14.0;2.0;14.0;2.0;0.0;1.0;13.0;0.0;2.0
ESRRA;15.0;1.0;15.0;0.0;1.0;4.0;12.0;0.0;0.0
ESRRG;2.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0
ETS1;10.0;1.0;10.0;0.0;1.0;3.0;8.0;0.0;0.0
ETS2;17.0;1.0;15.0;2.0;1.0;2.0;14.0;1.0;1.0
ETV2;5.0;2.0;4.0;2.0;1.0;2.0;3.0;1.0;1.0
ETV3;16.0;2.0;15.0;1.0;2.0;4.0;13.0;0.0;1.0
ETV5;6.0;0.0;6.0;0.0;0.0;1.0;5.0;0.0;0.0
ETV6;6.0;0.0;6.0;0.0;0.0;0.0;6.0;0.0;0.0
ETV7;14.0;1.0;14.0;1.0;0.0;2.0;12.0;0.0;1.0
FAM200B;17.0;1.0;17.0;1.0;0.0;2.0;15.0;0.0;1.0
FBXL19;16.0;1.0;16.0;0.0;1.0;4.0;13.0;0.0;0.0
FIZ1;15.0;1.0;13.0;2.0;1.0;3.0;11.0;1.0;1.0
FLI1;13.0;0.0;13.0;0.0;0.0;3.0;10.0;0.0;0.0
FLYWCH1;14.0;0.0;13.0;0.0;1.0;3.0;11.0;0.0;0.0
FOS;17.0;1.0;17.0;1.0;0.0;2.0;15.0;0.0;1.0
FOSB;3.0;1.0;2.0;2.0;0.0;0.0;2.0;1.0;1.0
FOSL1;11.0;1.0;11.0;0.0;1.0;3.0;9.0;0.0;0.0
FOSL2;12.0;2.0;12.0;1.0;1.0;4.0;9.0;1.0;0.0
FOXA3;14.0;0.0;12.0;1.0;1.0;2.0;11.0;1.0;0.0
FOXC1;8.0;1.0;8.0;1.0;0.0;1.0;7.0;0.0;1.0
FOXC2;18.0;0.0;18.0;0.0;0.0;4.0;14.0;0.0;0.0
FOXF1;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
FOXF2;3.0;1.0;3.0;1.0;0.0;0.0;3.0;0.0;1.0
FOXJ1;22.0;2.0;22.0;1.0;1.0;4.0;19.0;0.0;1.0
FOXJ2;18.0;0.0;18.0;0.0;0.0;2.0;16.0;0.0;0.0
FOXJ3;20.0;0.0;20.0;0.0;0.0;2.0;18.0;0.0;0.0
FOXK1;31.0;2.0;30.0;2.0;1.0;6.0;25.0;2.0;0.0
FOXK2;22.0;2.0;22.0;1.0;1.0;5.0;18.0;0.0;1.0
FOXM1;24.0;1.0;23.0;1.0;1.0;4.0;20.0;0.0;1.0
FOXN2;6.0;1.0;6.0;1.0;0.0;0.0;6.0;1.0;0.0
FOXN3;15.0;1.0;15.0;1.0;0.0;1.0;14.0;0.0;1.0
FOXO1;14.0;1.0;13.0;1.0;1.0;2.0;12.0;1.0;0.0
FOXO3;2.0;1.0;2.0;1.0;0.0;0.0;2.0;0.0;1.0
FOXO4;7.0;1.0;6.0;1.0;1.0;3.0;4.0;0.0;1.0
FOXP2;2.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0
FOXP3;16.0;3.0;15.0;2.0;2.0;5.0;12.0;0.0;2.0
FOXP4;16.0;1.0;15.0;1.0;1.0;3.0;13.0;0.0;1.0
FOXS1;15.0;0.0;15.0;0.0;0.0;1.0;14.0;0.0;0.0
GABPA;19.0;2.0;19.0;2.0;0.0;2.0;17.0;0.0;2.0
GATA2;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
GATA3;18.0;1.0;17.0;0.0;2.0;5.0;14.0;0.0;0.0
GATA6;5.0;1.0;5.0;1.0;0.0;0.0;5.0;0.0;1.0
GATAD2A;16.0;3.0;14.0;2.0;3.0;5.0;12.0;0.0;2.0
GATAD2B;14.0;2.0;13.0;1.0;2.0;5.0;10.0;0.0;1.0
GFI1;16.0;0.0;16.0;0.0;0.0;2.0;14.0;0.0;0.0
GLI1;4.0;0.0;4.0;0.0;0.0;0.0;4.0;0.0;0.0
GLI2;11.0;1.0;11.0;1.0;0.0;1.0;10.0;1.0;0.0
GLI3;6.0;1.0;6.0;1.0;0.0;1.0;5.0;1.0;0.0
GLI4;27.0;2.0;25.0;4.0;0.0;5.0;20.0;2.0;2.0
GLIS2;21.0;0.0;20.0;0.0;1.0;5.0;16.0;0.0;0.0
GLIS3;6.0;1.0;6.0;1.0;0.0;0.0;6.0;0.0;1.0
GLYR1;19.0;0.0;19.0;0.0;0.0;4.0;15.0;0.0;0.0
GMEB1;5.0;0.0;5.0;0.0;0.0;0.0;5.0;0.0;0.0
GMEB2;49.0;1.0;47.0;0.0;3.0;11.0;39.0;0.0;0.0
GPBP1;18.0;0.0;17.0;0.0;1.0;5.0;13.0;0.0;0.0
GRHL1;2.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0
GRHL3;2.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0
GTF2B;10.0;0.0;10.0;0.0;0.0;1.0;9.0;0.0;0.0
GTF2I;30.0;3.0;29.0;3.0;1.0;8.0;22.0;2.0;1.0
GTF2IRD1;16.0;0.0;15.0;1.0;0.0;3.0;12.0;1.0;0.0
GTF3A;39.0;1.0;36.0;3.0;1.0;6.0;31.0;3.0;0.0
GZF1;3.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0
HBP1;27.0;1.0;25.0;2.0;1.0;6.0;20.0;2.0;0.0
HES1;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0
HES4;24.0;0.0;24.0;0.0;0.0;5.0;19.0;0.0;0.0
HES6;13.0;1.0;13.0;0.0;1.0;3.0;11.0;0.0;0.0
HEYL;23.0;1.0;23.0;1.0;0.0;4.0;19.0;0.0;1.0
HHEX;5.0;0.0;5.0;0.0;0.0;1.0;4.0;0.0;0.0
HIC1;34.0;3.0;34.0;3.0;0.0;5.0;29.0;0.0;3.0
HIC2;10.0;0.0;10.0;0.0;0.0;1.0;9.0;0.0;0.0
HIF1A;14.0;0.0;14.0;0.0;0.0;2.0;12.0;0.0;0.0
HIF3A;9.0;1.0;7.0;2.0;1.0;2.0;6.0;1.0;1.0
HIVEP1;10.0;1.0;10.0;1.0;0.0;0.0;10.0;0.0;1.0
HIVEP2;5.0;2.0;4.0;3.0;0.0;0.0;4.0;1.0;2.0
HKR1;5.0;1.0;3.0;2.0;1.0;1.0;3.0;1.0;1.0
HLF;11.0;1.0;11.0;1.0;0.0;1.0;10.0;0.0;1.0
HLX;3.0;1.0;2.0;1.0;1.0;1.0;2.0;0.0;1.0
HMBOX1;4.0;1.0;3.0;2.0;0.0;0.0;3.0;1.0;1.0
HMG20A;16.0;1.0;16.0;0.0;1.0;2.0;15.0;0.0;0.0
HMG20B;14.0;4.0;13.0;3.0;2.0;3.0;12.0;0.0;3.0
HMGA1;13.0;1.0;13.0;1.0;0.0;2.0;11.0;0.0;1.0
HMGN3;7.0;2.0;7.0;1.0;1.0;2.0;6.0;0.0;1.0
HOXA2;4.0;0.0;4.0;0.0;0.0;1.0;3.0;0.0;0.0
HOXA3;14.0;1.0;14.0;1.0;0.0;2.0;12.0;1.0;0.0
HOXA4;19.0;1.0;18.0;0.0;2.0;4.0;16.0;0.0;0.0
HOXA5;4.0;0.0;4.0;0.0;0.0;1.0;3.0;0.0;0.0
HOXA7;9.0;0.0;8.0;1.0;0.0;2.0;6.0;1.0;0.0
HOXB2;5.0;1.0;5.0;1.0;0.0;1.0;4.0;0.0;1.0
HOXB3;12.0;0.0;12.0;0.0;0.0;2.0;10.0;0.0;0.0
HOXB4;13.0;1.0;13.0;1.0;0.0;1.0;12.0;0.0;1.0
HOXB5;11.0;1.0;11.0;1.0;0.0;2.0;9.0;0.0;1.0
HOXB6;15.0;2.0;15.0;1.0;1.0;4.0;12.0;0.0;1.0
HOXB7;4.0;0.0;4.0;0.0;0.0;0.0;4.0;0.0;0.0
HSF1;32.0;3.0;29.0;4.0;2.0;9.0;22.0;2.0;2.0
HSF4;17.0;0.0;17.0;0.0;0.0;4.0;13.0;0.0;0.0
IKZF1;28.0;2.0;26.0;2.0;2.0;6.0;22.0;2.0;0.0
IKZF3;20.0;3.0;20.0;2.0;1.0;5.0;16.0;0.0;2.0
IKZF4;19.0;1.0;19.0;0.0;1.0;3.0;17.0;0.0;0.0
IKZF5;10.0;0.0;10.0;0.0;0.0;2.0;8.0;0.0;0.0
IRF1;7.0;0.0;6.0;0.0;1.0;2.0;5.0;0.0;0.0
IRF2;4.0;0.0;4.0;0.0;0.0;0.0;4.0;0.0;0.0
IRF3;15.0;1.0;13.0;2.0;1.0;3.0;11.0;1.0;1.0
IRF4;15.0;1.0;15.0;1.0;0.0;2.0;13.0;0.0;1.0
IRF5;19.0;1.0;18.0;2.0;0.0;2.0;16.0;2.0;0.0
IRF6;18.0;2.0;17.0;1.0;2.0;5.0;14.0;0.0;1.0
IRF7;3.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0
IRF8;15.0;0.0;15.0;0.0;0.0;2.0;13.0;0.0;0.0
IRF9;11.0;0.0;11.0;0.0;0.0;0.0;11.0;0.0;0.0
IRX5;15.0;0.0;14.0;1.0;0.0;3.0;11.0;1.0;0.0
JAZF1;26.0;3.0;24.0;3.0;2.0;6.0;20.0;2.0;1.0
JDP2;10.0;0.0;10.0;0.0;0.0;1.0;9.0;0.0;0.0
JRK;17.0;2.0;17.0;1.0;1.0;8.0;10.0;0.0;1.0
JRKL;12.0;2.0;12.0;1.0;1.0;3.0;10.0;0.0;1.0
JUN;22.0;0.0;22.0;0.0;0.0;4.0;18.0;0.0;0.0
JUNB;4.0;0.0;4.0;0.0;0.0;1.0;3.0;0.0;0.0
JUND;6.0;1.0;6.0;1.0;0.0;0.0;6.0;0.0;1.0
KAT7;19.0;2.0;19.0;1.0;1.0;4.0;16.0;0.0;1.0
KCMF1;13.0;2.0;13.0;1.0;1.0;3.0;11.0;1.0;0.0
KCNIP3;11.0;2.0;11.0;1.0;1.0;3.0;9.0;1.0;0.0
KDM2A;13.0;1.0;12.0;1.0;1.0;4.0;9.0;1.0;0.0
KDM5B;14.0;2.0;13.0;1.0;2.0;4.0;11.0;0.0;1.0
KIN;2.0;1.0;2.0;0.0;1.0;1.0;2.0;0.0;0.0
KLF10;29.0;2.0;27.0;4.0;0.0;7.0;20.0;2.0;2.0
KLF11;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
KLF12;17.0;1.0;16.0;0.0;2.0;2.0;16.0;0.0;0.0
KLF13;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
KLF15;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0
KLF16;14.0;2.0;13.0;1.0;2.0;3.0;12.0;0.0;1.0
KLF2;4.0;1.0;4.0;1.0;0.0;0.0;4.0;0.0;1.0
KLF3;12.0;0.0;12.0;0.0;0.0;1.0;11.0;0.0;0.0
KLF4;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
KLF5;40.0;2.0;37.0;3.0;2.0;7.0;32.0;3.0;0.0
KLF6;20.0;1.0;20.0;0.0;1.0;5.0;16.0;0.0;0.0
KLF7;13.0;1.0;13.0;1.0;0.0;1.0;12.0;1.0;0.0
KLF9;2.0;1.0;2.0;1.0;0.0;0.0;2.0;0.0;1.0
KMT2A;14.0;2.0;14.0;1.0;1.0;4.0;11.0;0.0;1.0
KMT2B;14.0;3.0;11.0;3.0;3.0;4.0;10.0;1.0;2.0
L3MBTL1;47.0;1.0;46.0;0.0;2.0;10.0;38.0;0.0;0.0
L3MBTL4;23.0;1.0;23.0;1.0;0.0;2.0;21.0;0.0;1.0
LCOR;10.0;1.0;10.0;0.0;1.0;3.0;8.0;0.0;0.0
LCORL;15.0;1.0;15.0;1.0;0.0;1.0;14.0;0.0;1.0
LEF1;6.0;0.0;6.0;0.0;0.0;0.0;6.0;0.0;0.0
LHX6;6.0;0.0;5.0;0.0;1.0;1.0;5.0;0.0;0.0
LIN54;17.0;1.0;17.0;1.0;0.0;1.0;16.0;0.0;1.0
LTF;12.0;0.0;11.0;0.0;1.0;3.0;9.0;0.0;0.0
LYL1;6.0;1.0;5.0;1.0;1.0;1.0;5.0;0.0;1.0
MAF;16.0;0.0;14.0;1.0;1.0;5.0;10.0;1.0;0.0
MAFB;13.0;0.0;13.0;0.0;0.0;1.0;12.0;0.0;0.0
MAFF;21.0;0.0;21.0;0.0;0.0;3.0;18.0;0.0;0.0
MAFG;21.0;2.0;21.0;1.0;1.0;5.0;17.0;0.0;1.0
MAFK;31.0;2.0;29.0;2.0;2.0;9.0;22.0;2.0;0.0
MAZ;13.0;1.0;13.0;0.0;1.0;4.0;10.0;0.0;0.0
MBD1;29.0;4.0;28.0;3.0;2.0;3.0;27.0;0.0;3.0
MBD3;14.0;3.0;13.0;2.0;2.0;3.0;12.0;0.0;2.0
MBD4;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
MBD6;17.0;0.0;17.0;0.0;0.0;2.0;15.0;0.0;0.0
MBNL2;37.0;2.0;34.0;3.0;2.0;6.0;30.0;3.0;0.0
MECOM;13.0;1.0;13.0;1.0;0.0;2.0;11.0;0.0;1.0
MEF2A;16.0;1.0;16.0;0.0;1.0;4.0;13.0;0.0;0.0
MEF2B;12.0;2.0;11.0;2.0;1.0;2.0;10.0;0.0;2.0
MEF2C;7.0;1.0;6.0;1.0;1.0;2.0;5.0;0.0;1.0
MEF2D;6.0;0.0;5.0;0.0;1.0;1.0;5.0;0.0;0.0
MEIS1;4.0;2.0;4.0;1.0;1.0;1.0;4.0;1.0;0.0
MEIS2;13.0;1.0;12.0;1.0;1.0;3.0;10.0;0.0;1.0
MEIS3;13.0;1.0;11.0;2.0;1.0;2.0;10.0;1.0;1.0
MGA;23.0;1.0;21.0;3.0;0.0;3.0;18.0;2.0;1.0
MITF;12.0;1.0;12.0;1.0;0.0;1.0;11.0;0.0;1.0
MKX;9.0;0.0;9.0;0.0;0.0;2.0;7.0;0.0;0.0
MLX;19.0;2.0;19.0;1.0;1.0;5.0;15.0;0.0;1.0
MLXIP;7.0;0.0;7.0;0.0;0.0;0.0;7.0;0.0;0.0
MLXIPL;33.0;2.0;30.0;3.0;2.0;9.0;23.0;3.0;0.0
MNT;26.0;2.0;26.0;1.0;1.0;5.0;22.0;0.0;1.0
MSANTD3;16.0;1.0;16.0;1.0;0.0;3.0;13.0;0.0;1.0
MSC;22.0;2.0;20.0;4.0;0.0;4.0;16.0;2.0;2.0
MSX1;17.0;0.0;17.0;0.0;0.0;1.0;16.0;0.0;0.0
MTF1;17.0;0.0;16.0;0.0;1.0;3.0;14.0;0.0;0.0
MXD1;6.0;0.0;5.0;1.0;0.0;1.0;4.0;1.0;0.0
MXD3;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
MXD4;14.0;1.0;14.0;0.0;1.0;3.0;12.0;0.0;0.0
MXI1;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
MYB;8.0;3.0;8.0;2.0;1.0;3.0;6.0;0.0;2.0
MYBL1;7.0;0.0;7.0;0.0;0.0;1.0;6.0;0.0;0.0
MYBL2;47.0;1.0;47.0;0.0;1.0;9.0;39.0;0.0;0.0
MYC;34.0;3.0;31.0;4.0;2.0;10.0;23.0;2.0;2.0
MYCL;8.0;0.0;8.0;0.0;0.0;0.0;8.0;0.0;0.0
MYNN;14.0;1.0;13.0;2.0;0.0;2.0;11.0;1.0;1.0
MYPOP;6.0;0.0;6.0;0.0;0.0;1.0;5.0;0.0;0.0
MYRF;8.0;1.0;8.0;0.0;1.0;2.0;7.0;0.0;0.0
MYSM1;13.0;0.0;13.0;0.0;0.0;1.0;12.0;0.0;0.0
MZF1;12.0;0.0;10.0;1.0;1.0;2.0;9.0;1.0;0.0
NACC2;3.0;1.0;3.0;1.0;0.0;0.0;3.0;0.0;1.0
NCOA1;14.0;2.0;14.0;1.0;1.0;4.0;11.0;1.0;0.0
NCOA2;35.0;3.0;32.0;4.0;2.0;10.0;24.0;2.0;2.0
NCOA3;48.0;1.0;47.0;0.0;2.0;10.0;39.0;0.0;0.0
NFAT5;17.0;0.0;17.0;0.0;0.0;4.0;13.0;0.0;0.0
NFATC1;3.0;3.0;3.0;2.0;1.0;2.0;2.0;0.0;2.0
NFATC2;42.0;1.0;41.0;0.0;2.0;8.0;35.0;0.0;0.0
NFATC3;15.0;0.0;15.0;0.0;0.0;4.0;11.0;0.0;0.0
NFATC4;15.0;0.0;14.0;0.0;1.0;1.0;14.0;0.0;0.0
NFE2;12.0;1.0;12.0;0.0;1.0;2.0;11.0;0.0;0.0
NFE2L1;18.0;1.0;17.0;2.0;0.0;3.0;14.0;1.0;1.0
NFE2L2;13.0;1.0;13.0;1.0;0.0;2.0;11.0;1.0;0.0
NFE2L3;34.0;2.0;32.0;2.0;2.0;9.0;25.0;2.0;0.0
NFIA;19.0;0.0;19.0;0.0;0.0;2.0;17.0;0.0;0.0
NFIB;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
NFIC;6.0;0.0;6.0;0.0;0.0;0.0;6.0;0.0;0.0
