driver;Driver_2_cluster_label_2.0;Driver_2_cluster_label_2.1;Driver_3_cluster_label_3.0;Driver_3_cluster_label_3.1;Driver_3_cluster_label_3.2;Driver_4_cluster_label_4.0;Driver_4_cluster_label_4.1;Driver_4_cluster_label_4.2;Driver_4_cluster_label_4.3
A1BG;8.0;6.0;7.0;3.0;4.0;2.0;1.0;6.0;5.0
A2M;6.0;5.0;6.0;2.0;3.0;1.0;1.0;6.0;3.0
AAAS;6.0;1.0;4.0;2.0;1.0;2.0;2.0;2.0;1.0
AACS;4.0;1.0;3.0;1.0;1.0;3.0;1.0;1.0;0.0
AADAT;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
AAK1;12.0;4.0;8.0;2.0;6.0;4.0;4.0;4.0;4.0
AARS;4.0;1.0;4.0;0.0;1.0;2.0;0.0;3.0;0.0
AASS;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
ABAT;2.0;2.0;2.0;0.0;2.0;1.0;1.0;0.0;2.0
ABCA1;6.0;5.0;1.0;6.0;4.0;3.0;0.0;2.0;6.0
ABCA3;3.0;2.0;4.0;0.0;1.0;1.0;1.0;1.0;2.0
ABCA7;3.0;1.0;4.0;0.0;0.0;2.0;1.0;1.0;0.0
ABCB1;5.0;4.0;5.0;1.0;3.0;2.0;4.0;0.0;3.0
ABCB4;4.0;3.0;4.0;1.0;2.0;3.0;1.0;1.0;2.0
ABCB7;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
ABCC3;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0
ABCC8;7.0;2.0;6.0;3.0;0.0;1.0;3.0;5.0;0.0
ABCE1;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
ABCG2;3.0;0.0;2.0;1.0;0.0;1.0;1.0;1.0;0.0
ABCG8;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
ABHD5;2.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0
ABI1;12.0;1.0;8.0;3.0;2.0;3.0;1.0;5.0;4.0
ABI2;11.0;1.0;6.0;3.0;3.0;3.0;3.0;6.0;0.0
ABL1;8.0;5.0;5.0;5.0;3.0;4.0;1.0;5.0;3.0
ABL2;13.0;4.0;8.0;5.0;4.0;3.0;5.0;5.0;4.0
ABLIM2;8.0;1.0;5.0;2.0;2.0;2.0;2.0;3.0;2.0
ABLIM3;7.0;3.0;3.0;3.0;4.0;2.0;1.0;2.0;5.0
ABR;0.0;3.0;1.0;1.0;1.0;0.0;0.0;1.0;2.0
ABRAXAS1;3.0;1.0;1.0;2.0;1.0;0.0;1.0;2.0;1.0
ABRAXAS2;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
ABTB1;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
ACAA1;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
ACAA2;2.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0
ACACB;13.0;5.0;9.0;5.0;4.0;5.0;3.0;6.0;4.0
ACAD9;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
ACADL;2.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0
ACADM;4.0;4.0;5.0;0.0;3.0;2.0;1.0;1.0;4.0
ACADS;3.0;1.0;3.0;1.0;0.0;2.0;1.0;1.0;0.0
ACAN;5.0;3.0;4.0;2.0;2.0;2.0;2.0;2.0;2.0
ACAP1;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
ACAT1;7.0;1.0;3.0;2.0;3.0;4.0;2.0;1.0;1.0
ACAT2;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0
ACD;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
ACE;6.0;4.0;5.0;2.0;3.0;2.0;2.0;2.0;4.0
ACE2;1.0;3.0;0.0;2.0;2.0;1.0;0.0;0.0;3.0
ACER1;3.0;0.0;2.0;1.0;0.0;1.0;1.0;1.0;0.0
ACER3;3.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
ACHE;1.0;3.0;1.0;0.0;3.0;0.0;1.0;0.0;3.0
ACIN1;2.0;1.0;2.0;0.0;1.0;1.0;1.0;0.0;1.0
ACKR1;5.0;2.0;2.0;3.0;2.0;2.0;0.0;3.0;2.0
ACKR3;6.0;4.0;5.0;0.0;5.0;1.0;3.0;1.0;5.0
ACLY;7.0;2.0;4.0;4.0;1.0;2.0;2.0;4.0;1.0
ACO2;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
ACOT12;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
ACOT8;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
ACOX1;12.0;6.0;9.0;4.0;5.0;7.0;3.0;3.0;5.0
ACP1;3.0;3.0;1.0;0.0;5.0;0.0;2.0;0.0;4.0
ACSBG1;2.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0
ACSF3;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
ACSL1;4.0;1.0;2.0;2.0;1.0;0.0;2.0;2.0;1.0
ACSL3;4.0;0.0;3.0;1.0;0.0;1.0;1.0;1.0;1.0
ACSL5;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0
ACSL6;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
ACSM4;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
ACSS1;1.0;1.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0
ACSS2;1.0;3.0;0.0;0.0;4.0;1.0;0.0;1.0;2.0
ACSS3;2.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0
ACTA1;21.0;8.0;15.0;6.0;8.0;9.0;7.0;7.0;6.0
ACTA2;7.0;2.0;2.0;3.0;4.0;2.0;1.0;1.0;5.0
ACTB;9.0;8.0;8.0;2.0;7.0;5.0;2.0;1.0;9.0
ACTBL2;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
ACTC1;2.0;2.0;1.0;1.0;2.0;1.0;0.0;1.0;2.0
ACTG1;20.0;9.0;14.0;7.0;8.0;7.0;4.0;10.0;8.0
ACTG2;6.0;1.0;3.0;2.0;2.0;2.0;3.0;0.0;2.0
ACTL6A;14.0;0.0;9.0;4.0;1.0;5.0;4.0;4.0;1.0
ACTL6B;4.0;2.0;2.0;1.0;3.0;2.0;2.0;0.0;2.0
ACTN1;6.0;3.0;6.0;0.0;3.0;3.0;1.0;3.0;2.0
ACTN2;24.0;10.0;13.0;11.0;10.0;9.0;7.0;11.0;7.0
ACTN4;13.0;3.0;11.0;4.0;1.0;4.0;4.0;6.0;2.0
ACTR10;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
ACTR1A;10.0;3.0;6.0;3.0;4.0;2.0;3.0;3.0;5.0
ACTR1B;8.0;1.0;3.0;4.0;2.0;3.0;1.0;3.0;2.0
ACTR2;8.0;1.0;4.0;3.0;2.0;3.0;1.0;4.0;1.0
ACTR3;6.0;2.0;3.0;1.0;4.0;3.0;1.0;2.0;2.0
ACTR5;1.0;1.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0
ACTR6;2.0;1.0;0.0;1.0;2.0;1.0;0.0;1.0;1.0
ACTR8;5.0;1.0;2.0;3.0;1.0;1.0;1.0;3.0;1.0
ACVR1;3.0;2.0;2.0;1.0;2.0;1.0;1.0;1.0;2.0
ACVR1B;12.0;3.0;8.0;3.0;4.0;3.0;6.0;2.0;4.0
ACVR1C;5.0;2.0;3.0;3.0;1.0;2.0;1.0;2.0;2.0
ACVR2A;8.0;1.0;5.0;3.0;1.0;4.0;3.0;1.0;1.0
ACVR2B;6.0;2.0;2.0;6.0;0.0;1.0;0.0;6.0;1.0
ACVRL1;5.0;2.0;4.0;1.0;2.0;1.0;2.0;2.0;2.0
ACYP2;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
ADA;6.0;2.0;7.0;1.0;0.0;2.0;3.0;3.0;0.0
ADA2;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
ADAD1;2.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0
ADAM10;8.0;4.0;2.0;7.0;3.0;4.0;1.0;4.0;3.0
ADAM12;8.0;5.0;5.0;2.0;6.0;3.0;2.0;3.0;5.0
ADAM15;9.0;3.0;4.0;5.0;3.0;2.0;3.0;4.0;3.0
ADAM17;6.0;6.0;5.0;0.0;7.0;2.0;3.0;1.0;6.0
ADAM2;5.0;6.0;3.0;1.0;7.0;1.0;2.0;2.0;6.0
ADAM20;2.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0
ADAM22;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
ADAM28;6.0;1.0;5.0;1.0;1.0;2.0;3.0;1.0;1.0
ADAM8;2.0;2.0;1.0;0.0;3.0;0.0;1.0;0.0;3.0
ADAM9;4.0;2.0;3.0;1.0;2.0;3.0;1.0;0.0;2.0
ADAMTS1;3.0;0.0;1.0;2.0;0.0;2.0;0.0;0.0;1.0
ADAMTS10;2.0;1.0;2.0;0.0;1.0;1.0;1.0;0.0;1.0
ADAMTS12;2.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0
ADAMTS13;3.0;0.0;2.0;1.0;0.0;1.0;2.0;0.0;0.0
ADAMTS14;2.0;1.0;1.0;0.0;2.0;1.0;0.0;0.0;2.0
