driver;Driver_2_cluster_label_2.0;Driver_2_cluster_label_2.1;Driver_3_cluster_label_3.0;Driver_3_cluster_label_3.1;Driver_3_cluster_label_3.2;Driver_4_cluster_label_4.0;Driver_4_cluster_label_4.1;Driver_4_cluster_label_4.2;Driver_4_cluster_label_4.3
AASDH;2.0;2.0;1.0;1.0;2.0;1.0;0.0;2.0;1.0
ABCA12;8.0;17.0;9.0;15.0;1.0;11.0;4.0;3.0;7.0
ABCA4;5.0;2.0;3.0;3.0;1.0;2.0;1.0;2.0;2.0
ABCA7;4.0;9.0;6.0;6.0;1.0;6.0;0.0;4.0;3.0
ABCB1;5.0;7.0;5.0;4.0;3.0;5.0;0.0;5.0;2.0
ABCG5;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
ABL2;2.0;0.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0
ACSS2;9.0;12.0;10.0;9.0;2.0;11.0;4.0;2.0;4.0
ACTA1;2.0;3.0;3.0;0.0;2.0;3.0;0.0;2.0;0.0
ADAMTS10;1.0;2.0;1.0;2.0;0.0;2.0;0.0;0.0;1.0
ADAMTS12;2.0;4.0;3.0;2.0;1.0;4.0;0.0;2.0;0.0
ADAMTSL2;5.0;4.0;3.0;4.0;2.0;4.0;0.0;4.0;1.0
ADCY5;4.0;6.0;5.0;4.0;1.0;5.0;1.0;2.0;2.0
ADNP;9.0;16.0;12.0;11.0;2.0;12.0;4.0;3.0;6.0
AHNAK;8.0;18.0;12.0;11.0;3.0;12.0;3.0;5.0;6.0
AKAP6;6.0;9.0;7.0;6.0;2.0;7.0;1.0;5.0;2.0
AKAP9;2.0;13.0;4.0;10.0;1.0;6.0;1.0;4.0;4.0
ALK;4.0;5.0;5.0;3.0;1.0;2.0;1.0;5.0;1.0
ALPP;1.0;5.0;4.0;2.0;0.0;4.0;0.0;0.0;2.0
AMBN;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
ANGPTL1;0.0;2.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0
ANK2;3.0;12.0;5.0;9.0;1.0;6.0;1.0;4.0;4.0
ANK3;8.0;19.0;13.0;11.0;3.0;14.0;3.0;7.0;3.0
APC;62.0;103.0;84.0;63.0;18.0;81.0;23.0;24.0;37.0
APOB;6.0;4.0;9.0;0.0;1.0;9.0;0.0;1.0;0.0
ARFGEF1;5.0;5.0;5.0;4.0;1.0;5.0;1.0;1.0;3.0
ARFGEF2;11.0;16.0;12.0;11.0;4.0;13.0;5.0;4.0;5.0
ARHGAP22;3.0;9.0;4.0;6.0;2.0;3.0;1.0;5.0;3.0
ARHGAP6;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0
ARHGEF10;7.0;3.0;4.0;3.0;3.0;2.0;2.0;5.0;1.0
ARID1B;6.0;11.0;6.0;8.0;3.0;7.0;2.0;4.0;4.0
ARID2;6.0;7.0;4.0;6.0;3.0;6.0;1.0;4.0;2.0
ASH1L;8.0;10.0;9.0;7.0;2.0;8.0;2.0;4.0;4.0
ATP7A;2.0;5.0;4.0;3.0;0.0;4.0;1.0;0.0;2.0
ATP8B1;3.0;7.0;2.0;5.0;3.0;2.0;1.0;2.0;5.0
ATRX;4.0;5.0;4.0;4.0;1.0;4.0;2.0;1.0;2.0
B3GALT2;2.0;1.0;0.0;2.0;1.0;1.0;0.0;2.0;0.0
BAZ1B;2.0;4.0;3.0;3.0;0.0;2.0;1.0;2.0;1.0
BFSP1;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
