drivers;Driver_2_cluster_label_2.0;Driver_2_cluster_label_2.1;Driver_3_cluster_label_3.0;Driver_3_cluster_label_3.1;Driver_3_cluster_label_3.2;Driver_4_cluster_label_4.0;Driver_4_cluster_label_4.1;Driver_4_cluster_label_4.2;Driver_4_cluster_label_4.3
ATF1;1.0;5.0;0.0;5.0;1.0;5.0;0.0;1.0;0.0
ATF2;5.0;11.0;5.0;10.0;1.0;11.0;1.0;2.0;2.0
ATF3;1.0;4.0;2.0;3.0;0.0;4.0;0.0;0.0;1.0
ATF5;0.0;3.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0
ATF6;3.0;15.0;5.0;11.0;2.0;11.0;4.0;2.0;1.0
ATF6B;3.0;13.0;3.0;11.0;2.0;12.0;1.0;2.0;1.0
ATF7;5.0;15.0;3.0;14.0;3.0;15.0;0.0;3.0;2.0
ATMIN;1.0;7.0;2.0;5.0;1.0;5.0;2.0;1.0;0.0
ATOH8;0.0;3.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0
BACH1;2.0;8.0;0.0;9.0;1.0;9.0;0.0;1.0;0.0
BARX2;4.0;23.0;1.0;23.0;3.0;23.0;0.0;4.0;0.0
BATF;4.0;15.0;7.0;10.0;2.0;11.0;5.0;2.0;1.0
BATF2;2.0;4.0;1.0;4.0;1.0;4.0;1.0;1.0;0.0
BATF3;0.0;3.0;1.0;2.0;0.0;1.0;1.0;1.0;0.0
BAZ2A;5.0;18.0;3.0;17.0;3.0;18.0;0.0;3.0;2.0
BBX;7.0;14.0;2.0;14.0;5.0;12.0;2.0;7.0;0.0
BCL11B;9.0;14.0;6.0;11.0;6.0;13.0;4.0;6.0;0.0
BCL6;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
BCL6B;9.0;21.0;12.0;14.0;4.0;14.0;8.0;4.0;4.0
BHLHA15;1.0;5.0;1.0;5.0;0.0;6.0;0.0;0.0;0.0
BHLHE22;1.0;16.0;1.0;15.0;1.0;15.0;1.0;1.0;0.0
BHLHE40;8.0;15.0;4.0;13.0;6.0;14.0;2.0;6.0;1.0
BNC1;0.0;5.0;0.0;5.0;0.0;5.0;0.0;0.0;0.0
BNC2;10.0;30.0;8.0;28.0;4.0;28.0;5.0;5.0;2.0
BPTF;5.0;24.0;5.0;21.0;3.0;20.0;5.0;4.0;0.0
BRF2;3.0;20.0;1.0;21.0;1.0;19.0;0.0;3.0;1.0
CAMTA1;1.0;11.0;3.0;8.0;1.0;9.0;2.0;1.0;0.0
CAMTA2;2.0;15.0;6.0;10.0;1.0;9.0;6.0;2.0;0.0
CARF;1.0;6.0;4.0;3.0;0.0;5.0;1.0;0.0;1.0
CASZ1;3.0;14.0;5.0;10.0;2.0;10.0;5.0;2.0;0.0
CBX2;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
CC2D1A;6.0;18.0;4.0;15.0;5.0;16.0;3.0;5.0;0.0
CCDC17;10.0;30.0;12.0;24.0;4.0;25.0;10.0;4.0;1.0
