drivers;Driver_2_cluster_label_2.0;Driver_2_cluster_label_2.1;Driver_3_cluster_label_3.0;Driver_3_cluster_label_3.1;Driver_3_cluster_label_3.2;Driver_4_cluster_label_4.0;Driver_4_cluster_label_4.1;Driver_4_cluster_label_4.2;Driver_4_cluster_label_4.3
ADNP;18.0;55.0;23.0;42.0;8.0;10.0;15.0;8.0;40.0
ADNP2;9.0;20.0;7.0;18.0;4.0;4.0;4.0;4.0;17.0
AEBP1;11.0;19.0;8.0;15.0;7.0;2.0;7.0;7.0;14.0
AEBP2;11.0;28.0;9.0;24.0;6.0;3.0;7.0;6.0;23.0
AHCTF1;33.0;57.0;19.0;53.0;18.0;8.0;16.0;18.0;48.0
AHDC1;6.0;9.0;3.0;9.0;3.0;1.0;3.0;3.0;8.0
AHR;1.0;7.0;1.0;6.0;1.0;0.0;1.0;1.0;6.0
AKAP8;9.0;27.0;7.0;25.0;4.0;4.0;3.0;4.0;25.0
AKAP8L;11.0;33.0;7.0;30.0;7.0;2.0;5.0;7.0;30.0
AKNA;8.0;28.0;8.0;23.0;5.0;5.0;4.0;5.0;22.0
ANKZF1;15.0;28.0;13.0;23.0;7.0;7.0;6.0;7.0;23.0
AR;8.0;15.0;6.0;11.0;6.0;2.0;4.0;6.0;11.0
ARHGAP35;16.0;30.0;15.0;26.0;5.0;4.0;10.0;5.0;27.0
ARID2;12.0;22.0;9.0;20.0;5.0;2.0;7.0;5.0;20.0
ARID3A;2.0;4.0;2.0;3.0;1.0;1.0;1.0;1.0;3.0
ARID3B;5.0;9.0;2.0;9.0;3.0;0.0;2.0;3.0;9.0
ARID5A;5.0;18.0;5.0;16.0;2.0;1.0;4.0;2.0;16.0
ARID5B;4.0;1.0;1.0;1.0;3.0;1.0;0.0;3.0;1.0
ARNT;42.0;71.0;24.0;64.0;25.0;10.0;19.0;25.0;59.0
ARNTL;4.0;3.0;2.0;3.0;2.0;2.0;1.0;2.0;2.0
ARNTL2;12.0;21.0;6.0;21.0;6.0;3.0;4.0;6.0;20.0
ASCL2;3.0;11.0;2.0;10.0;2.0;1.0;1.0;2.0;10.0
ASH1L;41.0;65.0;30.0;54.0;22.0;13.0;19.0;22.0;52.0
ATF1;7.0;15.0;5.0;13.0;4.0;1.0;3.0;4.0;14.0
ATF2;11.0;16.0;9.0;16.0;2.0;3.0;7.0;2.0;15.0
ATF3;9.0;32.0;10.0;26.0;5.0;2.0;8.0;5.0;26.0
ATF4;2.0;3.0;0.0;3.0;2.0;0.0;0.0;2.0;3.0
ATF5;2.0;4.0;2.0;3.0;1.0;1.0;1.0;1.0;3.0
ATF6;42.0;61.0;28.0;53.0;22.0;15.0;16.0;22.0;50.0
ATF6B;14.0;27.0;9.0;24.0;8.0;4.0;7.0;8.0;22.0
ATF7;1.0;2.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0
ATMIN;12.0;10.0;7.0;9.0;6.0;3.0;7.0;6.0;6.0
ATOH8;3.0;8.0;4.0;5.0;2.0;1.0;3.0;2.0;5.0
BACH1;9.0;26.0;10.0;21.0;4.0;4.0;6.0;4.0;21.0
BATF;11.0;15.0;8.0;11.0;7.0;3.0;4.0;7.0;12.0
BATF2;3.0;27.0;9.0;21.0;0.0;3.0;6.0;0.0;21.0
BATF3;18.0;38.0;10.0;33.0;13.0;3.0;8.0;13.0;32.0
BAZ2A;11.0;12.0;5.0;12.0;6.0;2.0;5.0;6.0;10.0
BAZ2B;3.0;14.0;2.0;14.0;1.0;3.0;0.0;1.0;13.0
BBX;13.0;24.0;14.0;19.0;4.0;6.0;10.0;4.0;17.0
BCL11B;4.0;9.0;3.0;7.0;3.0;1.0;2.0;3.0;7.0
BCL6;13.0;27.0;11.0;20.0;9.0;3.0;8.0;9.0;20.0
BCL6B;0.0;12.0;2.0;10.0;0.0;0.0;3.0;0.0;9.0
BHLHA15;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0
BHLHE22;21.0;53.0;17.0;46.0;11.0;6.0;12.0;11.0;45.0
BHLHE40;7.0;28.0;6.0;23.0;6.0;2.0;5.0;6.0;22.0
BNC2;15.0;27.0;12.0;21.0;9.0;6.0;8.0;9.0;19.0
BPTF;44.0;95.0;48.0;72.0;19.0;23.0;26.0;19.0;71.0
BRF2;23.0;61.0;26.0;48.0;10.0;9.0;19.0;10.0;46.0
C11orf95;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
CAMTA1;34.0;59.0;20.0;52.0;21.0;7.0;14.0;21.0;51.0
CAMTA2;1.0;4.0;2.0;3.0;0.0;1.0;1.0;0.0;3.0
CARF;7.0;14.0;6.0;14.0;1.0;3.0;4.0;1.0;13.0
CBX2;8.0;30.0;11.0;23.0;4.0;3.0;8.0;4.0;23.0
CC2D1A;8.0;35.0;7.0;31.0;5.0;5.0;2.0;5.0;31.0
CCDC17;13.0;29.0;8.0;26.0;8.0;3.0;6.0;8.0;25.0
CDC5L;18.0;31.0;13.0;26.0;10.0;2.0;11.0;10.0;26.0
CEBPA;8.0;14.0;6.0;11.0;5.0;0.0;4.0;5.0;13.0
CEBPB;13.0;40.0;13.0;34.0;6.0;2.0;14.0;6.0;31.0
CEBPD;23.0;39.0;23.0;31.0;8.0;9.0;17.0;8.0;28.0
CEBPG;8.0;16.0;6.0;13.0;5.0;1.0;5.0;5.0;13.0
CEBPZ;5.0;16.0;3.0;16.0;2.0;1.0;2.0;2.0;16.0
CENPA;1.0;3.0;1.0;2.0;1.0;0.0;1.0;1.0;2.0
CENPB;16.0;23.0;11.0;22.0;6.0;5.0;5.0;6.0;23.0
CENPBD1;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
CENPT;9.0;15.0;5.0;15.0;4.0;2.0;4.0;4.0;14.0
CGGBP1;14.0;27.0;15.0;22.0;4.0;5.0;11.0;4.0;21.0
CHAMP1;15.0;15.0;6.0;14.0;10.0;4.0;5.0;10.0;11.0
CHCHD3;18.0;29.0;9.0;27.0;11.0;4.0;8.0;11.0;24.0
CIC;14.0;19.0;8.0;17.0;8.0;2.0;5.0;8.0;18.0
CLOCK;20.0;29.0;13.0;26.0;10.0;7.0;7.0;10.0;25.0
CREB1;11.0;25.0;12.0;20.0;4.0;5.0;8.0;4.0;19.0
CREB3;10.0;25.0;7.0;21.0;7.0;1.0;7.0;7.0;20.0
CREB3L2;10.0;15.0;4.0;12.0;9.0;0.0;6.0;9.0;10.0
CREB3L4;35.0;54.0;24.0;44.0;21.0;11.0;16.0;21.0;41.0
CREB5;3.0;17.0;4.0;15.0;1.0;1.0;3.0;1.0;15.0
CREBL2;15.0;23.0;8.0;23.0;7.0;5.0;4.0;7.0;22.0
CREBZF;15.0;42.0;17.0;34.0;6.0;4.0;13.0;6.0;34.0
CREM;5.0;18.0;7.0;14.0;2.0;3.0;5.0;2.0;13.0
CSRNP1;12.0;22.0;10.0;18.0;6.0;2.0;9.0;6.0;17.0
CSRNP2;12.0;18.0;10.0;14.0;6.0;4.0;6.0;6.0;14.0
CTCF;11.0;12.0;9.0;12.0;2.0;2.0;8.0;2.0;11.0
CUX1;5.0;6.0;4.0;4.0;3.0;1.0;4.0;3.0;3.0
CXXC1;4.0;14.0;3.0;12.0;3.0;1.0;3.0;3.0;11.0
CXXC4;7.0;12.0;3.0;12.0;4.0;3.0;0.0;4.0;12.0
DACH1;9.0;17.0;6.0;13.0;7.0;0.0;5.0;7.0;14.0
DBP;6.0;9.0;5.0;7.0;3.0;1.0;4.0;3.0;7.0
DEAF1;6.0;11.0;5.0;9.0;3.0;1.0;3.0;3.0;10.0
DMTF1;12.0;21.0;10.0;17.0;6.0;4.0;8.0;6.0;15.0
DNMT1;11.0;31.0;7.0;28.0;7.0;5.0;2.0;7.0;28.0
DNTTIP1;16.0;36.0;11.0;31.0;10.0;3.0;10.0;10.0;29.0
DOT1L;24.0;32.0;11.0;29.0;16.0;9.0;6.0;16.0;25.0
DPF3;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
DR1;17.0;41.0;13.0;35.0;10.0;6.0;8.0;10.0;34.0
