driver;Driver_2_cluster_label_2.0;Driver_2_cluster_label_2.1;Driver_3_cluster_label_3.0;Driver_3_cluster_label_3.1;Driver_3_cluster_label_3.2;Driver_4_cluster_label_4.0;Driver_4_cluster_label_4.1;Driver_4_cluster_label_4.2;Driver_4_cluster_label_4.3
A1BG;6.0;21.0;5.0;18.0;4.0;20.0;1.0;3.0;3.0
A2M;13.0;50.0;17.0;40.0;6.0;42.0;1.0;11.0;9.0
A4GALT;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
A4GNT;1.0;2.0;1.0;2.0;0.0;2.0;0.0;1.0;0.0
AAAS;3.0;13.0;4.0;11.0;1.0;13.0;1.0;1.0;1.0
AACS;2.0;8.0;3.0;5.0;2.0;7.0;0.0;2.0;1.0
AADAT;2.0;2.0;2.0;2.0;0.0;2.0;0.0;2.0;0.0
AAK1;3.0;24.0;3.0;22.0;2.0;21.0;0.0;3.0;3.0
AANAT;4.0;2.0;4.0;1.0;1.0;2.0;0.0;4.0;0.0
AARS;6.0;20.0;7.0;17.0;2.0;17.0;0.0;5.0;4.0
AARS2;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
AASDHPPT;1.0;5.0;3.0;3.0;0.0;4.0;0.0;2.0;0.0
AASS;4.0;4.0;4.0;4.0;0.0;4.0;0.0;4.0;0.0
ABAT;7.0;10.0;8.0;7.0;2.0;9.0;1.0;5.0;2.0
ABCA1;9.0;31.0;9.0;26.0;5.0;27.0;1.0;6.0;6.0
ABCA2;2.0;3.0;1.0;3.0;1.0;3.0;0.0;2.0;0.0
ABCA3;5.0;13.0;2.0;13.0;3.0;13.0;1.0;3.0;1.0
ABCA7;4.0;12.0;2.0;10.0;4.0;10.0;1.0;4.0;1.0
ABCB1;16.0;32.0;14.0;28.0;6.0;29.0;4.0;12.0;3.0
ABCB10;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
ABCB4;11.0;21.0;10.0;16.0;6.0;19.0;3.0;8.0;2.0
ABCB6;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
ABCB8;0.0;4.0;0.0;4.0;0.0;4.0;0.0;0.0;0.0
ABCC1;2.0;5.0;2.0;5.0;0.0;2.0;0.0;2.0;3.0
ABCC2;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0
