driver;Driver_2_cluster_label_2.0;Driver_2_cluster_label_2.1;Driver_3_cluster_label_3.0;Driver_3_cluster_label_3.1;Driver_3_cluster_label_3.2;Driver_4_cluster_label_4.0;Driver_4_cluster_label_4.1;Driver_4_cluster_label_4.2;Driver_4_cluster_label_4.3
A2M;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0
AAAS;12.0;91.0;3.0;89.0;11.0;11.0;1.0;1.0;90.0
AAK1;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
AARS;0.0;4.0;0.0;4.0;0.0;0.0;0.0;0.0;4.0
AASDHPPT;3.0;15.0;1.0;14.0;3.0;3.0;0.0;0.0;15.0
AATF;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0
ABAT;3.0;6.0;0.0;6.0;3.0;3.0;0.0;0.0;6.0
ABCA1;1.0;23.0;1.0;22.0;1.0;1.0;0.0;1.0;22.0
ABCA2;2.0;15.0;1.0;15.0;1.0;1.0;1.0;0.0;15.0
ABCB1;3.0;30.0;1.0;29.0;3.0;3.0;0.0;0.0;30.0
ABCB11;3.0;4.0;0.0;4.0;3.0;3.0;0.0;0.0;4.0
ABCB4;0.0;8.0;1.0;7.0;0.0;0.0;0.0;1.0;7.0
ABCB9;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
ABCC1;7.0;58.0;1.0;57.0;7.0;7.0;0.0;1.0;57.0
ABCC2;5.0;30.0;1.0;30.0;4.0;4.0;1.0;0.0;30.0
ABCC3;2.0;26.0;2.0;24.0;2.0;2.0;0.0;1.0;25.0
ABCC6;2.0;7.0;0.0;7.0;2.0;2.0;0.0;0.0;7.0
ABCC8;9.0;67.0;3.0;65.0;8.0;8.0;1.0;1.0;66.0
ABCC9;0.0;11.0;0.0;11.0;0.0;0.0;0.0;0.0;11.0
ABCD1;6.0;40.0;2.0;39.0;5.0;5.0;1.0;1.0;39.0
ABCD2;1.0;4.0;0.0;4.0;1.0;1.0;0.0;0.0;4.0
ABCD3;2.0;22.0;0.0;22.0;2.0;2.0;0.0;0.0;22.0
ABCE1;1.0;11.0;0.0;11.0;1.0;1.0;0.0;0.0;11.0
ABCF1;1.0;11.0;1.0;10.0;1.0;1.0;0.0;0.0;11.0
ABCG2;2.0;3.0;0.0;3.0;2.0;2.0;0.0;0.0;3.0
ABCG5;4.0;4.0;0.0;4.0;4.0;4.0;0.0;0.0;4.0
ABCG8;2.0;13.0;0.0;13.0;2.0;2.0;0.0;0.0;13.0
ABI1;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0
ABI2;8.0;72.0;2.0;70.0;8.0;8.0;0.0;1.0;71.0
ABL1;12.0;93.0;3.0;91.0;11.0;11.0;1.0;1.0;92.0
ABL2;0.0;9.0;1.0;8.0;0.0;0.0;0.0;1.0;8.0
ACAA2;5.0;20.0;0.0;20.0;5.0;5.0;0.0;0.0;20.0
ACACA;3.0;28.0;0.0;28.0;3.0;3.0;0.0;0.0;28.0
ACACB;2.0;20.0;0.0;20.0;2.0;2.0;0.0;0.0;20.0
ACAD8;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
ACADL;2.0;7.0;0.0;7.0;2.0;2.0;0.0;0.0;7.0
ACADM;9.0;51.0;0.0;51.0;9.0;9.0;0.0;0.0;51.0
ACADS;8.0;37.0;3.0;35.0;7.0;7.0;1.0;1.0;36.0
ACADSB;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;3.0
ACAN;8.0;58.0;2.0;57.0;7.0;7.0;1.0;1.0;57.0
ACAP1;4.0;29.0;0.0;29.0;4.0;4.0;0.0;0.0;29.0
ACAP2;2.0;28.0;0.0;28.0;2.0;2.0;0.0;0.0;28.0
ACAT1;3.0;16.0;1.0;16.0;2.0;2.0;1.0;0.0;16.0
ACD;6.0;58.0;2.0;57.0;5.0;5.0;1.0;0.0;58.0
ACE2;2.0;8.0;1.0;7.0;2.0;2.0;0.0;1.0;7.0
ACHE;7.0;76.0;2.0;75.0;6.0;6.0;1.0;0.0;76.0
ACO1;2.0;22.0;0.0;22.0;2.0;2.0;0.0;0.0;22.0
ACO2;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
ACOX1;3.0;22.0;0.0;22.0;3.0;3.0;0.0;0.0;22.0
ACOX2;1.0;6.0;1.0;5.0;1.0;1.0;0.0;0.0;6.0
ACOX3;1.0;7.0;0.0;7.0;1.0;1.0;0.0;0.0;7.0
ACSL1;4.0;39.0;2.0;38.0;3.0;3.0;1.0;1.0;38.0
ACSL3;12.0;90.0;3.0;88.0;11.0;11.0;1.0;1.0;89.0
ACSL4;10.0;52.0;2.0;51.0;9.0;9.0;1.0;0.0;52.0
ACSL5;1.0;16.0;1.0;15.0;1.0;1.0;0.0;1.0;15.0
ACSL6;10.0;64.0;3.0;62.0;9.0;9.0;1.0;1.0;63.0
ACSS1;1.0;4.0;0.0;4.0;1.0;1.0;0.0;0.0;4.0
ACSS2;4.0;31.0;0.0;31.0;4.0;4.0;0.0;0.0;31.0
ACTA1;12.0;93.0;3.0;91.0;11.0;11.0;1.0;1.0;92.0
ACTA2;11.0;84.0;3.0;82.0;10.0;10.0;1.0;1.0;83.0
ACTB;12.0;93.0;3.0;91.0;11.0;11.0;1.0;1.0;92.0
ACTBL2;1.0;10.0;0.0;10.0;1.0;1.0;0.0;0.0;10.0
ACTC1;12.0;93.0;3.0;91.0;11.0;11.0;1.0;1.0;92.0
ACTG1;12.0;93.0;3.0;91.0;11.0;11.0;1.0;1.0;92.0
ACTG2;12.0;93.0;3.0;91.0;11.0;11.0;1.0;1.0;92.0
ACTL6A;12.0;91.0;3.0;89.0;11.0;11.0;1.0;1.0;90.0
ACTL6B;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0
ACTL7A;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
ACTL7B;0.0;4.0;0.0;4.0;0.0;0.0;0.0;0.0;4.0
ACTN1;11.0;75.0;3.0;73.0;10.0;10.0;1.0;1.0;74.0
ACTN2;11.0;92.0;3.0;90.0;10.0;10.0;1.0;1.0;91.0
ACTN3;12.0;93.0;3.0;91.0;11.0;11.0;1.0;1.0;92.0
ACTN4;2.0;25.0;0.0;25.0;2.0;2.0;0.0;0.0;25.0
ACTR1A;10.0;75.0;2.0;74.0;9.0;9.0;1.0;0.0;75.0
ACTR1B;12.0;93.0;3.0;91.0;11.0;11.0;1.0;1.0;92.0
ACTR2;12.0;63.0;2.0;62.0;11.0;11.0;1.0;1.0;62.0
ACTR3;4.0;21.0;0.0;21.0;4.0;4.0;0.0;0.0;21.0
ACTR3B;5.0;42.0;1.0;41.0;5.0;5.0;0.0;1.0;41.0
ACTRT1;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;3.0
ACTRT2;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0
ACVR1;12.0;81.0;1.0;81.0;11.0;11.0;1.0;0.0;81.0
ACVR1B;12.0;90.0;3.0;88.0;11.0;11.0;1.0;1.0;89.0
