driver;Driver_2_cluster_label_2.0;Driver_2_cluster_label_2.1;Driver_3_cluster_label_3.0;Driver_3_cluster_label_3.1;Driver_3_cluster_label_3.2;Driver_4_cluster_label_4.0;Driver_4_cluster_label_4.1;Driver_4_cluster_label_4.2;Driver_4_cluster_label_4.3
ACAN;4.0;1.0;4.0;1.0;0.0;1.0;0.0;2.0;2.0
AGAP10;5.0;3.0;5.0;2.0;1.0;3.0;0.0;1.0;4.0
ATM;10.0;4.0;6.0;4.0;4.0;4.0;4.0;1.0;5.0
BCLAF1;6.0;4.0;2.0;4.0;4.0;4.0;3.0;1.0;2.0
BRAF;8.0;0.0;6.0;0.0;2.0;0.0;2.0;2.0;4.0
CDKN1B;3.0;2.0;3.0;2.0;0.0;2.0;1.0;0.0;2.0
COL12A1;5.0;1.0;4.0;1.0;1.0;1.0;2.0;1.0;2.0
DNAH9;3.0;3.0;3.0;3.0;0.0;3.0;1.0;0.0;2.0
ERG;15.0;3.0;9.0;3.0;6.0;3.0;3.0;5.0;7.0
FOXA1;11.0;3.0;6.0;3.0;5.0;3.0;2.0;4.0;5.0
GUCY1B3;7.0;9.0;5.0;9.0;2.0;9.0;2.0;2.0;3.0
HTR7;2.0;1.0;2.0;1.0;0.0;1.0;0.0;1.0;1.0
IDH1;2.0;2.0;1.0;2.0;1.0;2.0;1.0;0.0;1.0
KIAA1217;19.0;5.0;11.0;4.0;9.0;5.0;8.0;4.0;7.0
MCPH1;4.0;0.0;2.0;0.0;2.0;0.0;1.0;1.0;2.0
MED12;6.0;1.0;5.0;1.0;1.0;1.0;5.0;1.0;0.0
MUC4;28.0;8.0;22.0;8.0;6.0;8.0;6.0;8.0;14.0
MYOF;1.0;3.0;1.0;3.0;0.0;3.0;0.0;0.0;1.0
NBPF1;17.0;0.0;12.0;0.0;5.0;0.0;9.0;6.0;2.0
NKX3-1;4.0;1.0;3.0;1.0;1.0;1.0;2.0;0.0;2.0
NRG1;11.0;6.0;8.0;6.0;3.0;6.0;2.0;3.0;6.0
NRG3;4.0;4.0;3.0;4.0;1.0;4.0;1.0;1.0;2.0
NSD1;40.0;12.0;25.0;12.0;15.0;12.0;12.0;7.0;21.0
OBSCN;12.0;2.0;8.0;2.0;4.0;2.0;4.0;3.0;5.0
PCYT1B;1.0;4.0;0.0;4.0;1.0;4.0;1.0;0.0;0.0
PKHD1;5.0;2.0;5.0;2.0;0.0;2.0;2.0;2.0;1.0
POLR2D;5.0;4.0;1.0;4.0;4.0;4.0;2.0;2.0;1.0
PTEN;34.0;15.0;25.0;14.0;10.0;15.0;14.0;10.0;10.0
RYR1;7.0;4.0;6.0;4.0;1.0;4.0;0.0;2.0;5.0
SGK1;7.0;7.0;6.0;7.0;1.0;7.0;3.0;3.0;1.0
SIRPB1;34.0;20.0;24.0;20.0;10.0;20.0;14.0;11.0;9.0
SPECC1L;54.0;24.0;33.0;24.0;21.0;24.0;20.0;11.0;23.0
SPOP;24.0;11.0;15.0;11.0;9.0;11.0;7.0;7.0;10.0
ST6GAL2;8.0;5.0;6.0;5.0;2.0;5.0;1.0;3.0;4.0
STAB2;6.0;0.0;5.0;0.0;1.0;0.0;0.0;4.0;2.0
STEAP1B;31.0;11.0;23.0;11.0;8.0;11.0;10.0;5.0;16.0
SYNE1;11.0;8.0;6.0;8.0;5.0;8.0;2.0;3.0;6.0
TP53;20.0;13.0;16.0;13.0;4.0;13.0;4.0;6.0;10.0
WWOX;24.0;10.0;18.0;9.0;7.0;10.0;8.0;7.0;9.0
ZMYM3;7.0;3.0;6.0;3.0;1.0;3.0;2.0;2.0;3.0
